Token,Uid,Link
brianbeutler,21696279,https://twitter.com/brianbeutler
BarbagalloPaul,235205538,https://twitter.com/BarbagalloPaul
crmarx1,242305638,https://twitter.com/crmarx1
davidbschultz,53739928,https://twitter.com/davidbschultz
BFischerMartin,20776497,https://twitter.com/BFischerMartin
brfreed,14207809,https://twitter.com/brfreed
datlowen,513664497,https://twitter.com/datlowen
Alexruoff,107865996,https://twitter.com/Alexruoff
caroline_jones_,62525647,https://twitter.com/caroline_jones_
bradwolverton,39470718,https://twitter.com/bradwolverton
CorpCrimeReport,20713331,https://twitter.com/CorpCrimeReport
BroderJonathan,2864230689,https://twitter.com/BroderJonathan
DannyVinik,363997734,https://twitter.com/DannyVinik
BrianKarem,21001599,https://twitter.com/BrianKarem
cherylbolen,135991437,https://twitter.com/cherylbolen
billehart,35047258,https://twitter.com/billehart
aaronwiener,16099612,https://twitter.com/aaronwiener
jdickerson,4119741,https://twitter.com/jdickerson
JeremyStahl,46501372,https://twitter.com/JeremyStahl
GoldieStandard,46941602,https://twitter.com/GoldieStandard
JohnPrideaux,176450747,https://twitter.com/JohnPrideaux
JacklynWille,4492722868,https://twitter.com/JacklynWille
John_Hudson,26668729,https://twitter.com/John_Hudson
FredBarnes,15731751,https://twitter.com/FredBarnes
gzornick,114881944,https://twitter.com/gzornick
jbcasuga,3246905603,https://twitter.com/jbcasuga
HMRothmandc,1002229862,https://twitter.com/HMRothmandc
Joelmentum,148936255,https://twitter.com/Joelmentum
GregT_156,2586199014,https://twitter.com/GregT_156
JamesLSwann,305668829,https://twitter.com/JamesLSwann
JamilSmith,46213956,https://twitter.com/JamilSmith
JBWogan,323672582,https://twitter.com/JBWogan
JulianSadur,2165351672,https://twitter.com/JulianSadur
JonathonShacat,889744470,https://twitter.com/JonathonShacat
jostonjustice,1251763045,https://twitter.com/jostonjustice
hamrickisms,12988312,https://twitter.com/hamrickisms
dontroop,26274572,https://twitter.com/dontroop
FCNP_Nicholas,48787554,https://twitter.com/FCNP_Nicholas
ElleBeyoud,351893585,https://twitter.com/ElleBeyoud
emlybelz,15754348,https://twitter.com/emlybelz
dmitriyshapiro,16799343,https://twitter.com/dmitriyshapiro
DefTechPat,25819140,https://twitter.com/DefTechPat
eggerton,41909059,https://twitter.com/eggerton
deantscott,134918286,https://twitter.com/deantscott
elianayjohnson,757893380,https://twitter.com/elianayjohnson
edroso,15730608,https://twitter.com/edroso
DraperRobert,170034104,https://twitter.com/DraperRobert
DefenseBaron,19038768,https://twitter.com/DefenseBaron
EitanArom,28262779,https://twitter.com/EitanArom
PrivateAplin,245905047,https://twitter.com/PrivateAplin
palbergo,117467779,https://twitter.com/palbergo
MeghanMcCarthy_,155973490,https://twitter.com/MeghanMcCarthy_
PegCoversTheLaw,706660160844886016,https://twitter.com/PegCoversTheLaw
PatrickGregry,3308294199,https://twitter.com/PatrickGregry
Mctaguej,112890747,https://twitter.com/Mctaguej
RhondaSmith_MA,44958274,https://twitter.com/RhondaSmith_MA
PhilipBrasher,116877154,https://twitter.com/PhilipBrasher
paulmcleary,15972530,https://twitter.com/paulmcleary
rebleber,114670081,https://twitter.com/rebleber
ngatz1,121663319,https://twitter.com/ngatz1
rachelegross,127739478,https://twitter.com/rachelegross
mollymotoole,109431937,https://twitter.com/mollymotoole
MedResJourno,277959406,https://twitter.com/MedResJourno
PhilipTerzian,132215786,https://twitter.com/PhilipTerzian
patrizzuto,128944712,https://twitter.com/patrizzuto
MichaelRWarren,15741263,https://twitter.com/MichaelRWarren
PFSwarts,205886080,https://twitter.com/PFSwarts
LCBridgeford,87961779,https://twitter.com/LCBridgeford
lladkins,41524135,https://twitter.com/lladkins
kirstindowney,31538210,https://twitter.com/kirstindowney
LukeRsmom,113745340,https://twitter.com/LukeRsmom
lmullinsdc,277516059,https://twitter.com/lmullinsdc
KristenKnebel,4892094045,https://twitter.com/KristenKnebel
MarisaKashino,251917058,https://twitter.com/MarisaKashino
KarenErtel,18960222,https://twitter.com/KarenErtel
JVLast,611816381,https://twitter.com/JVLast
lhelemNLJ,4904370522,https://twitter.com/lhelemNLJ
mattizcoop,11384102,https://twitter.com/mattizcoop
lauradfrancis,705183137136058369,https://twitter.com/lauradfrancis
willsommer,274294204,https://twitter.com/willsommer
WilliamJDobson,241137695,https://twitter.com/WilliamJDobson
StuPolitics,250784170,https://twitter.com/StuPolitics
Rubinations,373743799,https://twitter.com/Rubinations
sethstern,50331969,https://twitter.com/sethstern
SpyTalker,28366439,https://twitter.com/SpyTalker
Sara_Reardon,117932428,https://twitter.com/Sara_Reardon
Steph_Beasley,300425859,https://twitter.com/Steph_Beasley
ZoeSCarpenter,599469717,https://twitter.com/ZoeSCarpenter
websterjc,409474366,https://twitter.com/websterjc
SeanDNaylor,190510601,https://twitter.com/SeanDNaylor
SueDoyle001,2811114114,https://twitter.com/SueDoyle001
RosbrevBrevetto,2248986656,https://twitter.com/RosbrevBrevetto
SmallBizOnHill,249798987,https://twitter.com/SmallBizOnHill
ToporHCF,826808800921403393,https://twitter.com/ToporHCF
Tom_PTaylor,1114749608,https://twitter.com/Tom_PTaylor
Tera_Brostoff,4004220976,https://twitter.com/Tera_Brostoff
sarahkliff,19734832,https://twitter.com/sarahkliff
Pat_Ambrosio,2497185313,https://twitter.com/Pat_Ambrosio
nathanlgonzales,48388417,https://twitter.com/nathanlgonzales
RobTricchinelli,2250948913,https://twitter.com/RobTricchinelli
SmSellers,714591936925999104,https://twitter.com/SmSellers
PerryECooper,1009749229,https://twitter.com/PerryECooper
paulconndc,64502388,https://twitter.com/paulconndc
tjryan93,361533837,https://twitter.com/tjryan93
mikegruss,12917252,https://twitter.com/mikegruss
SuzannePollak,18244109,https://twitter.com/SuzannePollak
PoliticoScott,219350591,https://twitter.com/PoliticoScott
OSHAReporter,827605131109793792,https://twitter.com/OSHAReporter
Spencer_Chase,307706217,https://twitter.com/Spencer_Chase
siforbes67,4895359072,https://twitter.com/siforbes67
natsecwatson,399868775,https://twitter.com/natsecwatson
sandhya__k,221255986,https://twitter.com/sandhya__k
PGunigantiAT,409743965,https://twitter.com/PGunigantiAT
YAppelbaum,269911034,https://twitter.com/YAppelbaum
thisismaz,20593217,https://twitter.com/thisismaz
sehansard,298637806,https://twitter.com/sehansard
pbasken,16809083,https://twitter.com/pbasken
pms_peyton,4076390957,https://twitter.com/pms_peyton
ToryNewmyer,32576041,https://twitter.com/ToryNewmyer
MikeMadden,12134692,https://twitter.com/MikeMadden
mjs_DC,88215673,https://twitter.com/mjs_DC
TyrichardsonPC,29519507,https://twitter.com/TyrichardsonPC
PoliticsReid,12272322,https://twitter.com/PoliticsReid
NateWeixel,606430919,https://twitter.com/NateWeixel
wenokachanel,2225188956,https://twitter.com/wenokachanel
russellberman,106135104,https://twitter.com/russellberman
michael_gaynor,261933885,https://twitter.com/michael_gaynor
WhitneyMcKnight,12030862,https://twitter.com/WhitneyMcKnight
SuzyKhimm,18174520,https://twitter.com/SuzyKhimm
mklavers81,16545084,https://twitter.com/mklavers81
SCClemons,16172991,https://twitter.com/SCClemons
michaelschaffer,22586564,https://twitter.com/michaelschaffer
rebecca_wilhelm,1126215781,https://twitter.com/rebecca_wilhelm
sswestfall,27068141,https://twitter.com/sswestfall
rkunzig,392929941,https://twitter.com/rkunzig
Redistrict,74820061,https://twitter.com/Redistrict
Zachary_Cohen,241682176,https://twitter.com/Zachary_Cohen
xwaldie,186826724,https://twitter.com/xwaldie
timothyrhoman,226286968,https://twitter.com/timothyrhoman
saletan,83374478,https://twitter.com/saletan
RameshPonnuru,305189255,https://twitter.com/RameshPonnuru
mollyesque,130945778,https://twitter.com/mollyesque
fordm,26559241,https://twitter.com/fordm
KenDoyle16,1965515724,https://twitter.com/KenDoyle16
juditheayers,3291195791,https://twitter.com/juditheayers
jakesNYT,265321890,https://twitter.com/jakesNYT
laurapdavison,17417739,https://twitter.com/laurapdavison
JSwiftTWS,15146659,https://twitter.com/JSwiftTWS
JonTReid,27510332,https://twitter.com/JonTReid
JohnAndresRiley,22704456,https://twitter.com/JohnAndresRiley
karinfischer,22057964,https://twitter.com/karinfischer
jackfitzdc,25630016,https://twitter.com/jackfitzdc
Genna_Douglas,2177577711,https://twitter.com/Genna_Douglas
jennifereduffy,52112689,https://twitter.com/jennifereduffy
JamesDCWrighter,2677799858,https://twitter.com/JamesDCWrighter
harryjaffe,16033034,https://twitter.com/harryjaffe
GrahamDavidA,46955476,https://twitter.com/GrahamDavidA
MarcusReports,240737740,https://twitter.com/MarcusReports
LizFarmerTweets,23961487,https://twitter.com/LizFarmerTweets
GayleCinquegran,63218473,https://twitter.com/GayleCinquegran
magmanley,703948542038175745,https://twitter.com/magmanley
JeffreyToobin,522282462,https://twitter.com/JeffreyToobin
johngizzi,191589342,https://twitter.com/johngizzi
jessicacoomes,176609040,https://twitter.com/jessicacoomes
McCormackJohn,27689907,https://twitter.com/McCormackJohn
gcaw,14848157,https://twitter.com/gcaw
josh_levin,2984161,https://twitter.com/josh_levin
juliesteinberg4,69663399,https://twitter.com/juliesteinberg4
jaquino63742206,4511285295,https://twitter.com/jaquino63742206
lmorello_dc,58812628,https://twitter.com/lmorello_dc
GiovannaGray,363936759,https://twitter.com/GiovannaGray
kfieldCHE,334083007,https://twitter.com/kfieldCHE
KimberlyRobinsn,906734342,https://twitter.com/KimberlyRobinsn
jcderrick1,189542696,https://twitter.com/jcderrick1
ByMeganONeil,246552744,https://twitter.com/ByMeganONeil
amenasaiyid,240737573,https://twitter.com/amenasaiyid
DanielMLeone,314549077,https://twitter.com/DanielMLeone
chrisjohnson82,118228048,https://twitter.com/chrisjohnson82
Casey_J_Wooten,290676747,https://twitter.com/Casey_J_Wooten
davidcfrancis,36544739,https://twitter.com/davidcfrancis
elizabethjorr,720250055899226112,https://twitter.com/elizabethjorr
EditorCheryl,525618651,https://twitter.com/EditorCheryl
c_cauterucci,105290832,https://twitter.com/c_cauterucci
AlexBrownNJ,21845498,https://twitter.com/AlexBrownNJ
BritainEakin,182988588,https://twitter.com/BritainEakin
eqhazzard,17177287,https://twitter.com/eqhazzard
Bruninga,107170206,https://twitter.com/Bruninga
ceboudreau,361974796,https://twitter.com/ceboudreau
BeddingfieldMJ,836643030161625089,https://twitter.com/BeddingfieldMJ
EmilyLMeredith,18670049,https://twitter.com/EmilyLMeredith
alvittorio,63347727,https://twitter.com/alvittorio
amir_anasr,493756786,https://twitter.com/amir_anasr
dandeluce,18389620,https://twitter.com/dandeluce
fawnjohnson,15481070,https://twitter.com/fawnjohnson
BarbaraYuill,581304801,https://twitter.com/BarbaraYuill
DavidPluviose,546317956,https://twitter.com/DavidPluviose
DSORennie,2173288309,https://twitter.com/DSORennie
EliasGroll,22077599,https://twitter.com/EliasGroll
alexis_levinson,188857501,https://twitter.com/alexis_levinson
danielhalper,146166918,https://twitter.com/danielhalper
andrewperezdc,21579498,https://twitter.com/andrewperezdc
Dana_A_Elfin,3917285862,https://twitter.com/Dana_A_Elfin
BrendanBordelon,1542184387,https://twitter.com/BrendanBordelon
AnthonyAdragna,460246990,https://twitter.com/AnthonyAdragna
becksup,707432388,https://twitter.com/becksup
emilycadei,18683964,https://twitter.com/emilycadei
Edwards_Bre,305452850,https://twitter.com/Edwards_Bre
CharlieCookDC,2657143946,https://twitter.com/CharlieCookDC
A_Childers_,1638925448,https://twitter.com/A_Childers_
adamnpeck,18126916,https://twitter.com/adamnpeck
karynbruggeman,251496437,https://twitter.com/karynbruggeman
kerning,1692401,https://twitter.com/kerning
KatieBoWill,2375574151,https://twitter.com/KatieBoWill
dhenry,17144765,https://twitter.com/dhenry
MattVas,36260866,https://twitter.com/MattVas
CateMartel,1493053800,https://twitter.com/CateMartel
michaelscherer,17910554,https://twitter.com/michaelscherer
