Token,Uid,Link
EssKaye16,215659214,https://twitter.com/EssKaye16
HowardKurtz,15731368,https://twitter.com/HowardKurtz
kevinkirbs,237454771,https://twitter.com/kevinkirbs
jesiday,16262635,https://twitter.com/jesiday
kate_krup,66348830,https://twitter.com/kate_krup
rad_snarf,584657460,https://twitter.com/rad_snarf
sallykidd,17086455,https://twitter.com/sallykidd
Gail_Austin,761651533,https://twitter.com/Gail_Austin
larsschwetje,17313998,https://twitter.com/larsschwetje
robyoon,620618811,https://twitter.com/robyoon
SutherlandFox,2421093038,https://twitter.com/SutherlandFox
gurnalscott,41963949,https://twitter.com/gurnalscott
KelleeAzar,1068503185,https://twitter.com/KelleeAzar
robertmooreitv,329918652,https://twitter.com/robertmooreitv
C4KylieM,199251548,https://twitter.com/C4KylieM
matt_itvnews,22825951,https://twitter.com/matt_itvnews
MattLaslo,26607712,https://twitter.com/MattLaslo
lanceingthing,3988150241,https://twitter.com/lanceingthing
morningmika,18227519,https://twitter.com/morningmika
NBCLOU,22831423,https://twitter.com/NBCLOU
DougNBC,94442794,https://twitter.com/DougNBC
RealBrittHughes,29220591,https://twitter.com/RealBrittHughes
tcapra,17518097,https://twitter.com/tcapra
laubchad,2565691009,https://twitter.com/laubchad
shaqbrewster,216747924,https://twitter.com/shaqbrewster
CarrieNBCNews,21027715,https://twitter.com/CarrieNBCNews
michelledubert,44380440,https://twitter.com/michelledubert
CharlieGile,1425691890,https://twitter.com/CharlieGile
EmilyGaffney509,136045129,https://twitter.com/EmilyGaffney509
dcdesker,23605114,https://twitter.com/dcdesker
ergold,34331838,https://twitter.com/ergold
kasie,12354832,https://twitter.com/kasie
mitchellreports,89820928,https://twitter.com/mitchellreports
NLebedevaNBC,2654652732,https://twitter.com/NLebedevaNBC
Steve_Mit,278815872,https://twitter.com/Steve_Mit
locamama,9722522,https://twitter.com/locamama
billhatfield,33298494,https://twitter.com/billhatfield
KellyO,224320485,https://twitter.com/KellyO
BrookeLorenz,67682138,https://twitter.com/BrookeLorenz
AmlingAM,42930296,https://twitter.com/AmlingAM
AmberCStrong,2343897943,https://twitter.com/AmberCStrong
JaxAlemany,307982591,https://twitter.com/JaxAlemany
PaulStrandCBN,630808206,https://twitter.com/PaulStrandCBN
AdamATCBS,20196398,https://twitter.com/AdamATCBS
AbigailCBN,3066095122,https://twitter.com/AbigailCBN
tracywinborn,85146065,https://twitter.com/tracywinborn
AngelaZatopek,857360184,https://twitter.com/AngelaZatopek
ccannon_dc,172370243,https://twitter.com/ccannon_dc
ttgaughan,36129751,https://twitter.com/ttgaughan
WCronkite,70709534,https://twitter.com/WCronkite
Philly_Bubaris,227570986,https://twitter.com/Philly_Bubaris
travisggaley,27959620,https://twitter.com/travisggaley
SBHarmon,97240254,https://twitter.com/SBHarmon
nancycordes,21702539,https://twitter.com/nancycordes
JanCBS,102238997,https://twitter.com/JanCBS
LouiseDufresne,178082389,https://twitter.com/LouiseDufresne
MusCBS,39012674,https://twitter.com/MusCBS
WinstonNBC,829662252,https://twitter.com/WinstonNBC
PeteWilliamsNBC,615443591,https://twitter.com/PeteWilliamsNBC
brianmooar,17163379,https://twitter.com/brianmooar
ishamdc,21792202,https://twitter.com/ishamdc
hagerhoo,58908090,https://twitter.com/hagerhoo
ShanicaJohnson,47598412,https://twitter.com/ShanicaJohnson
eliz_hinson,1564249999,https://twitter.com/eliz_hinson
allisonradio,41882703,https://twitter.com/allisonradio
JillianBHughes,50303740,https://twitter.com/JillianBHughes
juddzeez,251983774,https://twitter.com/juddzeez
atwaheed,246318153,https://twitter.com/atwaheed
CAL133,41278786,https://twitter.com/CAL133
CBSWalsh,48821786,https://twitter.com/CBSWalsh
mattlarotonda,163083221,https://twitter.com/mattlarotonda
jamiejmcintyre,25299244,https://twitter.com/jamiejmcintyre
BmoreConetta,183341278,https://twitter.com/BmoreConetta
laura_e_finch,21664938,https://twitter.com/laura_e_finch
PolsonKanneth,21657051,https://twitter.com/PolsonKanneth
ReenaJF,147666390,https://twitter.com/ReenaJF
ibalkhy,27545271,https://twitter.com/ibalkhy
AndyTriay,112814095,https://twitter.com/AndyTriay
simoneMperez,261962339,https://twitter.com/simoneMperez
Marshall_Cohen,49031364,https://twitter.com/Marshall_Cohen
caphilltrish,22978395,https://twitter.com/caphilltrish
PhilipinDC,160547588,https://twitter.com/PhilipinDC
