Token,Uid,Link
abettel,23455653,https://twitter.com/abettel
AshleyRParker,33919343,https://twitter.com/AshleyRParker
b_fung,18580432,https://twitter.com/b_fung
b_muzz,399225358,https://twitter.com/b_muzz
becca_milfeld,18834692,https://twitter.com/becca_milfeld
BenLeubsdorf,28332786,https://twitter.com/BenLeubsdorf
benweyl,58683409,https://twitter.com/benweyl
borenbears,39800314,https://twitter.com/borenbears
BrianCo05937716,1904922536,https://twitter.com/BrianCo05937716
BSullivanNewsDC,386023382,https://twitter.com/BSullivanNewsDC
byaaroncdavis,19351485,https://twitter.com/byaaroncdavis
bykowicz,37721714,https://twitter.com/bykowicz
ByronYork,47739450,https://twitter.com/ByronYork
CaroleFeldman,28585396,https://twitter.com/CaroleFeldman
carolyncerbin,106855680,https://twitter.com/carolyncerbin
caschaberg,1565684575,https://twitter.com/caschaberg
characarter,570169435,https://twitter.com/characarter
ChloeWhiteaker,948430884,https://twitter.com/ChloeWhiteaker
ChrisWrightDC,386002603,https://twitter.com/ChrisWrightDC
CHueyBurns,153181367,https://twitter.com/CHueyBurns
coatschristophe,255683862,https://twitter.com/coatschristophe
craasch,5931862,https://twitter.com/craasch
damclaugh,921812414,https://twitter.com/damclaugh
danbalz,59676104,https://twitter.com/danbalz
danielnasaw,35754345,https://twitter.com/danielnasaw
darrensands,18810140,https://twitter.com/darrensands
DaveBoyer,22022769,https://twitter.com/DaveBoyer
daveweigel,13524182,https://twitter.com/daveweigel
davidjlynch,24730470,https://twitter.com/davidjlynch
Dimi,59936143,https://twitter.com/Dimi
DonnaYoungDC,593813785,https://twitter.com/DonnaYoungDC
DonnaLeinwand,17027394,https://twitter.com/DonnaLeinwand
DoyleMcManus,70442821,https://twitter.com/DoyleMcManus
DavidNakamura,23621827,https://twitter.com/DavidNakamura
drajem,73145792,https://twitter.com/drajem
ddale8,225265639,https://twitter.com/ddale8
derekwillis,14517538,https://twitter.com/derekwillis
dparn22,17138140,https://twitter.com/dparn22
dliebelson,217083195,https://twitter.com/dliebelson
DMalcolmBirch,16308568,https://twitter.com/DMalcolmBirch
DavidNather,340997626,https://twitter.com/DavidNather
dnewhauser,13067732,https://twitter.com/dnewhauser
dcraiggordon,479886158,https://twitter.com/dcraiggordon
davidshepardson,26283307,https://twitter.com/davidshepardson
DevlinBarrett,30970039,https://twitter.com/DevlinBarrett
DelWilber,20114089,https://twitter.com/DelWilber
dibartz,70776391,https://twitter.com/dibartz
DonovanSlack,19371141,https://twitter.com/DonovanSlack
gkroberts,31183389,https://twitter.com/gkroberts
eliotnelson,129997410,https://twitter.com/eliotnelson
greggzoroya,273097675,https://twitter.com/greggzoroya
Grolar_Bear,128950185,https://twitter.com/Grolar_Bear
EricSchmittNYT,341118458,https://twitter.com/EricSchmittNYT
gregpmiller,242907470,https://twitter.com/gregpmiller
FrancoOrdonez,16247719,https://twitter.com/FrancoOrdonez
ericpianin,147970244,https://twitter.com/ericpianin
georgina_gustin,43142554,https://twitter.com/georgina_gustin
GreyMessenger,426690566,https://twitter.com/GreyMessenger
glubold,17162499,https://twitter.com/glubold
EleanorClift,134849548,https://twitter.com/EleanorClift
GregGordon2,336172993,https://twitter.com/GregGordon2
ewstephe,18881645,https://twitter.com/ewstephe
EliLake,34371118,https://twitter.com/EliLake
fabiennefaur,380991678,https://twitter.com/fabiennefaur
ErinVKelly,377016559,https://twitter.com/ErinVKelly
edatpost,16930125,https://twitter.com/edatpost
fschouten,36776808,https://twitter.com/fschouten
EricLiptonNYT,375662595,https://twitter.com/EricLiptonNYT
emrwilkins,40532337,https://twitter.com/emrwilkins
geofkoss,177944746,https://twitter.com/geofkoss
dwallbank,19785811,https://twitter.com/dwallbank
Fahrenthold,61734492,https://twitter.com/Fahrenthold
gordonnyt,37895887,https://twitter.com/gordonnyt
FredSchulte,1001991865,https://twitter.com/FredSchulte
grobb2000,17092381,https://twitter.com/grobb2000
Esthernow,119515943,https://twitter.com/Esthernow
GeoffEarle,342918164,https://twitter.com/GeoffEarle
eilperin,118747545,https://twitter.com/eilperin
Geordiedav,140716132,https://twitter.com/Geordiedav
Indira_L,239857777,https://twitter.com/Indira_L
jacqklimas,14081659,https://twitter.com/jacqklimas
Jamie_Weinstein,33938700,https://twitter.com/Jamie_Weinstein
jarowley,15781389,https://twitter.com/jarowley
jendlouhyhc,142896252,https://twitter.com/jendlouhyhc
jackgillum,16713948,https://twitter.com/jackgillum
IBD_GRich,1544781733,https://twitter.com/IBD_GRich
JaneNorman,15430418,https://twitter.com/JaneNorman
JamesArkin,272710377,https://twitter.com/JamesArkin
JeffYoung,80111587,https://twitter.com/JeffYoung
JDowning37,2565569690,https://twitter.com/JDowning37
Jeanne9494,126297729,https://twitter.com/Jeanne9494
jdelreal,22313347,https://twitter.com/jdelreal
igorbobic,250492272,https://twitter.com/igorbobic
jeremybowers,8083262,https://twitter.com/jeremybowers
jamesoliphant,14660096,https://twitter.com/jamesoliphant
JamesVGrimaldi,17178161,https://twitter.com/JamesVGrimaldi
jeffsparshott,20760831,https://twitter.com/jeffsparshott
IanMcKendry13,224711189,https://twitter.com/IanMcKendry13
jeannasmialek,258157507,https://twitter.com/jeannasmialek
jestei,16441088,https://twitter.com/jestei
jessicagresko,22065061,https://twitter.com/jessicagresko
HerbNJDC,15824967,https://twitter.com/HerbNJDC
gwitkin,575719539,https://twitter.com/gwitkin
HannahAllam,56081005,https://twitter.com/HannahAllam
HeidiPrzybyla,234186830,https://twitter.com/HeidiPrzybyla
helenecooper,17601988,https://twitter.com/helenecooper
henrycjjackson,105187267,https://twitter.com/henrycjjackson
guyjtaylor,43453733,https://twitter.com/guyjtaylor
gwmott,15687922,https://twitter.com/gwmott
hpschneider,44434008,https://twitter.com/hpschneider
joshrogin,15766082,https://twitter.com/joshrogin
JuliaEAinsley,147467535,https://twitter.com/JuliaEAinsley
Julie_appleby,183735745,https://twitter.com/Julie_appleby
JTanfani,325814138,https://twitter.com/JTanfani
jonathanweisman,21768766,https://twitter.com/jonathanweisman
Joenewsguy,57754211,https://twitter.com/Joenewsguy
katharinelackey,15537242,https://twitter.com/katharinelackey
joshledermanAP,23911915,https://twitter.com/joshledermanAP
kampeas,19545932,https://twitter.com/kampeas
JohnDSiciliano,519607649,https://twitter.com/JohnDSiciliano
KatherineLewis,17056770,https://twitter.com/KatherineLewis
JFKucinich,15159913,https://twitter.com/JFKucinich
JohnHendel,16431311,https://twitter.com/JohnHendel
KarenMracek,9403832,https://twitter.com/KarenMracek
KatherineBScott,3273220608,https://twitter.com/KatherineBScott
JoshLArmstrong,30078660,https://twitter.com/JoshLArmstrong
