,screen_name,name,organization,position,gender,followers_count,following_count,tweet_count,user_created_at,verified,protected,original,quote,reply,retweet,tweets_in_dataset,mention_count,mentioning_count
325050734,AllysonRaeWx,"Banks, Allyson",WUSA–TV,Morning Meteorologist,F,6918,2290,8413,Mon Jun 27 17:16:06 +0000 2011,True,False,123.0,23.0,45.0,99.0,290.0,330,7
16018516,jenhab,"Haberkorn, Jennifer A.",Politico,Senior Health Reporter,F,20028,1484,10380,Wed Aug 27 22:14:32 +0000 2008,True,False,208.0,85.0,63.0,296.0,652.0,200,31
19186003,seungminkim,"Kim, Seung Min",Politico,Senate Reporter,F,33980,1311,35295,Mon Jan 19 15:07:21 +0000 2009,True,False,648.0,346.0,201.0,505.0,1700.0,143,41
108617810,DanaBashCNN,"Bash, Dana",CNN,Chief Political Correspondent,F,281861,937,8757,Tue Jan 26 14:24:27 +0000 2010,True,False,50.0,79.0,1.0,117.0,247.0,115,55
82151660,kelsey_snell,"Snell, Kelse",Washington Post,Congress Reporter,F,8108,1181,10804,Tue Oct 13 18:00:27 +0000 2009,True,False,197.0,97.0,185.0,175.0,654.0,109,22
33919343,AshleyRParker,"Parker, Ashley",Washington Post,White House Reporter,F,122382,2342,12433,Tue Apr 21 14:28:57 +0000 2009,True,False,172.0,67.0,11.0,120.0,370.0,100,31
52392666,ZoeTillman,"Tillman, Zoe",BuzzFeed,Courts & Justice Reporter,F,15246,1159,12795,Tue Jun 30 13:23:50 +0000 2009,True,False,393.0,33.0,318.0,157.0,901.0,87,14
26632935,HopeSeck,"Hodge Seck, Hope",Military.com,Marine Corps & Navy Reporter,F,4584,2389,15814,Wed Mar 25 23:55:59 +0000 2009,True,False,193.0,112.0,152.0,365.0,822.0,83,3
16441088,jestei,"Steinhauer, Jennifer",New York Times,Congress Reporter,F,13452,1000,11993,Wed Sep 24 21:03:18 +0000 2008,False,False,91.0,55.0,21.0,237.0,404.0,76,26
18227519,morningmika,"Brzezinski, Mika",MSNBC,"Co-Host, Morning Joe",F,653031,664,10023,Thu Dec 18 22:33:51 +0000 2008,True,False,37.0,2.0,2.0,70.0,111.0,70,44
12354832,kasie,"Hunt, Kasie",NBC News,Correspondent,F,187357,1939,24571,Thu Jan 17 11:28:36 +0000 2008,True,False,162.0,175.0,38.0,287.0,662.0,67,29
139738464,mj_lee,"Lee, MJ",CNN,National Political Reporter,F,31940,1061,10338,Mon May 03 14:41:10 +0000 2010,True,False,293.0,179.0,72.0,182.0,726.0,67,27
204599219,pw_cunningham,"Cunningham, Paige",Washington Examiner,Senior Health Reporter,F,9255,752,4244,Tue Oct 19 01:52:44 +0000 2010,True,False,166.0,61.0,11.0,0.0,238.0,67,18
118747545,eilperin,"Eilperin, Juliet",Washington Post,White House Bureau Chief,F,20483,521,13881,Mon Mar 01 16:47:13 +0000 2010,True,False,194.0,21.0,38.0,262.0,515.0,67,16
360080772,FoxReports,"Fox, Lauren",CNN,Congressional Reporter,F,7282,1247,7947,Mon Aug 22 17:13:08 +0000 2011,False,False,282.0,102.0,64.0,60.0,508.0,65,15
58869089,margarettalev,"Talev, Margaret",Bloomberg News,Senior White House Reporter,F,19588,4517,4442,Tue Jul 21 18:06:26 +0000 2009,True,False,122.0,30.0,5.0,230.0,387.0,58,27
313545488,LauraLitvan,"Litvan, Laura",Bloomberg News,Congressional & Political Reporter,F,4468,1228,4132,Wed Jun 08 20:35:36 +0000 2011,True,False,439.0,76.0,123.0,90.0,728.0,58,5
19734832,sarahkliff,"Kliff, Sarah L.",Vox Media,Senior Policy Correspondent,F,100090,1154,18144,Thu Jan 29 21:14:18 +0000 2009,True,False,315.0,92.0,129.0,126.0,662.0,57,27
381664207,caitlinnowens,"Owens, Caitlin N.",Axios,Healthcare Reporter,F,5749,907,4405,Wed Sep 28 18:30:25 +0000 2011,True,False,137.0,61.0,81.0,373.0,652.0,57,9
167024520,rachaelmbade,"Bade, Rachel M.",Politico,Congress Reporter,F,30164,1580,6647,Thu Jul 15 15:35:28 +0000 2010,True,False,346.0,227.0,58.0,170.0,801.0,56,26
247852986,rachanadixit,"Pradhan, Rachana D.",Politico,Healthcare Reporter,F,6178,1250,3731,Sat Feb 05 18:18:14 +0000 2011,True,False,71.0,53.0,54.0,82.0,260.0,55,14
237477771,juliehdavis,"Davis, Julie",New York Times,White House Reporter,F,49821,808,5557,Wed Jan 12 23:04:39 +0000 2011,True,False,186.0,99.0,19.0,106.0,410.0,55,10
36607254,Oriana0214,"Pawlyk, Oriana",Military.com,Air War Reporter,F,6397,2912,24911,Thu Apr 30 05:48:35 +0000 2009,True,False,293.0,405.0,296.0,560.0,1554.0,55,4
28181835,jpaceDC,"Pace, Julie",Associated Press,White House Correspondent,F,46017,579,6922,Wed Apr 01 20:05:09 +0000 2009,True,False,101.0,9.0,14.0,86.0,210.0,52,30
48144950,JudyWoodruff,"Woodruff, Judy",PBS NewsHour,Journalist / Anchor,F,64294,875,4347,Wed Jun 17 22:35:48 +0000 2009,True,False,144.0,20.0,19.0,9.0,192.0,49,7
89820928,mitchellreports,"Mitchell, Andrea",NBC News,Chief News Correspondent,F,1388543,1079,32973,Fri Nov 13 23:28:11 +0000 2009,True,False,500.0,93.0,21.0,809.0,1423.0,47,24
18637396,SaraMurray,"Murray, Sara",CNN,White House Correspondent,F,51918,1142,13094,Mon Jan 05 17:13:12 +0000 2009,True,False,63.0,61.0,30.0,387.0,541.0,47,18
