,screen_name,name,organization,position,gender,followers_count,following_count,tweet_count,user_created_at,verified,protected,original,quote,reply,retweet,tweets_in_dataset,reply_to_count,replying_count
16061946,kelmej,"Mejdrich, Kellie",CQ Roll Call,Appropriations & Budget Reporter,F,4146,4539,18794,Sun Aug 31 03:20:17 +0000 2008,True,False,641.0,280.0,594.0,613.0,2128.0,340,29
906734342,KimberlyRobinsn,"Robinson, Kimberly S.",Bloomberg BNA,Supreme Court Reporter,F,7170,311,8773,Fri Oct 26 20:32:46 +0000 2012,True,False,193.0,5.0,344.0,98.0,640.0,321,7
52392666,ZoeTillman,"Tillman, Zoe",BuzzFeed,Courts & Justice Reporter,F,15246,1159,12795,Tue Jun 30 13:23:50 +0000 2009,True,False,393.0,33.0,318.0,157.0,901.0,311,8
21212087,Olivianuzzi,"Nuzzi, Olivia",New York,Washington Correspondent,F,136276,999,55302,Wed Feb 18 16:33:13 +0000 2009,False,False,322.0,83.0,432.0,143.0,980.0,243,25
83462293,SarahMMimms,"Mimms, Sarah",BuzzFeed,Editor,F,6216,1676,15361,Sun Oct 18 22:29:29 +0000 2009,True,False,422.0,253.0,471.0,712.0,1858.0,236,24
19186003,seungminkim,"Kim, Seung Min",Politico,Senate Reporter,F,33980,1311,35295,Mon Jan 19 15:07:21 +0000 2009,True,False,648.0,346.0,201.0,505.0,1700.0,233,84
3372900155,samtayrey,"Reyes, Samantha",CNN,Assignment Editor,F,10344,6689,4783,Sun Jul 12 21:07:30 +0000 2015,True,False,165.0,86.0,933.0,165.0,1349.0,219,18
18825339,CahnEmily,"Cahn, Emily",Mic,Senior Politics Writer,F,16980,2134,100803,Sat Jan 10 03:19:50 +0000 2009,True,False,1440.0,1834.0,473.0,4449.0,8196.0,212,48
1132012321,DaniellaMicaela,"Diaz, Daniella",CNN,"Reporter, CNN Politics",F,14612,999,14114,Tue Jan 29 20:05:07 +0000 2013,True,False,694.0,257.0,557.0,569.0,2077.0,181,36
158072303,ValerieInsinna,"Insinna, Valerie",Defense News,Air Warfare Reporter,F,4572,681,10303,Mon Jun 21 18:11:02 +0000 2010,False,False,287.0,282.0,459.0,289.0,1317.0,175,20
36607254,Oriana0214,"Pawlyk, Oriana",Military.com,Air War Reporter,F,6397,2912,24911,Thu Apr 30 05:48:35 +0000 2009,True,False,293.0,405.0,296.0,560.0,1554.0,174,21
96405362,laurenonthehill,"Camera, Lauren S.",U.S. News & World Report,National Education Reporter,F,3396,1018,4041,Sat Dec 12 19:45:38 +0000 2009,True,False,107.0,44.0,191.0,125.0,467.0,162,6
16812908,crousselle,"Rousselle, Christine",Townhall,Managing Web Editor,F,5327,1051,118713,Thu Oct 16 19:49:05 +0000 2008,True,False,445.0,208.0,1089.0,609.0,2351.0,149,5
47758416,marissaaevans,"Evans, Marissa",Texas Tribune,Health & Human Services Policy Reporter,F,6850,4018,47343,Tue Jun 16 22:35:53 +0000 2009,True,False,113.0,212.0,266.0,651.0,1242.0,137,1
45399148,jeneps,"Epstein, Jennifer",Bloomberg News,Political Reporter,F,61242,1519,40082,Sun Jun 07 19:02:54 +0000 2009,True,False,385.0,111.0,241.0,68.0,805.0,134,23
16434028,gabbilevy,"Levy, Gabrielle F.",U.S. News & World Report,Political Reporter,F,2209,864,22833,Wed Sep 24 13:12:17 +0000 2008,True,False,207.0,355.0,170.0,428.0,1160.0,132,4
14870670,KateNocera,"Nocera, Kate",BuzzFeed,DC Bureau Chief,F,27714,1807,29707,Thu May 22 17:06:36 +0000 2008,True,False,191.0,77.0,207.0,809.0,1284.0,116,36
18501487,leighmunsil,"Munsil, Leigh",CNN,"Breaking News Editor, CNN Politics",F,11059,7251,46962,Wed Dec 31 07:00:52 +0000 2008,True,False,153.0,127.0,211.0,529.0,1020.0,107,30
313545488,LauraLitvan,"Litvan, Laura",Bloomberg News,Congressional & Political Reporter,F,4468,1228,4132,Wed Jun 08 20:35:36 +0000 2011,True,False,439.0,76.0,123.0,90.0,728.0,104,12
116341480,RosieGray,"Gray, Rosie",The Atlantic,Staff Writer,F,96935,2044,62369,Mon Feb 22 03:27:53 +0000 2010,True,False,231.0,161.0,172.0,419.0,983.0,99,31
82151660,kelsey_snell,"Snell, Kelse",Washington Post,Congress Reporter,F,8108,1181,10804,Tue Oct 13 18:00:27 +0000 2009,True,False,197.0,97.0,185.0,175.0,654.0,96,44
70511174,Hadas_Gold,"Gold, Hadas",Politico,Media Reporter,F,45221,1254,32595,Mon Aug 31 21:51:59 +0000 2009,True,False,492.0,175.0,122.0,778.0,1567.0,95,47
38855868,brennawilliams,"Williams, Brenna",CNN,Video Producer,F,7299,1212,23346,Sat May 09 13:53:36 +0000 2009,True,False,235.0,53.0,225.0,96.0,609.0,93,22
273700859,kpolantz,"Polantz, Katelyn J.",National Law Journal,Law Firms & Lobbying Reporter,F,2483,2069,11507,Tue Mar 29 00:36:09 +0000 2011,True,False,149.0,43.0,156.0,116.0,464.0,91,6
3273220608,KatherineBScott,"Scott, Katherine",Bloomberg Government,Legislative Data Analyst,F,1841,597,10011,Thu Jul 09 20:19:52 +0000 2015,False,False,252.0,164.0,120.0,1253.0,1789.0,85,14
114670081,rebleber,"Leber, Rebecca J.",Mother Jones,Environmental Policy Reporter,F,16467,613,12907,Tue Feb 16 06:37:27 +0000 2010,True,False,140.0,26.0,129.0,59.0,354.0,82,5
48038024,karentravers,"Travers, Karen",ABC News,White House Correspondent,F,17155,2329,28665,Wed Jun 17 17:24:43 +0000 2009,True,False,210.0,81.0,217.0,151.0,659.0,81,13
19195094,RebeccaShabad,"Shabad, Rebecca Danielle",CBS News,Politics Reporter,F,8149,2273,76634,Mon Jan 19 18:38:52 +0000 2009,True,False,416.0,432.0,161.0,1520.0,2529.0,73,35
188857501,alexis_levinson,"Levinson, Alexis R.",BuzzFeed,Reporter,F,25375,1859,21249,Thu Sep 09 19:19:59 +0000 2010,True,False,242.0,56.0,82.0,272.0,652.0,72,11
130945778,mollyesque,"Ball, Molly",The Atlantic,Staff Writer,F,116857,2932,35617,Thu Apr 08 20:30:19 +0000 2010,True,False,108.0,29.0,196.0,102.0,435.0,71,27
27481883,natsfert,"Fertig, Natalie",McClatchy,Video Producer,F,1396,1576,16610,Sun Mar 29 19:08:38 +0000 2009,True,False,285.0,371.0,200.0,292.0,1148.0,71,12
16149614,jrovner,"Rovner, Julie",Kaiser Health News,Chief Washington Correspondent,F,21844,1608,14541,Fri Sep 05 21:12:34 +0000 2008,True,False,181.0,479.0,381.0,747.0,1788.0,64,32
78694788,heatherscope,"Caygle, Heather Nicole",Politico,Reporter,F,5777,1594,12045,Wed Sep 30 20:02:16 +0000 2009,True,False,71.0,199.0,104.0,291.0,665.0,62,30
191469176,sarahnferris,"Ferris, Sarah N.",Politico,Budget & Appropriations Reporter,F,4784,1315,7293,Thu Sep 16 14:48:08 +0000 2010,True,False,163.0,63.0,113.0,67.0,406.0,62,18
46417885,eschor,"Schor, Elana",Politico,Congressional Reporter,F,11691,697,11767,Thu Jun 11 15:58:38 +0000 2009,True,False,197.0,97.0,100.0,250.0,644.0,62,13
47837269,tparti,"Parti, Tarini",BuzzFeed,Reporter,F,8214,1060,5883,Wed Jun 17 03:16:35 +0000 2009,True,False,142.0,34.0,80.0,234.0,490.0,62,12
2375574151,KatieBoWill,"Williams, Katherine B.",The Hill,National Security Reporter,F,5338,621,6858,Thu Mar 06 16:00:08 +0000 2014,True,False,297.0,191.0,71.0,188.0,747.0,62,6
137734165,ashleyrgold,"Gold, Ashley",Politico,Technology Reporter,F,4089,1400,21083,Tue Apr 27 15:58:36 +0000 2010,True,False,87.0,89.0,184.0,391.0,751.0,60,19
43078558,MissBeaE,"Peterson, Beatrice Elizabeth",Politico,Associate Video Producer,F,3746,1386,77342,Thu May 28 09:23:24 +0000 2009,True,False,247.0,254.0,291.0,477.0,1269.0,60,5
139738464,mj_lee,"Lee, MJ",CNN,National Political Reporter,F,31940,1061,10338,Mon May 03 14:41:10 +0000 2010,True,False,293.0,179.0,72.0,182.0,726.0,58,26
65535700,WordsOfSarah,"Parnass, Sarah",Washingtonpost.com,Video Editor,F,4662,4535,30581,Fri Aug 14 02:14:45 +0000 2009,True,False,120.0,86.0,142.0,548.0,896.0,57,13
437838346,VeraMBergen,"Bergengruen, Vera",McClatchy Newspapers,National Correspondent,F,5345,2250,12108,Thu Dec 15 22:06:36 +0000 2011,True,False,325.0,138.0,51.0,213.0,727.0,54,12
351893585,ElleBeyoud,"Beyoud, Lydia",Bloomberg BNA,Senior Tech & Telecom Reporter,F,2220,4999,5988,Tue Aug 09 21:36:45 +0000 2011,True,False,133.0,112.0,134.0,160.0,539.0,54,8
323494714,anyaparampil,"Parampil, Anya",RTTV America,Correspondent,F,7972,1158,12534,Fri Jun 24 22:50:53 +0000 2011,True,False,61.0,112.0,116.0,262.0,551.0,54,3
437625094,jessicaschulb,"Schulberg, Jessica",Huffington Post,Foreign Affairs Reporter,F,9220,2262,8904,Thu Dec 15 16:57:02 +0000 2011,True,False,48.0,39.0,58.0,310.0,455.0,53,5
159655293,TalKopan,"Kopan, Tal",CNN,Political Reporter,F,10995,1239,21597,Sat Jun 26 00:20:40 +0000 2010,True,False,289.0,151.0,197.0,105.0,742.0,51,20
16228326,ckmarie,"Foran, Clare M.",The Atlantic,Politics Writer,F,8119,4388,8896,Wed Sep 10 21:06:57 +0000 2008,True,False,214.0,35.0,68.0,149.0,466.0,51,12
76611108,nahaltoosi,"Toosi, Nahal",Politico,Foreign Affairs Correspondent,F,9603,1128,10221,Wed Sep 23 10:32:14 +0000 2009,True,False,161.0,157.0,84.0,254.0,656.0,51,10
3319089207,AmeliaFrappolli,"Frappolli, Amelia",CQ Roll Call,Congressional Reporter,F,1164,849,2688,Thu Jun 11 15:38:44 +0000 2015,False,False,209.0,83.0,99.0,88.0,479.0,51,10
