,screen_name,name,organization,position,gender,followers_count,following_count,tweet_count,user_created_at,verified,protected,original,quote,reply,retweet,tweets_in_dataset,mention_count,mentioning_count
407013776,burgessev,"Everett, John B.",Politico,Congressional Reporter,M,31010,1782,27294,Mon Nov 07 14:22:19 +0000 2011,True,False,836.0,344.0,275.0,218.0,1673.0,164,20
16018516,jenhab,"Haberkorn, Jennifer A.",Politico,Senior Health Reporter,F,20028,1484,10380,Wed Aug 27 22:14:32 +0000 2008,True,False,208.0,85.0,63.0,296.0,652.0,116,13
46557945,StevenTDennis,"Dennis, Steven T.",Bloomberg News,Congressional Reporter,M,55762,9043,67526,Fri Jun 12 02:29:03 +0000 2009,True,False,522.0,546.0,1026.0,972.0,3066.0,79,10
169586280,WaPoSean,"Sullivan, Sean",Washington Post,Congressional Reporter,M,22860,1932,14472,Thu Jul 22 18:03:05 +0000 2010,True,False,295.0,33.0,15.0,178.0,521.0,71,11
48802204,HardballChris,"Matthews, Chris",NBC News,"Host, Hardball",M,718330,350,1037,Fri Jun 19 19:29:58 +0000 2009,True,False,7.0,0.0,0.0,2.0,9.0,70,3
19186003,seungminkim,"Kim, Seung Min",Politico,Senate Reporter,F,33980,1311,35295,Mon Jan 19 15:07:21 +0000 2009,True,False,648.0,346.0,201.0,505.0,1700.0,64,16
22891564,chrisgeidner,"Geidner, Chris",BuzzFeed,Legal Editor & Supreme Court Correspondent,M,83316,4858,205504,Thu Mar 05 06:48:00 +0000 2009,True,False,788.0,550.0,3917.0,989.0,6244.0,61,6
108617810,DanaBashCNN,"Bash, Dana",CNN,Chief Political Correspondent,F,281861,937,8757,Tue Jan 26 14:24:27 +0000 2010,True,False,50.0,79.0,1.0,117.0,247.0,60,26
16067683,pauldemko,"Demko, Paul Jeffrey",Politico,Healthcare Reporter,M,8170,1083,11298,Sun Aug 31 15:59:52 +0000 2008,True,False,267.0,79.0,0.0,318.0,664.0,57,10
313545488,LauraLitvan,"Litvan, Laura",Bloomberg News,Congressional & Political Reporter,F,4468,1228,4132,Wed Jun 08 20:35:36 +0000 2011,True,False,439.0,76.0,123.0,90.0,728.0,53,2
52392666,ZoeTillman,"Tillman, Zoe",BuzzFeed,Courts & Justice Reporter,F,15246,1159,12795,Tue Jun 30 13:23:50 +0000 2009,True,False,393.0,33.0,318.0,157.0,901.0,52,8
33919343,AshleyRParker,"Parker, Ashley",Washington Post,White House Reporter,F,122382,2342,12433,Tue Apr 21 14:28:57 +0000 2009,True,False,172.0,67.0,11.0,120.0,370.0,49,11
82151660,kelsey_snell,"Snell, Kelse",Washington Post,Congress Reporter,F,8108,1181,10804,Tue Oct 13 18:00:27 +0000 2009,True,False,197.0,97.0,185.0,175.0,654.0,47,10
247852986,rachanadixit,"Pradhan, Rachana D.",Politico,Healthcare Reporter,F,6178,1250,3731,Sat Feb 05 18:18:14 +0000 2011,True,False,71.0,53.0,54.0,82.0,260.0,43,7
9126752,reporterjoe,"Gould, Joseph M.",Sightline Media Group,"Congress Reporter, Defense News",M,4702,3386,9148,Thu Sep 27 15:51:38 +0000 2007,True,False,314.0,229.0,272.0,375.0,1190.0,43,7
14529929,jaketapper,"Tapper, Jake",CNN,Anchor & Chief Washington Correspondent,M,1305680,5757,148143,Fri Apr 25 17:23:28 +0000 2008,True,False,1316.0,287.0,1040.0,2435.0,5078.0,40,21
16930125,edatpost,"O’Keefe, Edward",Washington Post,Congress Reporter,M,58670,16579,42254,Thu Oct 23 16:47:50 +0000 2008,True,False,669.0,142.0,26.0,540.0,1377.0,40,18
217550862,BresPolitico,"Bresnahan, John",Politico,Capitol Bureau Chief,M,40562,1910,48870,Fri Nov 19 21:01:30 +0000 2010,False,False,375.0,309.0,84.0,1739.0,2507.0,37,13
16149614,jrovner,"Rovner, Julie",Kaiser Health News,Chief Washington Correspondent,F,21844,1608,14541,Fri Sep 05 21:12:34 +0000 2008,True,False,181.0,479.0,381.0,747.0,1788.0,35,14
997684836,pkcapitol,"Kane, Paul",Washington Post,Congressional Reporter,M,31300,279,22456,Sat Dec 08 18:16:23 +0000 2012,True,False,195.0,140.0,185.0,267.0,787.0,35,13
12354832,kasie,"Hunt, Kasie",NBC News,Correspondent,F,187357,1939,24571,Thu Jan 17 11:28:36 +0000 2008,True,False,162.0,175.0,38.0,287.0,662.0,35,12
158072303,ValerieInsinna,"Insinna, Valerie",Defense News,Air Warfare Reporter,F,4572,681,10303,Mon Jun 21 18:11:02 +0000 2010,False,False,287.0,282.0,459.0,289.0,1317.0,35,2
15931637,jonkarl,"Karl, Jonathan",ABC News,Chief White House Correspondent,M,183467,501,11563,Thu Aug 21 14:17:20 +0000 2008,True,False,107.0,77.0,59.0,191.0,434.0,33,18
342226913,GregStohr,"Stohr, Greg",Bloomberg News,Supreme Court Reporter,M,7245,309,2315,Mon Jul 25 17:40:01 +0000 2011,True,False,91.0,37.0,63.0,19.0,210.0,32,2
297532865,kwelkernbc,"Welker, Kristen",NBC News,White House Correspondent,F,99234,2679,2970,Thu May 12 17:28:26 +0000 2011,True,False,41.0,5.0,0.0,0.0,46.0,31,9
18227519,morningmika,"Brzezinski, Mika",MSNBC,"Co-Host, Morning Joe",F,653031,664,10023,Thu Dec 18 22:33:51 +0000 2008,True,False,37.0,2.0,2.0,70.0,111.0,30,18
116953703,ellengilmer,"Gilmer, Ellen M.",E&E News,Legal Reporter,F,2217,707,7564,Wed Feb 24 02:47:04 +0000 2010,False,False,101.0,40.0,26.0,90.0,257.0,30,4
123327472,peterbakernyt,"Baker, Peter",New York Times,Chief White House Correspondent,M,96956,1986,17726,Mon Mar 15 18:55:27 +0000 2010,True,False,424.0,43.0,81.0,216.0,764.0,29,14
39155029,mkraju,"Raju, Manu K.",CNN,Senior Congressional Reporter,M,88366,3418,20066,Mon May 11 01:13:00 +0000 2009,True,False,587.0,35.0,50.0,284.0,956.0,28,16
118747545,eilperin,"Eilperin, Juliet",Washington Post,White House Bureau Chief,F,20483,521,13881,Mon Mar 01 16:47:13 +0000 2010,True,False,194.0,21.0,38.0,262.0,515.0,28,10
154985728,katieglueck,"Glueck, Katie",McClatchy Newspapers,Senior Political Correspondent,F,14135,4156,16534,Sat Jun 12 19:55:06 +0000 2010,True,False,116.0,115.0,64.0,254.0,549.0,28,10
