,screen_name,name,organization,position,gender,followers_count,following_count,tweet_count,user_created_at,verified,protected,original,quote,reply,retweet,tweets_in_dataset,mention_count,mentioning_count
325050734,AllysonRaeWx,"Banks, Allyson",WUSA–TV,Morning Meteorologist,F,6918,2290,8413,Mon Jun 27 17:16:06 +0000 2011,True,False,123.0,23.0,45.0,99.0,290.0,330,7
28496589,TenaciousTopper,"Shutt, Charles",WUSA–TV,Chief Meteorologist,M,15868,295,18391,Fri Apr 03 03:54:40 +0000 2009,True,False,496.0,30.0,6.0,250.0,782.0,239,13
63149389,hbwx,"Bernstein, Howard",WUSA–TV,Meteorologist,M,8337,758,48025,Wed Aug 05 14:38:33 +0000 2009,True,False,822.0,67.0,185.0,530.0,1604.0,235,10
407013776,burgessev,"Everett, John B.",Politico,Congressional Reporter,M,31010,1782,27294,Mon Nov 07 14:22:19 +0000 2011,True,False,836.0,344.0,275.0,218.0,1673.0,212,46
16018516,jenhab,"Haberkorn, Jennifer A.",Politico,Senior Health Reporter,F,20028,1484,10380,Wed Aug 27 22:14:32 +0000 2008,True,False,208.0,85.0,63.0,296.0,652.0,200,31
19186003,seungminkim,"Kim, Seung Min",Politico,Senate Reporter,F,33980,1311,35295,Mon Jan 19 15:07:21 +0000 2009,True,False,648.0,346.0,201.0,505.0,1700.0,143,41
14529929,jaketapper,"Tapper, Jake",CNN,Anchor & Chief Washington Correspondent,M,1305680,5757,148143,Fri Apr 25 17:23:28 +0000 2008,True,False,1316.0,287.0,1040.0,2435.0,5078.0,127,51
169586280,WaPoSean,"Sullivan, Sean",Washington Post,Congressional Reporter,M,22860,1932,14472,Thu Jul 22 18:03:05 +0000 2010,True,False,295.0,33.0,15.0,178.0,521.0,117,20
997684836,pkcapitol,"Kane, Paul",Washington Post,Congressional Reporter,M,31300,279,22456,Sat Dec 08 18:16:23 +0000 2012,True,False,195.0,140.0,185.0,267.0,787.0,116,47
108617810,DanaBashCNN,"Bash, Dana",CNN,Chief Political Correspondent,F,281861,937,8757,Tue Jan 26 14:24:27 +0000 2010,True,False,50.0,79.0,1.0,117.0,247.0,115,55
82151660,kelsey_snell,"Snell, Kelse",Washington Post,Congress Reporter,F,8108,1181,10804,Tue Oct 13 18:00:27 +0000 2009,True,False,197.0,97.0,185.0,175.0,654.0,109,22
123327472,peterbakernyt,"Baker, Peter",New York Times,Chief White House Correspondent,M,96956,1986,17726,Mon Mar 15 18:55:27 +0000 2010,True,False,424.0,43.0,81.0,216.0,764.0,107,43
13524182,daveweigel,"Weigel, David",Washington Post,Political Reporter,M,332344,10285,169908,Fri Feb 15 17:58:23 +0000 2008,True,False,758.0,859.0,244.0,2703.0,4564.0,106,42
46557945,StevenTDennis,"Dennis, Steven T.",Bloomberg News,Congressional Reporter,M,55762,9043,67526,Fri Jun 12 02:29:03 +0000 2009,True,False,522.0,546.0,1026.0,972.0,3066.0,105,27
15931637,jonkarl,"Karl, Jonathan",ABC News,Chief White House Correspondent,M,183467,501,11563,Thu Aug 21 14:17:20 +0000 2008,True,False,107.0,77.0,59.0,191.0,434.0,104,40
33919343,AshleyRParker,"Parker, Ashley",Washington Post,White House Reporter,F,122382,2342,12433,Tue Apr 21 14:28:57 +0000 2009,True,False,172.0,67.0,11.0,120.0,370.0,100,31
