,screen_name,name,organization,position,gender,followers_count,following_count,tweet_count,user_created_at,verified,protected,original,quote,reply,retweet,tweets_in_dataset,reply_to_count,replying_count
906734342,KimberlyRobinsn,"Robinson, Kimberly S.",Bloomberg BNA,Supreme Court Reporter,F,7170,311,8773,Fri Oct 26 20:32:46 +0000 2012,True,False,193.0,5.0,344.0,98.0,640.0,313,2
52392666,ZoeTillman,"Tillman, Zoe",BuzzFeed,Courts & Justice Reporter,F,15246,1159,12795,Tue Jun 30 13:23:50 +0000 2009,True,False,393.0,33.0,318.0,157.0,901.0,305,3
16061946,kelmej,"Mejdrich, Kellie",CQ Roll Call,Appropriations & Budget Reporter,F,4146,4539,18794,Sun Aug 31 03:20:17 +0000 2008,True,False,641.0,280.0,594.0,613.0,2128.0,295,15
83462293,SarahMMimms,"Mimms, Sarah",BuzzFeed,Editor,F,6216,1676,15361,Sun Oct 18 22:29:29 +0000 2009,True,False,422.0,253.0,471.0,712.0,1858.0,195,7
21212087,Olivianuzzi,"Nuzzi, Olivia",New York,Washington Correspondent,F,136276,999,55302,Wed Feb 18 16:33:13 +0000 2009,False,False,322.0,83.0,432.0,143.0,980.0,190,9
3372900155,samtayrey,"Reyes, Samantha",CNN,Assignment Editor,F,10344,6689,4783,Sun Jul 12 21:07:30 +0000 2015,True,False,165.0,86.0,933.0,165.0,1349.0,179,7
96405362,laurenonthehill,"Camera, Lauren S.",U.S. News & World Report,National Education Reporter,F,3396,1018,4041,Sat Dec 12 19:45:38 +0000 2009,True,False,107.0,44.0,191.0,125.0,467.0,159,5
18825339,CahnEmily,"Cahn, Emily",Mic,Senior Politics Writer,F,16980,2134,100803,Sat Jan 10 03:19:50 +0000 2009,True,False,1440.0,1834.0,473.0,4449.0,8196.0,148,18
1132012321,DaniellaMicaela,"Diaz, Daniella",CNN,"Reporter, CNN Politics",F,14612,999,14114,Tue Jan 29 20:05:07 +0000 2013,True,False,694.0,257.0,557.0,569.0,2077.0,144,22
16812908,crousselle,"Rousselle, Christine",Townhall,Managing Web Editor,F,5327,1051,118713,Thu Oct 16 19:49:05 +0000 2008,True,False,445.0,208.0,1089.0,609.0,2351.0,144,3
47758416,marissaaevans,"Evans, Marissa",Texas Tribune,Health & Human Services Policy Reporter,F,6850,4018,47343,Tue Jun 16 22:35:53 +0000 2009,True,False,113.0,212.0,266.0,651.0,1242.0,137,1
36607254,Oriana0214,"Pawlyk, Oriana",Military.com,Air War Reporter,F,6397,2912,24911,Thu Apr 30 05:48:35 +0000 2009,True,False,293.0,405.0,296.0,560.0,1554.0,133,5
