,screen_name,name,organization,position,gender,followers_count,following_count,tweet_count,user_created_at,verified,protected,original,quote,reply,retweet,tweets_in_dataset,mention_count,mentioning_count
28496589,TenaciousTopper,"Shutt, Charles",WUSA–TV,Chief Meteorologist,M,15868,295,18391,Fri Apr 03 03:54:40 +0000 2009,True,False,496.0,30.0,6.0,250.0,782.0,239,13
63149389,hbwx,"Bernstein, Howard",WUSA–TV,Meteorologist,M,8337,758,48025,Wed Aug 05 14:38:33 +0000 2009,True,False,822.0,67.0,185.0,530.0,1604.0,235,10
407013776,burgessev,"Everett, John B.",Politico,Congressional Reporter,M,31010,1782,27294,Mon Nov 07 14:22:19 +0000 2011,True,False,836.0,344.0,275.0,218.0,1673.0,212,46
14529929,jaketapper,"Tapper, Jake",CNN,Anchor & Chief Washington Correspondent,M,1305680,5757,148143,Fri Apr 25 17:23:28 +0000 2008,True,False,1316.0,287.0,1040.0,2435.0,5078.0,127,51
169586280,WaPoSean,"Sullivan, Sean",Washington Post,Congressional Reporter,M,22860,1932,14472,Thu Jul 22 18:03:05 +0000 2010,True,False,295.0,33.0,15.0,178.0,521.0,117,20
997684836,pkcapitol,"Kane, Paul",Washington Post,Congressional Reporter,M,31300,279,22456,Sat Dec 08 18:16:23 +0000 2012,True,False,195.0,140.0,185.0,267.0,787.0,116,47
123327472,peterbakernyt,"Baker, Peter",New York Times,Chief White House Correspondent,M,96956,1986,17726,Mon Mar 15 18:55:27 +0000 2010,True,False,424.0,43.0,81.0,216.0,764.0,107,43
13524182,daveweigel,"Weigel, David",Washington Post,Political Reporter,M,332344,10285,169908,Fri Feb 15 17:58:23 +0000 2008,True,False,758.0,859.0,244.0,2703.0,4564.0,106,42
46557945,StevenTDennis,"Dennis, Steven T.",Bloomberg News,Congressional Reporter,M,55762,9043,67526,Fri Jun 12 02:29:03 +0000 2009,True,False,522.0,546.0,1026.0,972.0,3066.0,105,27
15931637,jonkarl,"Karl, Jonathan",ABC News,Chief White House Correspondent,M,183467,501,11563,Thu Aug 21 14:17:20 +0000 2008,True,False,107.0,77.0,59.0,191.0,434.0,104,40
9126752,reporterjoe,"Gould, Joseph M.",Sightline Media Group,"Congress Reporter, Defense News",M,4702,3386,9148,Thu Sep 27 15:51:38 +0000 2007,True,False,314.0,229.0,272.0,375.0,1190.0,98,16
39155029,mkraju,"Raju, Manu K.",CNN,Senior Congressional Reporter,M,88366,3418,20066,Mon May 11 01:13:00 +0000 2009,True,False,587.0,35.0,50.0,284.0,956.0,95,43
16930125,edatpost,"O’Keefe, Edward",Washington Post,Congress Reporter,M,58670,16579,42254,Thu Oct 23 16:47:50 +0000 2008,True,False,669.0,142.0,26.0,540.0,1377.0,84,41
48802204,HardballChris,"Matthews, Chris",NBC News,"Host, Hardball",M,718330,350,1037,Fri Jun 19 19:29:58 +0000 2009,True,False,7.0,0.0,0.0,2.0,9.0,80,9
19107878,GlennThrush,"Thrush, Glenn H.",New York Times,White House Correspondent,M,308181,3754,31419,Sat Jan 17 11:34:09 +0000 2009,True,False,558.0,386.0,9.0,154.0,1107.0,78,37
217550862,BresPolitico,"Bresnahan, John",Politico,Capitol Bureau Chief,M,40562,1910,48870,Fri Nov 19 21:01:30 +0000 2010,False,False,375.0,309.0,84.0,1739.0,2507.0,78,27
24439201,jameshohmann,"Hohmann, James P.",Washington Post,National Political Correspondent,M,38708,3201,31426,Sat Mar 14 22:11:59 +0000 2009,True,False,255.0,95.0,42.0,859.0,1251.0,78,27
18678924,jmartNYT,"Martin, Jonathan",New York Times,National Political Correspondent,M,197322,5756,106970,Tue Jan 06 15:20:59 +0000 2009,True,False,478.0,467.0,200.0,1665.0,2810.0,75,37
22891564,chrisgeidner,"Geidner, Chris",BuzzFeed,Legal Editor & Supreme Court Correspondent,M,83316,4858,205504,Thu Mar 05 06:48:00 +0000 2009,True,False,788.0,550.0,3917.0,989.0,6244.0,73,15
