,followers_count,followers_count,followers_count,following_count,following_count,following_count,tweet_count,tweet_count,tweet_count,tweets_in_dataset,tweets_in_dataset,tweets_in_dataset
,sum,size,average,sum,size,average,sum,size,average,sum,size,average
organization,,,,,,,,,,,,
,57347,29,1977.4827586206898,30788,29,1061.655172413793,151441,29,5222.103448275862,2767.0,29.0,95.41379310344827
ABC 7,889,1,889.0,1092,1,1092.0,1946,1,1946.0,464.0,1.0,464.0
ABC News,602790,52,11592.115384615385,72154,52,1387.576923076923,372200,52,7157.692307692308,8629.0,52.0,165.94230769230768
AP–Broadcast,5305,15,353.6666666666667,7974,15,531.6,16794,15,1119.6,527.0,15.0,35.13333333333333
Afro American Newspapers,189,1,189.0,202,1,202.0,596,1,596.0,14.0,1.0,14.0
Agence France Presse (AFP–TV),789,4,197.25,946,4,236.5,1034,4,258.5,39.0,4.0,9.75
Agence France-Presse,83643,21,3983.0,20242,21,963.9047619047619,97224,21,4629.714285714285,2934.0,21.0,139.71428571428572
Agri-Pulse,7134,3,2378.0,2702,3,900.6666666666666,8947,3,2982.3333333333335,159.0,3.0,53.0
Air Force Magazine,1376,1,1376.0,992,1,992.0,5027,1,5027.0,70.0,1.0,70.0
Alaska Dispatch News,6728,1,6728.0,1053,1,1053.0,8222,1,8222.0,331.0,1.0,331.0
Alaska Public Radio Network,896,1,896.0,389,1,389.0,763,1,763.0,94.0,1.0,94.0
Albuquerque Journal,2862,1,2862.0,1815,1,1815.0,12266,1,12266.0,278.0,1.0,278.0
Aljazeera America,41432,6,6905.333333333333,4282,6,713.6666666666666,43171,6,7195.166666666667,1857.0,6.0,309.5
Aljazeera English,132780,31,4283.225806451613,52225,31,1684.6774193548388,204044,31,6582.064516129032,5443.0,31.0,175.58064516129033
Allentown Morning Call,5224,1,5224.0,2084,1,2084.0,10390,1,10390.0,217.0,1.0,217.0
American Banker,1564,2,782.0,1396,2,698.0,3940,2,1970.0,225.0,2.0,112.5
American Gaming Association,1501,1,1501.0,520,1,520.0,5993,1,5993.0,23.0,1.0,23.0
American Prospect,2806,1,2806.0,1723,1,1723.0,3591,1,3591.0,34.0,1.0,34.0
Argus Media,2446,4,611.5,3554,4,888.5,19680,4,4920.0,778.0,4.0,194.5
Army Times,2753,1,2753.0,1664,1,1664.0,2958,1,2958.0,342.0,1.0,342.0
Associated Press,347954,56,6213.464285714285,82187,56,1467.625,328798,56,5871.392857142857,11075.0,56.0,197.76785714285714
Atlanta Journal-Consitution,4943,1,4943.0,1098,1,1098.0,19848,1,19848.0,238.0,1.0,238.0
Austin American-Statesman,1039,1,1039.0,530,1,530.0,38464,1,38464.0,3864.0,1.0,3864.0
Axios,72861,6,12143.5,11535,6,1922.5,58283,6,9713.833333333334,2288.0,6.0,381.3333333333333
BBC,452118,35,12917.657142857142,36726,35,1049.3142857142857,190972,35,5456.342857142857,7117.0,35.0,203.34285714285716
Baltimore Sun,15070,3,5023.333333333333,4879,3,1626.3333333333333,31474,3,10491.333333333334,430.0,3.0,143.33333333333334
Bankrate,5375,1,5375.0,5853,1,5853.0,27356,1,27356.0,695.0,1.0,695.0
Bloomberg BNA,70996,86,825.5348837209302,63492,86,738.2790697674419,387536,86,4506.232558139535,15522.0,86.0,180.48837209302326
