"ninglin","20711445","Glinski, Nina","","Freelance Reporter","F","968","507","909","Thu Feb 12 20:00:53 +0000 2009","False","False"
"davidjenders","258917371","Enders, David","","Journalist","M","1451","480","6299","Mon Feb 28 19:52:03 +0000 2011","True","False"
"mattbarakat","297046834","Barakat, Matthew","Associated Press","Northern Virginia Correspondent","M","754","349","620","Wed May 11 20:55:24 +0000 2011","True","False"
"kimberlyeatkins","455585786","Atkins, Kimberly","Boston Herald","Chief Washington Reporter/Columnist","F","2399","2661","5846","Thu Jan 05 08:26:46 +0000 2012","True","False"
"toulavlahou","42584840","Vlahou, Toula","CQ Roll Call","Editor & Podcast Producer","F","2713","198","6325","Tue May 26 07:41:38 +0000 2009","False","False"
"julie_appleby","183735745","Appleby, Julie","Kaiser Health News","Senior Reporter","F","10790","89","475","Fri Aug 27 19:28:11 +0000 2010","False","False"
"goldsteindavidj","117434676","Goldstein, David","McClatchy Newspapers","National Correspondent","M","619","170","327","Thu Feb 25 15:13:07 +0000 2010","False","False"
"coralmdavenport","48075643","Davenport, Coral","New York Times","Energy & Environment Policy Reporter","F","35315","2766","4837","Wed Jun 17 19:10:40 +0000 2009","True","False"
"abettel","23455653","Bettelheim, Adriel","Politico","Health Care Editor","F","2563","1059","15709","Mon Mar 09 16:32:20 +0000 2009","True","False"
"jamesarkin","272710377","Arkin, James","RealClearPolitics","Congressional Reporter","M","3171","1507","12227","Sun Mar 27 01:31:23 +0000 2011","True","False"
"rosiegray","116341480","Gray, Rosie","The Atlantic","Staff Writer","F","92110","2025","61746","Mon Feb 22 03:27:53 +0000 2010","True","False"
"amandabecker","233985354","Becker, Amanda","Thomson Reuters","Financial Regulation Reporter","F","5233","1135","21858","Tue Jan 04 15:47:24 +0000 2011","True","False"
"alpertdc","498968683","Alpert, Bruce","Voice of America","Reporter/Writer","M","1569","2298","5556","Tue Feb 21 16:35:28 +0000 2012","False","False"
"rebeccaballhaus","705706292","Ballhaus, Rebecca","Wall Street Journal / Dow Jones","Reporter, White House & Money in Politics","F","22928","1750","11589","Thu Jul 19 20:12:07 +0000 2012","True","False"
