"dcjournojo","1539675883","Anderson, Joanna","","","F","White","412","341","2314","Sat Jun 22 22:45:01 +0000 2013","False","False"
"saunique","146524387","Anderson, Stacy","","","F","Black","93","102","3909","Fri May 21 17:06:52 +0000 2010","False","False"
"melissaattias","347395654","Attias, Melissa","","","F","White","1527","1488","2468","Tue Aug 02 18:49:04 +0000 2011","False","False"
"marisol_bello","16191760","Bello, Marisol","","","F","Hispanic","3538","1549","6589","Mon Sep 08 20:42:28 +0000 2008","True","False"
"autumnsan1","442319975","Brewington, Autumn","","Freelance Reporter","F","White","2122","482","5194","Wed Dec 21 00:29:54 +0000 2011","True","False"
"christiecarr","17878960","Carr, Christina","","","F","White","1459","1955","2997","Thu Dec 04 21:03:08 +0000 2008","False","False"
"conniecass","485900153","Cass, Connie","","","F","White","747","329","892","Tue Feb 07 18:03:57 +0000 2012","False","False"
"victoriafinkle","393596432","Finkle, Victoria","","Freelance Banking Reporter","F","White","2360","1930","5889","Tue Oct 18 19:40:45 +0000 2011","False","False"
"ninglin","20711445","Glinski, Nina","","Freelance Reporter","F","White","967","507","909","Thu Feb 12 20:00:53 +0000 2009","False","False"
"southhillmedia","142444663","Gossman, Jean","","","F","White","230","883","1780","Mon May 10 22:33:32 +0000 2010","False","False"
"kristamhughes","107420944","Hughes, Krista","","","F","White","1250","193","861","Fri Jan 22 14:12:10 +0000 2010","False","False"
"ekhatami","285252127","Khatami, Elham","","","F","Middle Eastern","2717","578","2698","Wed Apr 20 20:24:10 +0000 2011","True","False"
"samlachman","270017791","Lachman, Samantha","","","F","White","2394","865","7546","Mon Mar 21 21:18:49 +0000 2011","True","True"
"katherinelewis","17056770","Lewis, Katherine","","Freelance Reporter","F","White","4232","2077","4284","Thu Oct 30 01:02:53 +0000 2008","True","False"
"nottoolatemom","57147675","Lytle, Tamara","","Freelance Reporter","F","White","305","477","222","Wed Jul 15 21:47:38 +0000 2009","False","False"
"jessicameyers","12618392","Meyers, Jessica","","Freelance Reporter, China","F","White","1894","964","718","Wed Jan 23 23:22:09 +0000 2008","True","False"
"katyridel","124175271","Ridel, Kaitlyn","","","F","White","818","911","4862","Thu Mar 18 14:11:25 +0000 2010","False","False"
"katierucke","128238199","Rucke, Katie","","Freelance Reporter","F","White","912","664","12906","Wed Mar 31 14:44:11 +0000 2010","False","False"
"melanietrottman","867504295","Trottman, Melanie","","Former Labor & Economics Reporter","F","Black","3141","370","3136","Mon Oct 08 06:03:38 +0000 2012","False","False"
"janievelencia","137789852","Velencia, Xhensila","","Reporter","F","White","3779","1481","8855","Tue Apr 27 19:36:12 +0000 2010","True","False"
"ardingerw","871900302","Ardinger, Will","","","M","White","107","904","135","Wed Oct 10 14:37:57 +0000 2012","False","False"
"matthewbandyk","732924654","Bandyk, Matt","","","M","White","407","122","57","Thu Aug 02 14:24:32 +0000 2012","False","False"
"dmalcolmbirch","16308568","Birch, Douglas","","Freelance Reporter","M","White","703","1160","3610","Tue Sep 16 08:58:44 +0000 2008","False","False"
"newsokpolitics","109648027","Casteel, Chris","","","M","White","3446","485","12470","Fri Jan 29 19:48:26 +0000 2010","False","False"
"hdruzin","501257814","Druzin, Heath","","","M","White","2111","899","4323","Thu Feb 23 23:42:59 +0000 2012","False","False"
"kevineckstrom","380369123","Eckstrom, Kevin","","","M","White","3710","524","1856","Mon Sep 26 14:48:17 +0000 2011","False","False"
"vellicott","15920374","Ellicott, Val","","Freelance Editor","M","White","196","256","543","Wed Aug 20 17:39:58 +0000 2008","False","False"
"davidjenders","258917371","Enders, David","","Journalist","M","White","1446","479","6303","Mon Feb 28 19:52:03 +0000 2011","True","False"
"operation_ryan","2279619193","Faith, Ryan","","","M","White","3709","684","2390","Mon Jan 06 21:25:36 +0000 2014","True","False"
"ffrommer","31461776","Frommer, Frederic","","","M","White","1605","1603","2431","Wed Apr 15 17:27:33 +0000 2009","True","False"
"jaredgilmour","234177710","Gilmour, Jared","","","M","White","997","1485","4285","Wed Jan 05 01:02:05 +0000 2011","False","False"
"ghager50","136073025","Hager, George","","","M","White","342","286","174","Thu Apr 22 23:45:47 +0000 2010","False","False"
"_michaelhoffman","239630736","Hoffman, Michael","","","M","White","3958","1553","5421","Tue Jan 18 02:16:11 +0000 2011","True","False"
"cehoskinson","506033683","Hoskinson, Charles","","","M","White","2006","3161","38482","Mon Feb 27 16:00:47 +0000 2012","True","False"
"clarkhoyt","119896711","Hoyt, Clark","","","M","White","324","39","1","Thu Mar 04 22:04:03 +0000 2010","False","False"
"bryantjordan","57657732","Jordan, Bryant","","","M","White","771","1263","3920","Fri Jul 17 14:33:56 +0000 2009","False","False"
"nkingofdc","135515077","King, Neil","","","M","White","19723","1409","18126","Wed Apr 21 14:28:38 +0000 2010","True","False"
"d_miedema","19815666","Miedema, Douwe","","","M","White","1106","196","3974","Sat Jan 31 13:56:20 +0000 2009","False","False"
"braiesene","366620845","Odion-Esene, Braimoh","","","M","Black","589","482","8635","Fri Sep 02 14:20:08 +0000 2011","False","False"
"stevethomma","123282767","Thomma, Steven","","Government & Politics Editor & Reporter","M","White","2456","322","6637","Mon Mar 15 15:53:12 +0000 2010","True","False"
"john_tranfaglia","240581130","Tranfaglia, John","","Research Analyst","M","White","232","598","1603","Thu Jan 20 07:33:05 +0000 2011","False","False"
"fabiennefaur","380991678","Faur, Fabienne","Agence France-Presse","Political Reporter ","F","Unsure","540","128","120","Tue Sep 27 15:30:37 +0000 2011","False","False"
"steph_griff","295340389","Griffith, Stephanie","Agence France-Presse","Staff Editor","F","Black","235","426","4035","Sun May 08 20:41:55 +0000 2011","False","False"
"elodiemazein","331617851","Mazein, Elodie","Agence France-Presse","Washington Reporter","F","White","64","316","4","Fri Jul 08 13:12:49 +0000 2011","False","True"
"becca_milfeld","18834692","Milfeld, Becca","Agence France-Presse","English Desk Editor and Journalist","F","White","473","938","1454","Sat Jan 10 13:58:43 +0000 2009","False","False"
"annerenaut","402155622","Renaut, Anne","Agence France-Presse","Washington Reporter","F","White","8157","1412","6005","Mon Oct 31 16:49:17 +0000 2011","True","False"
"sstummeafp","172673214","Stumme, Susan","Agence France-Presse","North America Desk Chief","F","White","1388","594","3891","Fri Jul 30 08:42:56 +0000 2010","True","False"
"chantalvalery","245415463","Valery, Chantal","Agence France-Presse","Deputy Editor in Chief","F","White","1142","593","460","Mon Jan 31 17:05:03 +0000 2011","True","False"
"jennyvaughan","20061328","Vaughan, Jenny","Agence France-Presse","Vietnam Bureau Chief","F","White","3449","3694","719","Wed Feb 04 15:32:35 +0000 2009","True","False"
"abdulshaz","414936779","Abdul, Shahzad","Agence France-Presse","Washington Reporter","M","Middle Eastern","1595","691","4956","Thu Nov 17 17:48:34 +0000 2011","True","False"
"laubarth","100270054","Barthelemy, Laurent","Agence France-Presse","Washington Reporter","M","White","174","462","4","Tue Dec 29 17:02:01 +0000 2009","False","False"
"andrewbeatty","27058591","Beatty, Andrew","Agence France-Presse","White House Correspondent","M","White","16591","2119","21225","Fri Mar 27 18:02:33 +0000 2009","True","False"
"leobruneau","29442455","Bruneau, Leon","Agence France-Presse","Deputy Chief Editor","M","White","453","164","250","Tue Apr 07 13:03:29 +0000 2009","False","False"
"daveclark_afp","164273824","Clark, David","Agence France-Presse","Diplomatic Correspondent","M","White","4859","2953","18926","Thu Jul 08 13:29:28 +0000 2010","True","False"
"ivancouronne","17107316","Couronne, Ivan","Agence France-Presse","Reporter","M","White","23163","1822","10847","Sun Nov 02 00:05:11 +0000 2008","True","False"
"gdecamme","114580428","Decamme, Guillaume","Agence France-Presse","Reporter","M","White","2107","441","1286","Mon Feb 15 22:21:04 +0000 2010","True","False"
"michaellangan","139381276","Langan, Michael","Agence France-Presse","Americas Editor","M","White","163","906","67","Sun May 02 12:35:07 +0000 2010","False","False"
"dclefkow","14882811","Lefkow, David","Agence France-Presse","Chief Editor/North America","M","White","879","551","425","Fri May 23 15:31:01 +0000 2008","True","False"
"rleverafp","102994740","Lever, Robert","Agence France-Presse","Technology & Media Correspondent","M","White","1026","1291","1230","Fri Jan 08 14:21:49 +0000 2010","True","False"
"romacpher","124426828","MacPherson, Robert","Agence France-Presse","Reporter","M","White","824","534","2283","Fri Mar 19 10:50:34 +0000 2010","True","True"
"michaelmathes","18179659","Mathes, Michael","Agence France-Presse","Politics & Congress Correspondent","M","White","2534","1776","12296","Wed Dec 17 02:15:17 +0000 2008","True","False"
"davidmillikin","7957852","Millikin, David","Agence France-Presse","Director for North America","M","White","1423","672","852","Sat Aug 04 17:31:10 +0000 2007","True","False"
"ramsahmkow","49553300","Sahmkow, Ramon","Agence France-Presse","Latin America Reporter","M","Hispanic","761","857","3074","Mon Jun 22 06:06:42 +0000 2009","False","False"
"jeanlouissantin","809597690","Santini, Jean-Louis","Agence France-Presse","Correspondent","M","White","354","60","698","Fri Sep 07 21:02:52 +0000 2012","False","False"
"pstebbings","252327064","Stebbings, Peter","Agence France-Presse","Sports Editor/Writer","M","White","558","331","1969","Mon Feb 14 23:48:30 +0000 2011","False","False"
"jeremy_tordjman","403310286","Tordjman, Jeremy","Agence France-Presse","Washington Reporter","M","Unsure","305","164","22","Wed Nov 02 09:51:51 +0000 2011","False","False"
"washingtonski","17908925","Waschinski, Gregor","Agence France-Presse","Berlin Correspondent","M","White","274","218","253","Fri Dec 05 21:43:38 +0000 2008","False","False"
"thomaswatkins","23034870","Watkins, Thomas","Agence France-Presse","Pentagon Correspondent","M","White","2196","1385","1918","Fri Mar 06 05:26:50 +0000 2009","True","False"
"michaelcoleman","20384533","Coleman, Michael","Albuquerque Journal","Washington Correspondent","M","White","2844","1805","12108","Sun Feb 08 18:58:54 +0000 2009","False","False"
"lauraolson","15756288","Olson, Laura","Allentown Morning Call","DC Correspondent","F","White","5194","2057","10268","Wed Aug 06 22:42:26 +0000 2008","True","False"
"johnheltman","594638044","Heltman, John","American Banker","Fed/FSOC Reporter","M","White","948","762","2459","Wed May 30 14:26:26 +0000 2012","True","False"
"ianmckendry13","224711189","McKendry, Ian","American Banker","Reporter","M","White","588","619","1379","Thu Dec 09 17:41:09 +0000 2010","False","False"
"elizarules","23768237","Carney, Eliza","American Prospect","Senior Editor","F","White","2799","1723","3577","Wed Mar 11 14:17:42 +0000 2009","False","False"
"mirrorballdc","96391851","Ball, Michael","Argus Media","Editor, Argus Air Daily","M","Unsure","315","951","16213","Sat Dec 12 18:23:31 +0000 2009","False","False"
"fordneyenergy","1510951723","Fordney, Jason","Argus Media","Energy Reporter & Editor","M","White","77","182","26","Wed Jun 12 16:07:54 +0000 2013","False","False"
"haik_gugarats","119179453","Gugarats, Haik","Argus Media","Global Energy Politics Reporter","M","White","319","1225","895","Tue Mar 02 22:23:38 +0000 2010","False","False"
"chrispknight","39254779","Knight, Chris","Argus Media","Energy Policy Reporter","M","White","665","468","1106","Mon May 11 13:53:57 +0000 2009","False","False"
"snyd24","173919208","Snyder, Jim","Argus Media","News Editor","M","White","1130","865","952","Mon Aug 02 17:49:18 +0000 2010","False","False"
"frankaukofer","57741424","Aukofer, Frank","Artists & Writers Syndicate","","M","White","181","135","100","Fri Jul 17 20:03:41 +0000 2009","False","False"
"lbaldor","109377487","Baldor, Lolita","Associated Press","National Security/Pentagon Reporter ","F","White","4680","118","487","Thu Jan 28 21:25:10 +0000 2010","True","False"
"wbenjaminson","22053966","Benjaminson, Wendy","Associated Press","Acting Washington Bureau Chief","F","White","2162","538","1589","Thu Feb 26 20:05:02 +0000 2009","True","False"
"bykowicz","37721714","Bykowicz, Julie","Associated Press","White House Reporter","F","White","11065","986","13254","Mon May 04 18:33:35 +0000 2009","True","False"
