"Total Degree","Frequency","TF-IDF","Action","Current Node Name","New Node Name","Current Node Class","New Node Class","Current Nodeset Name","New Nodeset Name","Current Node Type","New Node Type"
"2526.0","2255",,,"2343897943",,"Agent",,"Agent",,"",
"3041.0","1863",,,"307982591",,"Agent",,"Agent",,"",
"68.0","29",,,"61023448",,"Agent",,"Agent",,"",
"330.0","158",,,"124224165",,"Agent",,"Agent",,"",
"13631.0","5201",,,"51241574",,"Agent",,"Agent",,"",
"3624.0","1516",,,"230450027",,"Agent",,"Agent",,"",
"982.0","351",,,"15893354",,"Agent",,"Agent",,"",
"182.0","69",,,"286339472",,"Agent",,"Agent",,"",
"284.0","94",,,"89887215",,"Agent",,"Agent",,"",
"14891.0","7425",,,"822215679726100480",,"Agent",,"Agent",,"",
"17.0","7",,,"41416662",,"Agent",,"Agent",,"",
"15390.0","11919",,,"50011708",,"Agent",,"Agent",,"",
"587.0","182",,,"14849562",,"Agent",,"Agent",,"",
"4703.0","1492",,,"15012486",,"Agent",,"Agent",,"",
"239.0","104",,,"115749048",,"Agent",,"Agent",,"",
"6063.0","2610",,,"21252618",,"Agent",,"Agent",,"",
"365.0","103",,,"65905779",,"Agent",,"Agent",,"",
"9463.0","3170",,,"93069110",,"Agent",,"Agent",,"",
"221.0","73",,,"174338995",,"Agent",,"Agent",,"",
"471.0","192",,,"21111896",,"Agent",,"Agent",,"",
"60.0","30",,,"51205137",,"Agent",,"Agent",,"",
"1800.0","894",,,"17134268",,"Agent",,"Agent",,"",
"78.0","39",,,"36771809",,"Agent",,"Agent",,"",
"1874.0","920",,,"822215673812119553",,"Agent",,"Agent",,"",
"7743.0","3359",,,"21316253",,"Agent",,"Agent",,"",
"366.0","140",,,"24464743",,"Agent",,"Agent",,"",
"5095.0","2626",,,"818927131883356161",,"Agent",,"Agent",,"",
"3456.0","1789",,,"47632905",,"Agent",,"Agent",,"",
"24.0","12",,,"100420381",,"Agent",,"Agent",,"",
"2127.0","855",,,"237477771",,"Agent",,"Agent",,"",
"46.0","22",,,"404137465",,"Agent",,"Agent",,"",
"47.0","18",,,"12044602",,"Agent",,"Agent",,"",
"1448.0","936",,,"5336752",,"Agent",,"Agent",,"",
"293.0","80",,,"14348157",,"Agent",,"Agent",,"",
"2097.0","648",,,"47455112",,"Agent",,"Agent",,"",
"6.0","2",,,"10454572",,"Agent",,"Agent",,"",
"40.0","20",,,"9830752",,"Agent",,"Agent",,"",
"135.0","60",,,"231510077",,"Agent",,"Agent",,"",
"642.0","285",,,"23022687",,"Agent",,"Agent",,"",
"70.0","34",,,"22162854",,"Agent",,"Agent",,"",
"1380.0","494",,,"4119741",,"Agent",,"Agent",,"",
"2804.0","994",,,"36890646",,"Agent",,"Agent",,"",
"1078.0","449",,,"41704988",,"Agent",,"Agent",,"",
"2604.0","1229",,,"818910970567344128",,"Agent",,"Agent",,"",
"278.0","110",,,"358545917",,"Agent",,"Agent",,"",
"180.0","88",,,"803703725730779136",,"Agent",,"Agent",,"",
"4102.0","1334",,,"15433452",,"Agent",,"Agent",,"",
"4210.0","2850",,,"58869089",,"Agent",,"Agent",,"",
"638.0","215",,,"436925910",,"Agent",,"Agent",,"",
"19599.0","9425",,,"25073877",,"Agent",,"Agent",,"",
"798.0","375",,,"52544275",,"Agent",,"Agent",,"",
"6627.0","5795",,,"3066095122",,"Agent",,"Agent",,"",
"7967.0","6430",,,"117082566",,"Agent",,"Agent",,"",
"73.0","37",,,"202200137",,"Agent",,"Agent",,"",
"1101.0","683",,,"26028938",,"Agent",,"Agent",,"",
"112.0","56",,,"17896154",,"Agent",,"Agent",,"",
"63.0","31",,,"35829796",,"Agent",,"Agent",,"",
"3941.0","1897",,,"18916432",,"Agent",,"Agent",,"",
"471.0","227",,,"829782369670410240",,"Agent",,"Agent",,"",
"2245.0","1086",,,"1209417007",,"Agent",,"Agent",,"",
"24.0","11",,,"2973870195",,"Agent",,"Agent",,"",
"101.0","45",,,"17918065",,"Agent",,"Agent",,"",
"10.0","5",,,"22915667",,"Agent",,"Agent",,"",
"56.0","27",,,"402957663",,"Agent",,"Agent",,"",
"152.0","81",,,"857360184",,"Agent",,"Agent",,"",
"26.0","12",,,"15637375",,"Agent",,"Agent",,"",
"16.0","6",,,"253582818",,"Agent",,"Agent",,"",
"2.0","1",,,"73267118",,"Agent",,"Agent",,"",
"353.0","250",,,"36129751",,"Agent",,"Agent",,"",
"1066.0","392",,,"42958829",,"Agent",,"Agent",,"",
"17.0","6",,,"24178302",,"Agent",,"Agent",,"",
"5461.0","4186",,,"46176168",,"Agent",,"Agent",,"",
"66.0","25",,,"119829799",,"Agent",,"Agent",,"",
"551.0","267",,,"20776147",,"Agent",,"Agent",,"",
"190.0","92",,,"20733972",,"Agent",,"Agent",,"",
"6.0","2",,,"16503944",,"Agent",,"Agent",,"",
"102.0","57",,,"58908090",,"Agent",,"Agent",,"",
"269.0","144",,,"70709534",,"Agent",,"Agent",,"",
"104.0","51",,,"21702539",,"Agent",,"Agent",,"",
"9.0","4",,,"21373560",,"Agent",,"Agent",,"",
"99.0","49",,,"23124635",,"Agent",,"Agent",,"",
"208.0","103",,,"246769138",,"Agent",,"Agent",,"",
"67.0","32",,,"102238997",,"Agent",,"Agent",,"",
"85.0","37",,,"178082389",,"Agent",,"Agent",,"",
"423.0","209",,,"14153020",,"Agent",,"Agent",,"",
"139.0","61",,,"39012674",,"Agent",,"Agent",,"",
"6.0","3",,,"22037861",,"Agent",,"Agent",,"",
"12238.0","2706",,,"1917731",,"Agent",,"Agent",,"",
"815.0","724",,,"15750667",,"Agent",,"Agent",,"",
"42.0","21",,,"29546945",,"Agent",,"Agent",,"",
"2200.0","1557",,,"47598412",,"Agent",,"Agent",,"",
"3702.0","3099",,,"212674482",,"Agent",,"Agent",,"",
"5.0","1",,,"91650974",,"Agent",,"Agent",,"",
"2.0","1",,,"26963424",,"Agent",,"Agent",,"",
"2.0","1",,,"62037775",,"Agent",,"Agent",,"",
"11963.0","7735",,,"15754281",,"Agent",,"Agent",,"",
"41.0","14",,,"16347506",,"Agent",,"Agent",,"",
"4.0","2",,,"278688737",,"Agent",,"Agent",,"",
"4.0","2",,,"1465030333",,"Agent",,"Agent",,"",
"6.0","2",,,"2235383382",,"Agent",,"Agent",,"",
"10673.0","3686",,,"807095",,"Agent",,"Agent",,"",
"5.0","1",,,"2459084797",,"Agent",,"Agent",,"",
"4.0","1",,,"189660705",,"Agent",,"Agent",,"",
"406.0","228",,,"41882703",,"Agent",,"Agent",,"",
"392.0","150",,,"18018355",,"Agent",,"Agent",,"",
"114.0","53",,,"24164338",,"Agent",,"Agent",,"",
"109.0","57",,,"50303740",,"Agent",,"Agent",,"",
"63.0","27",,,"72955560",,"Agent",,"Agent",,"",
"3281.0","1219",,,"45399148",,"Agent",,"Agent",,"",
"1078.0","336",,,"251983774",,"Agent",,"Agent",,"",
"67.0","30",,,"740031643273027584",,"Agent",,"Agent",,"",
"189.0","77",,,"69181624",,"Agent",,"Agent",,"",
"9660.0","3548",,,"759251",,"Agent",,"Agent",,"",
"44.0","21",,,"20259954",,"Agent",,"Agent",,"",
"71.0","26",,,"246318153",,"Agent",,"Agent",,"",
"224.0","77",,,"121817564",,"Agent",,"Agent",,"",
"21.0","8",,,"41278786",,"Agent",,"Agent",,"",
"2188.0","995",,,"150686538",,"Agent",,"Agent",,"",
"904.0","634",,,"48821786",,"Agent",,"Agent",,"",
"235.0","106",,,"10168082",,"Agent",,"Agent",,"",
"2.0","1",,,"21426656",,"Agent",,"Agent",,"",
"84.0","42",,,"58550415",,"Agent",,"Agent",,"",
"2.0","1",,,"128781736",,"Agent",,"Agent",,"",
"2111.0","1255",,,"9624742",,"Agent",,"Agent",,"",
