Attribute,Group,Count,Percent,
IS_VERIFIED,1,1280,+55.80%,
IS_VERIFIED,No Value,1014,+44.20%,
LOCATION,"Centralia, WA",1,+0.04%,
LOCATION,"Washington, DC",748,+32.61%,
LOCATION,"Washington, D. C.",2,+0.09%,
LOCATION,"I wander...Journalist, author, wanderer. Founder of @Fundaorth",1,+0.04%,
LOCATION,"Washington, DC ",16,+0.70%,
LOCATION,"Washington, D.C.",380,+16.56%,
LOCATION,Washington DC,141,+6.15%,
LOCATION,"Springfield, Va.",1,+0.04%,
LOCATION,Task & Purpose,1,+0.04%,
LOCATION,"Arlington, Va.",8,+0.35%,
LOCATION,Washington,43,+1.87%,
LOCATION,Eastern Market,1,+0.04%,
LOCATION,"Laurel, MD/Washington, D.C.",1,+0.04%,
LOCATION,Washington D.C.,76,+3.31%,
LOCATION,"Los Angeles, CA",14,+0.61%,
LOCATION,District of Columbia,9,+0.39%,
LOCATION,"Washington, D.C., and Missouri",1,+0.04%,
LOCATION,"New York, NY",35,+1.53%,
LOCATION,New Yorker in D.C. ,1,+0.04%,
LOCATION,"Capitol Hill, Washington, D.C.",1,+0.04%,
LOCATION,"Arlington, VA",24,+1.05%,
LOCATION,"Miami Beach, FL",1,+0.04%,
LOCATION,"Capitol Hill, DC",1,+0.04%,
LOCATION,A hallway in the Capitol.,1,+0.04%,
LOCATION,"Washington, DC & airplanes",1,+0.04%,
LOCATION,"The 703, 202, 504 or on the road",1,+0.04%,
LOCATION,DC,22,+0.96%,
LOCATION,Ajchavar.com,1,+0.04%,
LOCATION,NY | DC,1,+0.04%,
LOCATION,Davidson or D.C. or ...,1,+0.04%,
LOCATION,"Washington, d.c.",4,+0.17%,
LOCATION,The Capitol,1,+0.04%,
LOCATION,New York City,4,+0.17%,
LOCATION,"Washington, D.C., USA",2,+0.09%,
LOCATION,DC-area,1,+0.04%,
LOCATION,Cecil D. Andrus-White Clouds Wilderness,1,+0.04%,
LOCATION,"Capitol Hill, Washington",3,+0.13%,
LOCATION,D.C. | Middlebury | London,1,+0.04%,
