Attribute,Measure,Group,Min,Mean,Max,Stddev,
IS_VERIFIED,inDegreeCentrality-1,1,0,1.070e-04,0.002,1.680e-04,
IS_VERIFIED,inDegreeCentrality-1,No Value,0,3.617e-05,0.001,9.506e-05,
IS_VERIFIED,kcore-1,1,0,0.002,0.006,0.002,
IS_VERIFIED,kcore-1,No Value,0,6.491e-04,0.006,0.001,
IS_VERIFIED,totalDegreeCentrality-1,1,0,1.088e-04,0.002,1.959e-04,
IS_VERIFIED,totalDegreeCentrality-1,No Value,0,2.263e-05,9.085e-04,6.660e-05,
IS_VERIFIED,twitter-actualInfluencer-1,1,4.420e-07,0.020,1,0.059,
IS_VERIFIED,twitter-actualInfluencer-1,No Value,2.512e-08,0.001,0.071,0.005,
IS_VERIFIED,twitter-averageMentionsPerTweet-1,1,0,0.082,0.848,0.074,
IS_VERIFIED,twitter-averageMentionsPerTweet-1,No Value,0,0.068,1,0.087,
IS_VERIFIED,twitter-mostMentioned-1,1,0,0.014,0.215,0.020,
IS_VERIFIED,twitter-mostMentioned-1,No Value,0,0.002,0.047,0.005,
IS_VERIFIED,twitter-numberOfFollowers-1,1,7.941e-05,0.015,1,0.062,
IS_VERIFIED,twitter-numberOfFollowers-1,No Value,0,0.001,0.071,0.003,
IS_VERIFIED,twitter-potentialConnectors-1,1,0,1.425e-04,0.004,2.602e-04,
IS_VERIFIED,twitter-potentialConnectors-1,No Value,0,1.874e-05,6.818e-04,5.759e-05,
IS_VERIFIED,twitter-potentialReach-1,1,0,1.300e-04,7.060e-04,1.217e-04,
IS_VERIFIED,twitter-potentialReach-1,No Value,0,3.456e-05,3.557e-04,6.134e-05,
IS_VERIFIED,twitter-reciprocalMentionsCliqueCount-1,1,0,0.019,1,0.068,
IS_VERIFIED,twitter-reciprocalMentionsCliqueCount-1,No Value,0,0.002,0.348,0.014,
IS_VERIFIED,twitter-totalMentionsDegree-1,1,0,1.172e-04,0.002,1.835e-04,
IS_VERIFIED,twitter-totalMentionsDegree-1,No Value,0,2.868e-05,7.603e-04,6.953e-05,
IS_VERIFIED,twitter-totalMentionsKcore-1,1,0,0.004,0.010,0.003,
IS_VERIFIED,twitter-totalMentionsKcore-1,No Value,0,0.001,0.010,0.002,
IS_VERIFIED,twitter-totalMentionsPageRank-1,1,8.153e-05,6.475e-04,0.012,0.001,
IS_VERIFIED,twitter-totalMentionsPageRank-1,No Value,8.153e-05,1.701e-04,0.003,2.134e-04,
