Measure,TWEET_COUNT,NUMBER_FOLLOWERS,
inDegreeCentrality-1,0.700,0.188,
kcore-1,0.401,0.203,
totalDegreeCentrality-1,0.464,0.201,
twitter-actualInfluencer-1,0.314,0.592,
twitter-averageMentionsPerTweet-1,-0.038,0.010,
twitter-mostMentioned-1,0.368,0.382,
twitter-numberOfFollowers-1,0.166,1,
twitter-potentialConnectors-1,0.464,0.688,
twitter-potentialReach-1,0.352,0.319,
twitter-reciprocalMentionsCliqueCount-1,0.328,0.235,
twitter-totalMentionsDegree-1,0.604,0.302,
twitter-totalMentionsKcore-1,0.339,0.253,
twitter-totalMentionsPageRank-1,0.329,0.366,
twitter-totalReciprocalMentionsUnweighted-1,0.478,0.247,
twitter-trustedSource-1,0.373,0.339,
twitter-wantsToBeInfluencer-1,0.659,0.134,
weakComponentMembers-2,-0.174,-0.067,
weakComponentMembers-3,-0.127,-0.048,
weakComponentMembers-4,-0.220,-0.094,
weakComponentMembers-5,-0.265,-0.089,
