Attribute,Group,Count,Percent,
HAS_URL,1,498399,+58.55%,
HAS_URL,No Value,352897,+41.45%,
LANGUAGE,En,815561,+95.80%,
LANGUAGE,Fr,1865,+0.22%,
LANGUAGE,Und,22575,+2.65%,
LANGUAGE,Pl,240,+0.03%,
LANGUAGE,It,278,+0.03%,
LANGUAGE,Tr,111,+0.01%,
LANGUAGE,Tl,584,+0.07%,
LANGUAGE,In,771,+0.09%,
LANGUAGE,Ca,188,+0.02%,
LANGUAGE,Vi,11,+0.00%,
LANGUAGE,No,155,+0.02%,
LANGUAGE,De,457,+0.05%,
LANGUAGE,Cy,180,+0.02%,
LANGUAGE,Pt,272,+0.03%,
LANGUAGE,Es,3651,+0.43%,
LANGUAGE,Nl,221,+0.03%,
LANGUAGE,Et,210,+0.02%,
LANGUAGE,Hu,33,+0.00%,
LANGUAGE,Ht,332,+0.04%,
LANGUAGE,Hi,51,+0.01%,
LANGUAGE,Ro,257,+0.03%,
LANGUAGE,Da,271,+0.03%,
LANGUAGE,Zh,244,+0.03%,
LANGUAGE,Fi,72,+0.01%,
LANGUAGE,Lt,34,+0.00%,
LANGUAGE,Sv,139,+0.02%,
LANGUAGE,Eu,64,+0.01%,
LANGUAGE,Is,22,+0.00%,
LANGUAGE,Lv,25,+0.00%,
LANGUAGE,Ko,40,+0.00%,
LANGUAGE,Ur,2,+0.00%,
LANGUAGE,Ar,53,+0.01%,
LANGUAGE,Ru,117,+0.01%,
LANGUAGE,Cs,37,+0.00%,
LANGUAGE,Sl,13,+0.00%,
LANGUAGE,Ja,39,+0.00%,
LANGUAGE,Uk,1072,+0.13%,
LANGUAGE,Iw,41,+0.00%,
LANGUAGE,Km,13,+0.00%,
LANGUAGE,Fa,985,+0.12%,
LANGUAGE,My,4,+0.00%,
LANGUAGE,El,2,+0.00%,
LANGUAGE,Bn,2,+0.00%,
LANGUAGE,Ps,2,+0.00%,
IS_GEOTAGGED,1,469,+0.06%,
IS_GEOTAGGED,No Value,850827,+99.94%,
IS_RETWEET,1,290609,+34.14%,
IS_RETWEET,No Value,560687,+65.86%,
