Attribute,Measure,Group,Min,Mean,Max,Stddev,
HAS_URL,weakComponentMembers-1,1,5,269850.296,560687,163888.985,
HAS_URL,weakComponentMembers-1,No Value,1,259269.042,560685,158922.007,
LANGUAGE,weakComponentMembers-1,En,1,264699.418,560687,162379.797,
LANGUAGE,weakComponentMembers-1,Fr,54,338680.577,560213,148892.978,
LANGUAGE,weakComponentMembers-1,Und,99,278887.423,560634,157454.251,
LANGUAGE,weakComponentMembers-1,Pl,226,245215.896,560084,169332.228,
LANGUAGE,weakComponentMembers-1,It,352,281975.878,557182,171952.495,
LANGUAGE,weakComponentMembers-1,Tr,358,297927.180,559534,175231.171,
LANGUAGE,weakComponentMembers-1,Tl,386,275282.832,559927,155943.687,
LANGUAGE,weakComponentMembers-1,In,424,272390.243,560057,145203.674,
LANGUAGE,weakComponentMembers-1,Ca,538,236603.915,484728,171467.695,
LANGUAGE,weakComponentMembers-1,Vi,815,127806.273,447004,130963.862,
LANGUAGE,weakComponentMembers-1,No,1073,264134.568,559974,173725.341,
LANGUAGE,weakComponentMembers-1,De,1354,271735.383,559395,152488.847,
LANGUAGE,weakComponentMembers-1,Cy,1631,276954.278,555975,173486.501,
LANGUAGE,weakComponentMembers-1,Pt,1787,292786.265,557061,161201.036,
LANGUAGE,weakComponentMembers-1,Es,1861,290064.271,560235,120720.845,
LANGUAGE,weakComponentMembers-1,Nl,1868,264211.968,556773,171893.921,
LANGUAGE,weakComponentMembers-1,Et,3446,302839.567,555973,158439.336,
LANGUAGE,weakComponentMembers-1,Hu,3741,286076,528464,146474.877,
LANGUAGE,weakComponentMembers-1,Ht,4280,255234.416,560075,161815.596,
LANGUAGE,weakComponentMembers-1,Hi,5379,250109.980,538915,143679.442,
LANGUAGE,weakComponentMembers-1,Ro,5846,277942.833,554914,160783.061,
LANGUAGE,weakComponentMembers-1,Da,7523,237985.509,558617,168894.187,
LANGUAGE,weakComponentMembers-1,Zh,8413,280373.635,537801,85488.216,
LANGUAGE,weakComponentMembers-1,Fi,8988,284635.125,551232,156805.316,
LANGUAGE,weakComponentMembers-1,Lt,10250,241958.353,551875,164283.482,
LANGUAGE,weakComponentMembers-1,Sv,10297,243726.748,549638,164804.333,
LANGUAGE,weakComponentMembers-1,Eu,19135,261189.047,559868,162291.605,
LANGUAGE,weakComponentMembers-1,Is,21429,276266.136,529260,152521.606,
LANGUAGE,weakComponentMembers-1,Lv,28365,326593.200,554314,176663.538,
LANGUAGE,weakComponentMembers-1,Ko,31120,277210.500,552674,108646.591,
LANGUAGE,weakComponentMembers-1,Ur,31139,42671.500,54204,11532.500,
LANGUAGE,weakComponentMembers-1,Ar,31141,286912.358,475061,109838.730,
LANGUAGE,weakComponentMembers-1,Ru,31142,299493.821,536543,91333.204,
LANGUAGE,weakComponentMembers-1,Cs,65842,272041.324,550961,141502.625,
LANGUAGE,weakComponentMembers-1,Sl,80070,272581.615,554089,144991.214,
LANGUAGE,weakComponentMembers-1,Ja,92306,257131.026,527506,133089.461,
LANGUAGE,weakComponentMembers-1,Uk,99140,297381.985,389865,63063.560,
LANGUAGE,weakComponentMembers-1,Iw,142054,438247.512,529813,105978.069,
LANGUAGE,weakComponentMembers-1,Km,191356,283913.538,388736,64624.487,
LANGUAGE,weakComponentMembers-1,Fa,196519,290269.192,494689,60159.169,
LANGUAGE,weakComponentMembers-1,My,198406,251148.750,355436,61208.753,
LANGUAGE,weakComponentMembers-1,El,276028,276028,276028,0,
LANGUAGE,weakComponentMembers-1,Bn,433049,433049,433049,0,
LANGUAGE,weakComponentMembers-1,Ps,530877,530877,530877,0,
IS_GEOTAGGED,weakComponentMembers-1,1,634,273896.190,559725,127760.091,
IS_GEOTAGGED,weakComponentMembers-1,No Value,1,265459.286,560687,161949.120,
IS_RETWEET,weakComponentMembers-1,1,1,236755.051,560679,158171.379,
IS_RETWEET,weakComponentMembers-1,No Value,1,280344,560687,161856.395,
