Node-Id,Node-Title,attribute-Is-Verified-1-Twitter JSON all_filtered,attribute-Tweets-Sent-Count-1-Twitter JSON all_filtered,inDegreeCentrality-1-Twitter JSON all_filtered,inDegreeCentrality-1-Twitter JSON all_filtered-unscaled,kcore-1-Twitter JSON all_filtered,kcore-1-Twitter JSON all_filtered-unscaled,totalDegreeCentrality-1-Twitter JSON all_filtered,totalDegreeCentrality-1-Twitter JSON all_filtered-unscaled,twitter-actualInfluencer-1-Twitter JSON all_filtered,twitter-actualInfluencer-1-Twitter JSON all_filtered-unscaled,twitter-averageMentionsPerTweet-1-Twitter JSON all_filtered,twitter-averageMentionsPerTweet-1-Twitter JSON all_filtered-unscaled,twitter-mostMentioned-1-Twitter JSON all_filtered,twitter-mostMentioned-1-Twitter JSON all_filtered-unscaled,twitter-numberOfFollowers-1-Twitter JSON all_filtered,twitter-numberOfFollowers-1-Twitter JSON all_filtered-unscaled,twitter-potentialConnectors-1-Twitter JSON all_filtered,twitter-potentialConnectors-1-Twitter JSON all_filtered-unscaled,twitter-potentialReach-1-Twitter JSON all_filtered,twitter-potentialReach-1-Twitter JSON all_filtered-unscaled,twitter-reciprocalMentionsCliqueCount-1-Twitter JSON all_filtered,twitter-reciprocalMentionsCliqueCount-1-Twitter JSON all_filtered-unscaled,twitter-totalMentionsDegree-1-Twitter JSON all_filtered,twitter-totalMentionsDegree-1-Twitter JSON all_filtered-unscaled,twitter-totalMentionsKcore-1-Twitter JSON all_filtered,twitter-totalMentionsKcore-1-Twitter JSON all_filtered-unscaled,twitter-totalMentionsPageRank-1-Twitter JSON all_filtered,twitter-totalReciprocalMentionsUnweighted-1-Twitter JSON all_filtered,twitter-totalReciprocalMentionsUnweighted-1-Twitter JSON all_filtered-unscaled,twitter-trustedSource-1-Twitter JSON all_filtered,twitter-trustedSource-1-Twitter JSON all_filtered-unscaled,twitter-wantsToBeInfluencer-1-Twitter JSON all_filtered,twitter-wantsToBeInfluencer-1-Twitter JSON all_filtered-unscaled,weakComponentMembers-5-Twitter JSON all_filtered,weakComponentMembers-3-Twitter JSON all_filtered,weakComponentMembers-4-Twitter JSON all_filtered,weakComponentMembers-2-Twitter JSON all_filtered,
21845498,ChronBrown,0,7,3.063e-06,3,0,0,0,0,3.677e-05,14642,0.156,0.429,0.001,3,4.246e-04,941,0,0,1.373e-05,8744719,0,0,2.261e-06,5,8.722e-04,2,9.559e-05,0,0,0,0,0,0,1,1,1,1,
3291195791,judyeayers,0,741,7.861e-05,77,0,0,0,0,0,403,0.038,0.104,0,0,1.818e-04,403,1.683e-05,10721406,0,0,0,0,6.468e-05,143,0,0,8.143e-05,0,0,0,0,0.010,24,2,1,2,2,
259711925,Fox5Wagner,0,160,1.736e-05,17,0.002,4,1.064e-05,11,8.390e-04,334042,0.039,0.106,0.007,15,0.002,4913,2.537e-05,16158936,3.820e-05,24335964,0,0,5.518e-05,122,0.003,7,4.495e-04,0.002,5,0.004,10,0.002,5,2,1,3,2,
113745340,maureen_orth,0,18,5.104e-06,5,4.361e-04,1,0,1,6.200e-04,246855,0.101,0.278,0.001,3,0.003,6212,5.652e-06,3600249.500,1.167e-04,74330440,0,0,3.618e-06,8,8.722e-04,2,1.033e-04,4.361e-04,1,0,0,0,0,2,1,3,3,
251496437,karynbruggeman,0,119,2.042e-06,2,0,0,0,0,1.229e-05,4893,0.006,0.017,4.361e-04,1,8.780e-04,1946,2.809e-06,1789456.125,4.662e-06,2969854,0,0,2.261e-06,5,4.361e-04,1,8.925e-05,0,0,0,0,8.722e-04,2,2,1,4,2,
375662595,EricLiptonNYT,1,944,3.063e-04,300,0.005,11,7.156e-05,74,0.078,31018612,0.116,0.318,0.046,105,0.053,117597,8.333e-04,530819232,3.101e-04,197544512,0.045,19,3.826e-04,846,0.010,23,0.002,0.009,21,0.031,71,0.022,50,2,1,3,2,
18126916,adamnpeck,0,212,2.042e-06,2,0,0,0,0,6.950e-06,2767,0.003,0.009,4.361e-04,1,6.430e-04,1425,0,730533.250,0,1342,0,0,1.357e-06,3,0,0,9.874e-05,0,0,0,0,0,0,3,1,5,4,
42703163,SarahKarlin,0,866,3.083e-04,302,0.004,9,1.770e-04,183,0.008,3063974,0.127,0.349,0.022,50,0.004,8774,2.330e-04,148430304,9.561e-05,60901996,0.055,23,3.365e-04,744,0.007,16,7.488e-04,0.012,28,0.011,26,0.019,43,2,1,3,2,
23455653,abettel,0,253,1.593e-04,156,0.004,9,5.899e-05,61,0.007,2666047,0.224,0.617,0.010,23,0.001,2978,9.209e-05,58661728,1.782e-04,113506104,0.010,4,1.551e-04,343,0.005,12,4.123e-04,0.005,12,0.009,21,0.005,11,2,1,3,2,
165204211,AndrewRestuccia,0,333,2.389e-04,234,0.006,13,1.538e-04,159,0.031,12537568,0.256,0.703,0.061,140,0.008,18713,2.769e-04,176352304,2.102e-04,133863808,0.231,97,4.012e-04,887,0.010,23,0.002,0.020,47,0.038,87,0.034,77,2,1,3,2,
