Node-Id,Node-Title,inDegreeCentrality-2-Twitter JSON all_filtered,inDegreeCentrality-2-Twitter JSON all_filtered-unscaled,totalDegreeCentrality-2-Twitter JSON all_filtered,totalDegreeCentrality-2-Twitter JSON all_filtered-unscaled,weakComponentMembers-6-Twitter JSON all_filtered,
BREAKING,BREAKING,0.003,2338,3.467e-05,1001,1,
Parkland,Parkland,0.001,927,2.639e-05,762,1,
HowardUniversity,HowardUniversity,6.343e-05,54,0,32,1,
Baltimore,Baltimore,6.578e-05,56,1.940e-06,56,1,
MLK50,MLK50,8.928e-05,76,0,9,1,
MISSING,MISSING,7.635e-05,65,2.251e-06,65,1,
SouthCarolina,SouthCarolina,1.410e-05,12,0,25,1,
Michigan,Michigan,2.819e-05,24,1.282e-06,37,1,
Minnesota,Minnesota,1.527e-05,13,1.282e-06,37,1,
Maine,Maine,2.819e-05,24,1.212e-06,35,1,
infrastructure,infrastructure,3.019e-04,257,1.005e-05,290,1,
SaveTheCensus,SaveTheCensus,2.349e-06,2,0,0,2,
losyankees,losyankees,0,1,0,0,3,
MAGA,MAGA,2.831e-04,241,1.122e-05,324,1,
pharmacyproblems,pharmacyproblems,3.524e-06,3,0,0,4,
shulkin,shulkin,3.642e-05,31,1.420e-06,41,1,
veterans,veterans,1.574e-04,134,6.373e-06,184,1,
Wmata,Wmata,7.095e-04,604,5.958e-06,172,1,
HealthyReturns,HealthyReturns,1.421e-04,121,5.819e-06,168,1,
righttotry,righttotry,4.241e-04,361,3.627e-05,1047,1,
pharma,pharma,0.002,1376,2.376e-04,6859,1,
OpioidCrisis,OpioidCrisis,7.788e-04,663,1.025e-04,2960,1,
usairforce,usairforce,2.349e-06,2,0,6,1,
airforce,airforce,3.054e-05,26,1.420e-06,41,1,
pilot,pilot,2.467e-05,21,1.870e-06,54,1,
enlisted,enlisted,2.349e-06,2,0,6,1,
Army,Army,2.349e-05,20,2.148e-06,62,1,
Infantry,Infantry,4.699e-06,4,0,16,1,
A10,A10,7.048e-06,6,0,13,1,
brrrrt,brrrrt,2.349e-06,2,0,4,1,
NSTBD18,NSTBD18,1.645e-05,14,0,0,5,
Surprise,Surprise,4.699e-06,4,0,6,1,
Pensacola,Pensacola,2.349e-06,2,0,4,1,
nwfl,nwfl,2.349e-06,2,0,4,1,
F35,F35,4.699e-05,40,0,27,1,
PinksandGreens,PinksandGreens,2.349e-06,2,0,4,1,
USArmy,USArmy,5.521e-05,47,2.355e-06,68,1,
Kabul,Kabul,3.876e-05,33,0,31,1,
FutureVerticalLift,FutureVerticalLift,2.349e-06,2,0,2,1,
NorthKorea,NorthKorea,6.167e-04,525,2.071e-05,598,1,
China,China,5.462e-04,465,2.823e-05,815,1,
Beijing,Beijing,1.292e-05,11,0,14,1,
FightLikeAGirl,FightLikeAGirl,9.397e-06,8,0,6,1,
GenderBias,GenderBias,3.524e-06,3,0,10,1,
SaveLifeline,SaveLifeline,2.349e-06,2,0,0,6,
BroOutBro,BroOutBro,2.349e-06,2,0,0,7,
AimHigh,AimHigh,5.873e-06,5,0,8,1,
WomensHistoryMonth,WomensHistoryMonth,3.536e-04,301,1.119e-05,323,1,
TotalForce,TotalForce,3.524e-06,3,0,6,1,
TheAmericans,TheAmericans,2.819e-05,24,0,1,8,
soclose,soclose,2.349e-06,2,0,2,8,
avgeeks,avgeeks,1.292e-05,11,0,28,1,
Kaliningrad,Kaliningrad,7.048e-06,6,0,16,1,
2020Census,2020Census,3.407e-05,29,0,31,1,
Hispanics,Hispanics,3.524e-06,3,0,12,1,
Asians,Asians,2.349e-06,2,0,10,1,
MiddleEasterners,MiddleEasterners,2.349e-06,2,0,10,1,
Immigrants,Immigrants,2.114e-05,18,1.282e-06,37,1,
Whites,Whites,2.349e-06,2,0,10,1,
Atlanta,Atlanta,2.937e-05,25,1.940e-06,56,1,
MarchForHumanity,MarchForHumanity,2.349e-06,2,0,6,1,
MLK50Forward,MLK50Forward,1.997e-05,17,0,29,1,
MLK,MLK,5.756e-05,49,3.014e-06,87,1,
WRBGChat,WRBGChat,2.349e-06,2,0,0,9,
MyPeople,MyPeople,7.048e-06,6,0,1,10,
MSDStrong,MSDStrong,2.443e-04,208,9.422e-06,272,1,
ILoveMyPeople,ILoveMyPeople,0,1,0,0,11,
AMJoy,AMJoy,4.346e-05,37,0,30,1,
AltonSterling,AltonSterling,5.638e-05,48,0,34,1,
TodayExplained,TodayExplained,3.759e-05,32,0,6,1,
MOSEN,MOSEN,3.865e-04,329,1.157e-05,334,1,
Texas,Texas,9.632e-05,82,4.642e-06,134,1,
