Node-Id,Node-Title,inDegreeCentrality-3-Twitter JSON all_filtered,inDegreeCentrality-3-Twitter JSON all_filtered-unscaled,
"LAT: 40.67250, LON: -73.95679","Brooklyn, NY",3.407e-05,29,
"LAT: 32.35512, LON: -90.07111","Mississippi, USA",0,1,
"LAT: 32.08110, LON: -81.09110","Savannah, GA",0,1,
"LAT: 34.53310, LON: 69.16610",Afghanistan,0,1,
"LAT: 38.88604, LON: -76.99953","Washington, DC",2.349e-06,2,
"LAT: 40.71420, LON: -74.00640","Manhattan, NY",4.699e-06,4,
"LAT: 38.97009, LON: -95.23489","Kansas, USA",0,1,
"LAT: 38.88973, LON: -77.00704","Washington, DC",2.584e-05,22,
"LAT: 37.79210, LON: -122.39395","San Francisco, CA",0,1,
"LAT: 38.90169, LON: -77.06006","Washington, DC",0,1,
"LAT: 38.89510, LON: -77.03670","Washington, DC",2.819e-05,24,
"LAT: 38.89374, LON: -77.02390","Washington, DC",2.349e-06,2,
"LAT: 38.89580, LON: -77.03070","Washington, DC",0,1,
"LAT: 39.12000, LON: -78.00000","Virginia, USA",0,1,
"LAT: 37.79347, LON: -122.38270","California, USA",0,1,
"LAT: 37.84280, LON: -122.24600","Oakland, CA",0,1,
"LAT: 29.14184, LON: -81.13175","Florida, USA",0,1,
"LAT: 33.75532, LON: -84.32580","Atlanta, GA",0,1,
"LAT: 39.69888, LON: -77.32676","Emmitsburg, MD",0,1,
"LAT: 38.89598, LON: -77.05507","Washington, DC",0,1,
"LAT: 38.90044, LON: -77.02464","Washington, DC",0,1,
"LAT: 35.08533, LON: -106.60555","Albuquerque, NM",0,1,
"LAT: 38.90135, LON: -77.01026","Washington, DC",0,1,
"LAT: 18.00000, LON: -66.61670","Canas Urbano, USA",2.349e-06,2,
"LAT: 30.26580, LON: -97.73569","Austin, TX",0,1,
"LAT: 30.26525, LON: -97.73858","Austin, TX",0,1,
"LAT: 40.76188, LON: -73.96826","Manhattan, NY",0,1,
"LAT: 38.89465, LON: -77.07012","Arlington, VA",0,1,
"LAT: 38.57655, LON: -121.49266","Sacramento, CA",1.410e-05,12,
"LAT: 38.90702, LON: -77.02395","Washington, DC",0,1,
"LAT: 38.90630, LON: -77.02406","Washington, DC",2.349e-06,2,
"LAT: 38.82933, LON: -77.30955","George Mason, VA",0,1,
"LAT: 38.91244, LON: -77.04463","Washington, DC",0,1,
"LAT: 42.94779, LON: -78.85566","Buffalo, NY",0,1,
"LAT: 42.94778, LON: -78.85564","Buffalo, NY",0,1,
"LAT: 42.89931, LON: -78.88665","Buffalo, NY",0,1,
"LAT: 42.89937, LON: -78.88677","Buffalo, NY",0,1,
"LAT: 42.90222, LON: -78.86886","Buffalo, NY",0,1,
"LAT: 4.62720, LON: -74.07180","Bogotá, D.C., Colombia",0,1,
"LAT: 40.75988, LON: -73.97976","Manhattan, NY",0,1,
"LAT: 37.41802, LON: -122.20109","California, USA",0,1,
"LAT: 38.90000, LON: -77.03000","Washington, DC",0,1,
"LAT: 42.07161, LON: -87.69496","Wilmette, IL",0,1,
"LAT: 40.76250, LON: -73.97508","Manhattan, NY",0,1,
"LAT: 40.92698, LON: -73.83813","Mount Vernon, NY",0,1,
"LAT: 38.88833, LON: -77.02292","Washington, DC",2.349e-06,2,
"LAT: 13.69000, LON: -89.19000","Aguilares, El Salvador",3.524e-06,3,
"LAT: 8.97540, LON: -79.50705",Panama,0,1,
"LAT: 12.13640, LON: -86.25140",Nicaragua,0,1,
"LAT: 37.75560, LON: 128.89600","Gangneung-si, Republic of Korea",0,1,
"LAT: 38.94214, LON: -77.28289","Wolf Trap, VA",0,1,
"LAT: 51.47158, LON: -0.37403","Hounslow, London",0,1,
"LAT: 38.91130, LON: -77.03818","Washington, DC",0,1,
"LAT: 39.09378, LON: -77.13306","Rockville, MD",0,1,
"LAT: 34.05644, LON: -86.68947","Alabama, USA",0,1,
"LAT: 16.64590, LON: -97.65300","Santa Cruz Itundujia, Oaxaca",0,1,
"LAT: 51.54325, LON: -0.06319","Hackney, London",0,1,
"LAT: 51.54329, LON: -0.06313","Hackney, London",0,1,
"LAT: 51.54324, LON: -0.06319","Hackney, London",0,1,
"LAT: 51.51440, LON: -0.12624","Camden Town, London",0,1,
"LAT: 51.51910, LON: -0.12798","Camden Town, London",0,1,
"LAT: 40.77320, LON: -73.98038","Manhattan, NY",0,1,
"LAT: 42.21199, LON: -83.35593","Romulus, MI",0,1,
"LAT: 19.27669, LON: -81.25064",Cayman Islands,0,1,
"LAT: 19.33333, LON: -81.21667","LAT: 19.33333, LON: -81.21667",9.397e-06,8,
"LAT: 19.27664, LON: -81.25053",Cayman Islands,4.699e-06,4,
"LAT: 19.30350, LON: -81.38287",Cayman Islands,0,1,
"LAT: 19.35000, LON: -81.20000",Cayman Islands,9.397e-06,8,
"LAT: 19.32003, LON: -81.08635",Cayman Islands,3.524e-06,3,
"LAT: 19.30638, LON: -81.09414",Cayman Islands,0,1,
"LAT: 19.30000, LON: -81.11670",Cayman Islands,2.349e-06,2,
"LAT: 37.66786, LON: 128.70671","Pyeongchang-gun, Republic of Korea",0,1,
"LAT: 38.90689, LON: -77.02419","Washington, DC",0,1,
"LAT: 38.93000, LON: -77.11440","Washington, DC",0,1,
"LAT: 37.82280, LON: -80.43530","Lewisburg, WV",0,1,
"LAT: 38.90064, LON: -77.02487","Washington, DC",0,1,
"LAT: 18.02549, LON: -67.17393","Boquerón, Puerto Rico",0,1,
"LAT: 39.07863, LON: -76.92073","Konterra, MD",0,1,
"LAT: 28.47299, LON: -81.46575","Orlando, FL",0,1,
"LAT: 28.47621, LON: -81.46266","Orlando, FL",2.349e-06,2,
"LAT: 33.93366, LON: -118.39681","Los Angeles, CA",0,1,
"LAT: 38.94252, LON: -77.07757","Washington, DC",1.292e-05,11,
"LAT: 40.72076, LON: -74.00076","Manhattan, NY",8.223e-06,7,
"LAT: 26.30520, LON: -80.11980","Deerfield Beach, FL",0,1,
"LAT: 38.95190, LON: -77.01960","Washington, DC",0,1,
"LAT: 38.80472, LON: -77.04722","Alexandria, VA",0,1,
"LAT: 38.89721, LON: -77.02095","Washington, DC",0,1,
"LAT: 39.37900, LON: -76.70510","Pikesville, MD",3.524e-06,3,
"LAT: 38.93086, LON: -76.96701","Washington, DC",0,1,
"LAT: 26.70148, LON: -80.04021","Palm Beach, FL",0,1,
"LAT: 26.71000, LON: -80.06440","West Palm Beach, FL",0,1,
"LAT: 33.12480, LON: -117.08100","Escondido, CA",0,1,
"LAT: 40.78694, LON: -73.97528","Manhattan, NY",0,1,
"LAT: 35.26297, LON: -120.67214","Carpinteria, CA",0,1,
"LAT: 40.03720, LON: -75.34920","Radnor Township, PA",0,1,
"LAT: 39.94487, LON: -75.15917","Philadelphia, PA",0,1,
"LAT: 38.91739, LON: -77.04130","Washington, DC",0,1,
"LAT: 38.89000, LON: -77.02361","Washington, DC",4.699e-06,4,
"LAT: 40.75848, LON: -73.98196","Manhattan, NY",3.524e-06,3,
"LAT: 38.94016, LON: -77.06074","Washington, DC",7.048e-06,6,
"LAT: 38.89750, LON: -77.00621","Washington, DC",2.349e-06,2,
"LAT: 38.89684, LON: -77.03660","Washington, DC",8.223e-06,7,
"LAT: 38.90269, LON: -77.04945","Washington, DC",3.524e-06,3,
"LAT: 43.75501, LON: -87.71804","Sheboygan, WI",0,1,
"LAT: 38.90085, LON: -77.01216","Washington, DC",0,1,
"LAT: 38.88407, LON: -77.02937","Washington, DC",0,1,
"LAT: 26.13360, LON: -80.11330","Fort Lauderdale, FL",0,1,
"LAT: 40.71249, LON: -73.96889","Brooklyn, NY",1.292e-05,11,
"LAT: 40.76846, LON: -73.96903","Manhattan, NY",0,1,
"LAT: 41.28000, LON: -73.87000","Croton-on-Hudson, NY",2.349e-06,2,
"LAT: 40.70651, LON: -74.01100","Manhattan, NY",9.397e-06,8,
"LAT: 40.00099, LON: -75.13546","Philadelphia, PA",0,1,
"LAT: 38.91089, LON: -77.04743","Washington, DC",0,1,
"LAT: 39.00420, LON: -77.01900","Silver Spring, MD",0,1,
"LAT: 37.56457, LON: -77.45739","Richmond, VA",0,1,
"LAT: 45.52000, LON: -122.68200","Portland, OR",0,1,
"LAT: 45.54530, LON: -122.73600","Forest Park, Portland",0,1,
"LAT: 45.52380, LON: -122.94300","Hillsboro, OR",2.349e-06,2,
"LAT: 45.52744, LON: -122.69830","Portland, OR",0,1,
"LAT: 38.23670, LON: -76.49750","California, MD",0,1,
"LAT: 38.25222, LON: -76.56361","Maryland, USA",2.349e-06,2,
"LAT: 38.27716, LON: -76.46608","California, MD",0,1,
