Network,Twitter JSON all_filtered,
Number of tweets,676240,
Number of tweeters,2261,
Number of retweets,291608,
Number of hashtags,160359,
Number of distinct hashtags,77232,
Number of words,0,
Number of distinct words,0,
Number of mentions,129552,
Number of distinct mentions,45571,
Number of locations,340,
Number of distinct locations,232,
Average tweets per tweeter,299.089,
Min tweets per tweeter,1,
Max tweets per tweeter,15697,
Stddev tweets per tweeter,634.623,
Average retweets per tweeter,128.973,
Min retweets per tweeter,0,
Max retweets per tweeter,15675,
Stddev retweets per tweeter,455.432,
Average followers per tweeter,19298.370,
Min followers per tweeter,10,
Max followers per tweeter,2216324,
Stddev followers per tweeter,103994.420,
Average hashtags per tweeter,70.924,
Min hashtags per tweeter,0,
Max hashtags per tweeter,13276,
Stddev hashtags per tweeter,362.336,
Average distinct hashtags per tweeter,34.158,
Min distinct hashtags per tweeter,0,
Max distinct hashtags per tweeter,2314,
Stddev distinct hashtags per tweeter,83.172,
Average words per tweeter,N/A,
Min words per tweeter,N/A,
Max words per tweeter,N/A,
Stddev words per tweeter,N/A,
Average distinct words per tweeter,N/A,
Min distinct words per tweeter,N/A,
Max distinct words per tweeter,N/A,
Stddev distinct words per tweeter,N/A,
Average mentions per tweeter,57.299,
Min mentions per tweeter,0,
Max mentions per tweeter,1592,
Stddev mentions per tweeter,109.304,
Average distinct mentions per tweeter,20.155,
Min distinct mentions per tweeter,0,
Max distinct mentions per tweeter,307,
Stddev distinct mentions per tweeter,30.402,
Average locations per tweeter,0.150,
Min locations per tweeter,0,
Max locations per tweeter,42,
Stddev locations per tweeter,1.508,
Average distinct locations per tweeter,0.103,
Min distinct locations per tweeter,0,
Max distinct locations per tweeter,20,
Stddev distinct locations per tweeter,0.876,
Average tweeters per hashtag,2.076,
Min tweeters per hashtag,1,
Max tweeters per hashtag,1316,
Stddev tweeters per hashtag,10.703,
Average distinct tweeters per hashtag,1,
Min distinct tweeters per hashtag,1,
Max distinct tweeters per hashtag,1,
Stddev distinct tweeters per hashtag,0,
Average tweeters per word,N/A,
Min tweeters per word,N/A,
Max tweeters per word,N/A,
Stddev tweeters per word,N/A,
Average distinct tweeters per word,N/A,
Min distinct tweeters per word,N/A,
Max distinct tweeters per word,N/A,
Stddev distinct tweeters per word,N/A,
Average tweeters per location,1.466,
Min tweeters per location,1,
Max tweeters per location,8,
Stddev tweeters per location,1.273,
Average distinct tweeters per location,1,
Min distinct tweeters per location,1,
Max distinct tweeters per location,1,
Stddev distinct tweeters per location,0,
