Network,Twitter JSON all_filtered,
First tweet date,2006-04-16 21:19:49-04,
Last tweet date,2018-03-31 23:58:57-04,
Number of tweets,851296,
Number of tweets with geotag,469,
Number of tweets with URL,498399,
Number of retweets,290609,
Number of tweeters,2259,
Number of verified tweeters,1278,
Number of news agency tweeters,50,
Number of mentions,146265,
Number of distinct hashtags,27288,
Number of distinct hashtags used more than once,19859,
Number of distinct words,0,
Number of distinct words used more than once,0,
Number of distinct locations,256,
