Network,Twitter JSON all_filtered,
Number of tweets,30638,
Number of tweeters,50,
Number of retweets,14740,
Number of hashtags,5629,
Number of distinct hashtags,2904,
Number of words,0,
Number of distinct words,0,
Number of mentions,5670,
Number of distinct mentions,1783,
Number of locations,26,
Number of distinct locations,17,
Average tweets per tweeter,612.760,
Min tweets per tweeter,1,
Max tweets per tweeter,4750,
Stddev tweets per tweeter,899.865,
Average retweets per tweeter,294.800,
Min retweets per tweeter,0,
Max retweets per tweeter,3663,
Stddev retweets per tweeter,614.117,
Average followers per tweeter,221861.640,
Min followers per tweeter,645,
Max followers per tweeter,2216324,
Stddev followers per tweeter,512208.050,
Average hashtags per tweeter,112.580,
Min hashtags per tweeter,0,
Max hashtags per tweeter,1248,
Stddev hashtags per tweeter,226.152,
Average distinct hashtags per tweeter,58.080,
Min distinct hashtags per tweeter,0,
Max distinct hashtags per tweeter,440,
Stddev distinct hashtags per tweeter,93.940,
Average words per tweeter,N/A,
Min words per tweeter,N/A,
Max words per tweeter,N/A,
Stddev words per tweeter,N/A,
Average distinct words per tweeter,N/A,
Min distinct words per tweeter,N/A,
Max distinct words per tweeter,N/A,
Stddev distinct words per tweeter,N/A,
Average mentions per tweeter,113.400,
Min mentions per tweeter,0,
Max mentions per tweeter,774,
Stddev mentions per tweeter,162.139,
Average distinct mentions per tweeter,35.660,
Min distinct mentions per tweeter,0,
Max distinct mentions per tweeter,186,
Stddev distinct mentions per tweeter,38.615,
Average locations per tweeter,0.520,
Min locations per tweeter,0,
Max locations per tweeter,13,
Stddev locations per tweeter,2.451,
Average distinct locations per tweeter,0.340,
Min distinct locations per tweeter,0,
Max distinct locations per tweeter,12,
Stddev distinct locations per tweeter,1.762,
Average tweeters per hashtag,1.938,
Min tweeters per hashtag,1,
Max tweeters per hashtag,109,
Stddev tweeters per hashtag,4.377,
Average distinct tweeters per hashtag,1,
Min distinct tweeters per hashtag,1,
Max distinct tweeters per hashtag,1,
Stddev distinct tweeters per hashtag,0,
Average tweeters per word,N/A,
Min tweeters per word,N/A,
Max tweeters per word,N/A,
Stddev tweeters per word,N/A,
Average distinct tweeters per word,N/A,
Min distinct tweeters per word,N/A,
Max distinct tweeters per word,N/A,
Stddev distinct tweeters per word,N/A,
Average tweeters per location,1.529,
Min tweeters per location,1,
Max tweeters per location,8,
Stddev tweeters per location,1.684,
Average distinct tweeters per location,1,
Min distinct tweeters per location,1,
Max distinct tweeters per location,1,
Stddev distinct tweeters per location,0,
