Network,Twitter JSON all_filtered,
Average retweets per tweet,0.341,
Min retweets per tweet,0,
Max retweets per tweet,74,
Stddev retweets per tweet,0.886,
Average distinct mentions per tweet,0.174,
Min distinct mentions per tweet,0,
Max distinct mentions per tweet,14,
Stddev distinct mentions per tweet,0.457,
Average distinct hashtags per tweet,0.261,
Min distinct hashtags per tweet,0,
Max distinct hashtags per tweet,30,
Stddev distinct hashtags per tweet,0.792,
Average distinct words per tweet,N/A,
Min distinct words per tweet,N/A,
Max distinct words per tweet,N/A,
Stddev distinct words per tweet,N/A,
Latitude minimum,4,
Latitude maximum,51,
Longitude minimum,-122,
Longitude maximum,128,
