Network,Twitter JSON all_filtered,
Number of tweets,496591,
Number of tweeters,1278,
Number of retweets,196017,
Number of hashtags,88729,
Number of distinct hashtags,47522,
Number of words,0,
Number of distinct words,0,
Number of mentions,100917,
Number of distinct mentions,35164,
Number of locations,238,
Number of distinct locations,169,
Average tweets per tweeter,388.569,
Min tweets per tweeter,1,
Max tweets per tweeter,5728,
Stddev tweets per tweeter,570.223,
Average retweets per tweeter,153.378,
Min retweets per tweeter,0,
Max retweets per tweeter,4339,
Stddev retweets per tweeter,296.228,
Average followers per tweeter,32306.178,
Min followers per tweeter,176,
Max followers per tweeter,2216324,
Stddev followers per tweeter,136775.320,
Average hashtags per tweeter,69.428,
Min hashtags per tweeter,0,
Max hashtags per tweeter,1659,
Stddev hashtags per tweeter,138.722,
Average distinct hashtags per tweeter,37.185,
Min distinct hashtags per tweeter,0,
Max distinct hashtags per tweeter,629,
Stddev distinct hashtags per tweeter,58.802,
Average words per tweeter,N/A,
Min words per tweeter,N/A,
Max words per tweeter,N/A,
Stddev words per tweeter,N/A,
Average distinct words per tweeter,N/A,
Min distinct words per tweeter,N/A,
Max distinct words per tweeter,N/A,
Stddev distinct words per tweeter,N/A,
Average mentions per tweeter,78.965,
Min mentions per tweeter,0,
Max mentions per tweeter,1592,
Stddev mentions per tweeter,124.009,
Average distinct mentions per tweeter,27.515,
Min distinct mentions per tweeter,0,
Max distinct mentions per tweeter,307,
Stddev distinct mentions per tweeter,33.997,
Average locations per tweeter,0.186,
Min locations per tweeter,0,
Max locations per tweeter,30,
Stddev locations per tweeter,1.520,
Average distinct locations per tweeter,0.132,
Min distinct locations per tweeter,0,
Max distinct locations per tweeter,14,
Stddev distinct locations per tweeter,0.958,
Average tweeters per hashtag,1.867,
Min tweeters per hashtag,1,
Max tweeters per hashtag,512,
Stddev tweeters per hashtag,5.476,
Average distinct tweeters per hashtag,1,
Min distinct tweeters per hashtag,1,
Max distinct tweeters per hashtag,1,
Stddev distinct tweeters per hashtag,0,
Average tweeters per word,N/A,
Min tweeters per word,N/A,
Max tweeters per word,N/A,
Stddev tweeters per word,N/A,
Average distinct tweeters per word,N/A,
Min distinct tweeters per word,N/A,
Max distinct tweeters per word,N/A,
Stddev distinct tweeters per word,N/A,
Average tweeters per location,1.408,
Min tweeters per location,1,
Max tweeters per location,8,
Stddev tweeters per location,1.247,
Average distinct tweeters per location,1,
Min distinct tweeters per location,1,
Max distinct tweeters per location,1,
Stddev distinct tweeters per location,0,
