Attribute,Measure,Group,Min,Mean,Max,Stddev,
IS_NEWS_AGENCY,inDegreeCentrality-1,1,0,5.840e-05,4.758e-04,8.896e-05,
IS_NEWS_AGENCY,inDegreeCentrality-1,No Value,0,2.667e-05,7.764e-04,5.805e-05,
IS_NEWS_AGENCY,kcore-1,1,0,0.003,0.008,0.002,
IS_NEWS_AGENCY,kcore-1,No Value,0,0.002,0.008,0.002,
IS_NEWS_AGENCY,totalDegreeCentrality-1,1,0,4.825e-05,3.094e-04,7.071e-05,
IS_NEWS_AGENCY,totalDegreeCentrality-1,No Value,0,2.223e-05,8.628e-04,5.890e-05,
IS_NEWS_AGENCY,twitter-actualInfluencer-1,1,1.512e-05,0.046,1,0.148,
IS_NEWS_AGENCY,twitter-actualInfluencer-1,No Value,5.535e-09,0.004,0.312,0.015,
IS_NEWS_AGENCY,twitter-averageMentionsPerTweet-1,1,0,0.122,1,0.151,
IS_NEWS_AGENCY,twitter-averageMentionsPerTweet-1,No Value,0,0.090,0.864,0.085,
IS_NEWS_AGENCY,twitter-mostMentioned-1,1,4.318e-04,0.032,0.189,0.040,
IS_NEWS_AGENCY,twitter-mostMentioned-1,No Value,0,0.009,0.197,0.019,
IS_NEWS_AGENCY,twitter-numberOfFollowers-1,1,8.161e-04,0.093,1,0.213,
IS_NEWS_AGENCY,twitter-numberOfFollowers-1,No Value,0,0.006,0.637,0.025,
IS_NEWS_AGENCY,twitter-potentialConnectors-1,1,0,1.358e-04,7.709e-04,1.676e-04,
IS_NEWS_AGENCY,twitter-potentialConnectors-1,No Value,0,2.448e-05,6.825e-04,5.358e-05,
IS_NEWS_AGENCY,twitter-potentialReach-1,1,4.025e-06,7.277e-05,2.724e-04,4.609e-05,
IS_NEWS_AGENCY,twitter-potentialReach-1,No Value,0,2.587e-05,2.290e-04,3.224e-05,
IS_NEWS_AGENCY,twitter-reciprocalMentionsCliqueCount-1,1,0,0.024,0.443,0.076,
IS_NEWS_AGENCY,twitter-reciprocalMentionsCliqueCount-1,No Value,0,0.010,1,0.051,
IS_NEWS_AGENCY,twitter-totalMentionsDegree-1,1,1.302e-07,7.639e-05,5.826e-04,1.141e-04,
IS_NEWS_AGENCY,twitter-totalMentionsDegree-1,No Value,0,2.605e-05,6.421e-04,5.713e-05,
IS_NEWS_AGENCY,twitter-totalMentionsKcore-1,1,4.318e-04,0.007,0.012,0.004,
IS_NEWS_AGENCY,twitter-totalMentionsKcore-1,No Value,0,0.003,0.012,0.004,
IS_NEWS_AGENCY,twitter-totalMentionsPageRank-1,1,8.252e-05,0.001,0.008,0.002,
IS_NEWS_AGENCY,twitter-totalMentionsPageRank-1,No Value,7.896e-05,4.120e-04,0.014,8.779e-04,
IS_NEWS_AGENCY,twitter-totalReciprocalMentionsUnweighted-1,1,0,0.007,0.044,0.009,
IS_NEWS_AGENCY,twitter-totalReciprocalMentionsUnweighted-1,No Value,0,0.003,0.053,0.006,
IS_NEWS_AGENCY,twitter-trustedSource-1,1,0,0.024,0.155,0.035,
IS_NEWS_AGENCY,twitter-trustedSource-1,No Value,0,0.007,0.162,0.015,
IS_NEWS_AGENCY,twitter-wantsToBeInfluencer-1,1,0,0.014,0.088,0.018,
IS_NEWS_AGENCY,twitter-wantsToBeInfluencer-1,No Value,0,0.007,0.123,0.012,
IS_NEWS_AGENCY,weakComponentMembers-2,1,1,9.740,282,43.476,
IS_NEWS_AGENCY,weakComponentMembers-2,No Value,1,28.838,357,76.444,
IS_NEWS_AGENCY,weakComponentMembers-3,1,1,1,1,0,
IS_NEWS_AGENCY,weakComponentMembers-3,No Value,1,10.098,203,33.795,
IS_NEWS_AGENCY,weakComponentMembers-4,1,1,39.840,609,119.102,
IS_NEWS_AGENCY,weakComponentMembers-4,No Value,1,128.969,757,219.073,
IS_NEWS_AGENCY,weakComponentMembers-5,1,1,81.380,855,196.811,
IS_NEWS_AGENCY,weakComponentMembers-5,No Value,1,212.567,984,306.791,
LANGUAGE_SENDER,inDegreeCentrality-1,En,0,2.775e-05,7.764e-04,5.940e-05,
LANGUAGE_SENDER,inDegreeCentrality-1,Und,0,3.974e-05,7.764e-04,6.990e-05,
LANGUAGE_SENDER,inDegreeCentrality-1,Ro,0,1.033e-04,7.764e-04,1.387e-04,
LANGUAGE_SENDER,inDegreeCentrality-1,No,3.840e-07,1.124e-04,7.764e-04,1.428e-04,
LANGUAGE_SENDER,inDegreeCentrality-1,Pl,0,1.091e-04,7.764e-04,1.390e-04,
LANGUAGE_SENDER,inDegreeCentrality-1,Cs,3.072e-06,1.308e-04,7.764e-04,1.879e-04,
LANGUAGE_SENDER,inDegreeCentrality-1,Ht,3.840e-07,1.041e-04,7.764e-04,1.321e-04,
LANGUAGE_SENDER,inDegreeCentrality-1,Et,0,9.172e-05,7.764e-04,1.215e-04,
LANGUAGE_SENDER,inDegreeCentrality-1,Fr,0,6.845e-05,7.764e-04,9.585e-05,
LANGUAGE_SENDER,inDegreeCentrality-1,Es,0,6.806e-05,7.764e-04,9.892e-05,
LANGUAGE_SENDER,inDegreeCentrality-1,Tl,0,8.409e-05,7.764e-04,1.196e-04,
LANGUAGE_SENDER,inDegreeCentrality-1,Nl,0,1.121e-04,7.764e-04,1.414e-04,
LANGUAGE_SENDER,inDegreeCentrality-1,Tr,3.840e-07,1.220e-04,7.764e-04,1.712e-04,
LANGUAGE_SENDER,inDegreeCentrality-1,Hu,4.608e-06,1.450e-04,7.296e-04,1.744e-04,
LANGUAGE_SENDER,inDegreeCentrality-1,It,0,1.093e-04,7.764e-04,1.460e-04,
LANGUAGE_SENDER,inDegreeCentrality-1,Da,0,1.058e-04,7.764e-04,1.430e-04,
LANGUAGE_SENDER,inDegreeCentrality-1,In,0,8.255e-05,7.764e-04,1.123e-04,
LANGUAGE_SENDER,inDegreeCentrality-1,Sv,0,1.161e-04,7.764e-04,1.459e-04,
LANGUAGE_SENDER,inDegreeCentrality-1,Pt,0,9.822e-05,7.764e-04,1.290e-04,
LANGUAGE_SENDER,inDegreeCentrality-1,De,0,9.279e-05,7.764e-04,1.216e-04,
LANGUAGE_SENDER,inDegreeCentrality-1,Fi,0,1.309e-04,6.082e-04,1.618e-04,
LANGUAGE_SENDER,inDegreeCentrality-1,Cy,0,1.227e-04,7.764e-04,1.528e-04,
LANGUAGE_SENDER,inDegreeCentrality-1,Is,8.832e-06,1.789e-04,5.986e-04,2.002e-04,
LANGUAGE_SENDER,inDegreeCentrality-1,Eu,3.840e-07,1.499e-04,7.764e-04,1.905e-04,
LANGUAGE_SENDER,inDegreeCentrality-1,Lv,7.680e-07,1.476e-04,7.296e-04,1.835e-04,
LANGUAGE_SENDER,inDegreeCentrality-1,Hi,0,1.225e-04,7.296e-04,1.551e-04,
LANGUAGE_SENDER,inDegreeCentrality-1,Ko,0,1.666e-04,5.986e-04,2.245e-04,
LANGUAGE_SENDER,inDegreeCentrality-1,Ru,0,9.873e-05,4.758e-04,1.262e-04,
LANGUAGE_SENDER,inDegreeCentrality-1,Lt,7.680e-07,1.435e-04,7.764e-04,1.849e-04,
LANGUAGE_SENDER,inDegreeCentrality-1,Ar,0,9.895e-05,5.790e-04,1.754e-04,
LANGUAGE_SENDER,inDegreeCentrality-1,Iw,3.072e-06,1.670e-04,3.191e-04,1.044e-04,
LANGUAGE_SENDER,inDegreeCentrality-1,Sl,6.528e-06,7.334e-05,3.068e-04,8.164e-05,
LANGUAGE_SENDER,inDegreeCentrality-1,Ja,7.680e-07,1.598e-04,7.296e-04,2.315e-04,
LANGUAGE_SENDER,inDegreeCentrality-1,Vi,9.983e-06,9.369e-05,3.786e-04,1.005e-04,
LANGUAGE_SENDER,inDegreeCentrality-1,Uk,0,9.693e-05,5.790e-04,1.974e-04,
LANGUAGE_SENDER,inDegreeCentrality-1,Zh,7.680e-07,9.671e-05,5.790e-04,1.975e-04,
LANGUAGE_SENDER,inDegreeCentrality-1,Fa,0,6.144e-06,2.227e-05,8.395e-06,
LANGUAGE_SENDER,inDegreeCentrality-1,Ur,2.841e-05,4.205e-05,5.568e-05,1.363e-05,
LANGUAGE_SENDER,inDegreeCentrality-1,My,0,0,0,0,
LANGUAGE_SENDER,inDegreeCentrality-1,Km,0,0,0,0,
LANGUAGE_SENDER,inDegreeCentrality-1,Sr,0,3.072e-06,6.144e-06,3.072e-06,
LANGUAGE_SENDER,inDegreeCentrality-1,No Value,0,0,0,0,
LANGUAGE_SENDER,kcore-1,En,0,0.002,0.008,0.002,
