Measure,TWEET_COUNT,NUMBER_FOLLOWERS,
inDegreeCentrality-1,0.733,0.167,
kcore-1,0.437,0.191,
totalDegreeCentrality-1,0.553,0.144,
twitter-actualInfluencer-1,0.307,0.473,
twitter-averageMentionsPerTweet-1,-0.018,0.009,
twitter-mostMentioned-1,0.415,0.354,
twitter-numberOfFollowers-1,0.160,1,
twitter-potentialConnectors-1,0.498,0.610,
twitter-potentialReach-1,0.388,0.281,
twitter-reciprocalMentionsCliqueCount-1,0.421,0.165,
twitter-totalMentionsDegree-1,0.637,0.253,
twitter-totalMentionsKcore-1,0.370,0.265,
twitter-totalMentionsPageRank-1,0.361,0.282,
twitter-totalReciprocalMentionsUnweighted-1,0.544,0.210,
twitter-trustedSource-1,0.409,0.314,
twitter-wantsToBeInfluencer-1,0.627,0.125,
weakComponentMembers-2,-0.141,-0.056,
weakComponentMembers-3,-0.105,-0.043,
weakComponentMembers-4,-0.201,-0.083,
weakComponentMembers-5,-0.242,-0.090,
