Attribute,Group,Count,Percent,
IS_GEOTAGGED,1,709,+0.07%,
IS_GEOTAGGED,No Value,1024056,+99.93%,
IS_RETWEET,1,348425,+34.00%,
IS_RETWEET,No Value,676340,+66.00%,
HAS_URL,1,573297,+55.94%,
HAS_URL,No Value,451468,+44.06%,
LANGUAGE,En,981889,+95.82%,
LANGUAGE,Es,4090,+0.40%,
LANGUAGE,Und,26740,+2.61%,
LANGUAGE,Ht,454,+0.04%,
LANGUAGE,Sv,220,+0.02%,
LANGUAGE,Nl,291,+0.03%,
LANGUAGE,Fr,2580,+0.25%,
LANGUAGE,Tl,775,+0.08%,
LANGUAGE,Et,365,+0.04%,
LANGUAGE,In,953,+0.09%,
LANGUAGE,Tr,159,+0.02%,
LANGUAGE,De,664,+0.06%,
LANGUAGE,Da,348,+0.03%,
LANGUAGE,Fi,47,+0.00%,
LANGUAGE,Lv,31,+0.00%,
LANGUAGE,Ar,128,+0.01%,
LANGUAGE,It,290,+0.03%,
LANGUAGE,Ko,9,+0.00%,
LANGUAGE,Hu,52,+0.01%,
LANGUAGE,Cy,229,+0.02%,
LANGUAGE,Pl,281,+0.03%,
LANGUAGE,Pt,441,+0.04%,
LANGUAGE,Ru,94,+0.01%,
LANGUAGE,No,242,+0.02%,
LANGUAGE,Eu,92,+0.01%,
LANGUAGE,Hi,101,+0.01%,
LANGUAGE,Fa,1039,+0.10%,
LANGUAGE,Ro,314,+0.03%,
LANGUAGE,Ur,4,+0.00%,
LANGUAGE,Lt,86,+0.01%,
LANGUAGE,My,2,+0.00%,
LANGUAGE,Ja,21,+0.00%,
LANGUAGE,Km,14,+0.00%,
LANGUAGE,Uk,1443,+0.14%,
LANGUAGE,Zh,109,+0.01%,
LANGUAGE,Cs,66,+0.01%,
LANGUAGE,Sl,32,+0.00%,
LANGUAGE,Is,21,+0.00%,
LANGUAGE,Iw,35,+0.00%,
LANGUAGE,Vi,12,+0.00%,
LANGUAGE,Sr,2,+0.00%,
