Attribute,Measure,Group,Min,Mean,Max,Stddev,
IS_GEOTAGGED,weakComponentMembers-1,1,213,242042.377,675397,177204.210,
IS_GEOTAGGED,weakComponentMembers-1,No Value,1,318928.167,676340,194896.078,
IS_RETWEET,weakComponentMembers-1,1,2,281419.746,676340,188666.674,
IS_RETWEET,weakComponentMembers-1,No Value,1,338170.500,676340,195242.541,
HAS_URL,weakComponentMembers-1,1,2,328152.225,676340,193771.390,
HAS_URL,weakComponentMembers-1,No Value,1,307094.246,676338,195679.410,
LANGUAGE,weakComponentMembers-1,En,1,318889.118,676340,194765.071,
LANGUAGE,weakComponentMembers-1,Es,65,228621.939,675100,180740.324,
LANGUAGE,weakComponentMembers-1,Und,72,339927.008,676275,196195.699,
LANGUAGE,weakComponentMembers-1,Ht,124,357467.595,671598,189103.336,
LANGUAGE,weakComponentMembers-1,Sv,245,311805.009,676247,197702.150,
LANGUAGE,weakComponentMembers-1,Nl,256,354912.481,676015,197945.033,
LANGUAGE,weakComponentMembers-1,Fr,348,377075.004,675187,202242.866,
LANGUAGE,weakComponentMembers-1,Tl,411,339705.545,675380,199117.635,
LANGUAGE,weakComponentMembers-1,Et,901,319075.551,676239,197137.092,
LANGUAGE,weakComponentMembers-1,In,1613,295015.462,676198,197215.733,
LANGUAGE,weakComponentMembers-1,Tr,2242,345160.874,673410,221259.551,
LANGUAGE,weakComponentMembers-1,De,3190,350267.030,674985,183863.338,
LANGUAGE,weakComponentMembers-1,Da,3359,327215.351,674656,197004.675,
LANGUAGE,weakComponentMembers-1,Fi,4012,309121.957,645783,199675.807,
LANGUAGE,weakComponentMembers-1,Lv,4589,379288.903,665481,195542.012,
LANGUAGE,weakComponentMembers-1,Ar,4862,212571.211,528542,122389.146,
LANGUAGE,weakComponentMembers-1,It,5085,357419.738,674031,183994.473,
LANGUAGE,weakComponentMembers-1,Ko,6029,324337.222,667421,251982.742,
LANGUAGE,weakComponentMembers-1,Hu,6441,324132.577,642487,192420.807,
LANGUAGE,weakComponentMembers-1,Cy,6482,369992.943,673629,184608.770,
LANGUAGE,weakComponentMembers-1,Pl,6495,340334.569,675733,193549.198,
LANGUAGE,weakComponentMembers-1,Pt,6504,280325.649,675661,209965.234,
LANGUAGE,weakComponentMembers-1,Ru,6834,237698.798,655699,178960.367,
LANGUAGE,weakComponentMembers-1,No,7027,366240.587,674840,206684.725,
LANGUAGE,weakComponentMembers-1,Eu,7048,347161.500,646421,193143.060,
LANGUAGE,weakComponentMembers-1,Hi,7360,304582.743,675852,199690.717,
LANGUAGE,weakComponentMembers-1,Fa,7865,148396.362,272034,82415.968,
LANGUAGE,weakComponentMembers-1,Ro,7911,345993.541,672186,186455.818,
LANGUAGE,weakComponentMembers-1,Ur,8673,237007.500,428141,149466.230,
LANGUAGE,weakComponentMembers-1,Lt,9361,292869.093,675395,182286.801,
LANGUAGE,weakComponentMembers-1,My,10097,104480.500,198864,94383.500,
LANGUAGE,weakComponentMembers-1,Ja,22005,306194.333,675249,226369.514,
LANGUAGE,weakComponentMembers-1,Km,24227,145160,264805,84765.756,
LANGUAGE,weakComponentMembers-1,Uk,24661,159194.222,396608,81439.974,
LANGUAGE,weakComponentMembers-1,Zh,25486,171915.991,675250,120143.827,
LANGUAGE,weakComponentMembers-1,Cs,34092,337714.061,650039,196991.947,
LANGUAGE,weakComponentMembers-1,Sl,38876,331012.969,628631,214457.250,
LANGUAGE,weakComponentMembers-1,Is,41845,394316.905,662563,188391.766,
LANGUAGE,weakComponentMembers-1,Iw,61100,512252.714,609517,131982.112,
LANGUAGE,weakComponentMembers-1,Vi,70075,342039,666140,186315.921,
LANGUAGE,weakComponentMembers-1,Sr,170967,191013.500,211060,20046.500,
