Measure-Key,Measure-Name,Input-networks,Input-nodesets,Input-parameters,
attribute-Is-Verified-1,attribute-Is-Verified,,Agent,,
attribute-Tweets-Sent-Count-1,attribute-Tweets-Sent-Count,,Agent,,
inDegreeCentrality-1,inDegreeCentrality,Agent x Agent - Mentioned-By,,,
inDegreeCentrality-2,inDegreeCentrality,Tweet x Hashtag,,,
inDegreeCentrality-3,inDegreeCentrality,Tweet x Location,,,
kcore-1,kcore,Agent x Agent - Reciprocal,,,
totalDegreeCentrality-1,totalDegreeCentrality,Agent x Agent - Reciprocal,,,
totalDegreeCentrality-2,totalDegreeCentrality,Hashtag x Hashtag - Co-Occurrence,,,
twitter-actualInfluencer-1,twitter-actualInfluencer,"Agent x Agent - Mentioned-By, Agent x Agent - Retweeted-By",,,
twitter-averageMentionsPerTweet-1,twitter-averageMentionsPerTweet,"Agent x Agent - Mentioned-By, Agent x Tweet - Sender",,,
twitter-mostMentioned-1,twitter-mostMentioned,Agent x Agent - Mentioned-By,,,
twitter-numberOfFollowers-1,twitter-numberOfFollowers,,,,
twitter-potentialConnectors-1,twitter-potentialConnectors,"Agent x Agent - Mentioned-By, Agent x Agent - Retweeted-By",,,
twitter-potentialReach-1,twitter-potentialReach,"Agent x Agent - Mentioned-By, Agent x Agent - Retweeted-By",,,
twitter-reciprocalMentionsCliqueCount-1,twitter-reciprocalMentionsCliqueCount,Agent x Agent - Reciprocal,,,
twitter-totalMentionsDegree-1,twitter-totalMentionsDegree,"Agent x Agent - Mentioned-By, Agent x Agent - Retweeted-By",,,
twitter-totalMentionsKcore-1,twitter-totalMentionsKcore,"Agent x Agent - Mentioned-By, Agent x Agent - Retweeted-By",,,
twitter-totalMentionsPageRank-1,twitter-totalMentionsPageRank,"Agent x Agent - Mentioned-By, Agent x Agent - Retweeted-By",,,
twitter-totalReciprocalMentionsUnweighted-1,twitter-totalReciprocalMentionsUnweighted,Agent x Agent - Reciprocal,,,
twitter-trustedSource-1,twitter-trustedSource,Agent x Agent - Retweeted-By,,,
twitter-wantsToBeInfluencer-1,twitter-wantsToBeInfluencer,Agent x Agent - Retweeted-By,,,
weakComponentCount-1,weakComponentCount,Agent x Agent - Common Hashtags,,,
weakComponentCount-2,weakComponentCount,Agent x Agent - Mentioned-By,,,
weakComponentCount-3,weakComponentCount,Agent x Agent - Reciprocal,,,
weakComponentCount-4,weakComponentCount,Agent x Agent - Retweeted-By,,,
weakComponentCount-5,weakComponentCount,Hashtag x Hashtag - Co-Occurrence,,,
weakComponentCount-6,weakComponentCount,Tweet x Tweet - Retweeted-By,,,
weakComponentMembers-5,weakComponentMembers,Agent x Agent - Common Hashtags,,,
weakComponentMembers-3,weakComponentMembers,Agent x Agent - Mentioned-By,,,
weakComponentMembers-4,weakComponentMembers,Agent x Agent - Reciprocal,,,
weakComponentMembers-2,weakComponentMembers,Agent x Agent - Retweeted-By,,,
weakComponentMembers-6,weakComponentMembers,Hashtag x Hashtag - Co-Occurrence,,,
weakComponentMembers-1,weakComponentMembers,Tweet x Tweet - Retweeted-By,,,
weightedDensity-1,weightedDensity,Agent x Agent - Common Hashtags,,,
weightedDensity-2,weightedDensity,Agent x Agent - Mentioned-By,,,
weightedDensity-3,weightedDensity,Agent x Agent - Reciprocal,,,
weightedDensity-4,weightedDensity,Agent x Agent - Retweeted-By,,,
weightedDensity-5,weightedDensity,Agent x Hashtag,,,
weightedDensity-6,weightedDensity,Agent x Location - Sender Location,,,
weightedDensity-7,weightedDensity,Agent x Tweet - Sender,,,
weightedDensity-8,weightedDensity,Agent x Url,,,
weightedDensity-9,weightedDensity,Hashtag x Hashtag - Co-Occurrence,,,
weightedDensity-10,weightedDensity,Hashtag x Location,,,
weightedDensity-11,weightedDensity,Tweet x Agent - Mentions,,,
weightedDensity-12,weightedDensity,Tweet x Hashtag,,,
weightedDensity-13,weightedDensity,Tweet x Location,,,
weightedDensity-14,weightedDensity,Tweet x Tweet - Retweeted-By,,,
weightedDensity-15,weightedDensity,Tweet x Url,,,
