Node-Id,Node-Title,attribute-Is-Verified-1-Twitter JSON all,attribute-Tweets-Sent-Count-1-Twitter JSON all,inDegreeCentrality-1-Twitter JSON all,inDegreeCentrality-1-Twitter JSON all-unscaled,kcore-1-Twitter JSON all,kcore-1-Twitter JSON all-unscaled,totalDegreeCentrality-1-Twitter JSON all,totalDegreeCentrality-1-Twitter JSON all-unscaled,twitter-actualInfluencer-1-Twitter JSON all,twitter-actualInfluencer-1-Twitter JSON all-unscaled,twitter-averageMentionsPerTweet-1-Twitter JSON all,twitter-averageMentionsPerTweet-1-Twitter JSON all-unscaled,twitter-mostMentioned-1-Twitter JSON all,twitter-mostMentioned-1-Twitter JSON all-unscaled,twitter-numberOfFollowers-1-Twitter JSON all,twitter-numberOfFollowers-1-Twitter JSON all-unscaled,twitter-potentialConnectors-1-Twitter JSON all,twitter-potentialConnectors-1-Twitter JSON all-unscaled,twitter-potentialReach-1-Twitter JSON all,twitter-potentialReach-1-Twitter JSON all-unscaled,twitter-reciprocalMentionsCliqueCount-1-Twitter JSON all,twitter-reciprocalMentionsCliqueCount-1-Twitter JSON all-unscaled,twitter-totalMentionsDegree-1-Twitter JSON all,twitter-totalMentionsDegree-1-Twitter JSON all-unscaled,twitter-totalMentionsKcore-1-Twitter JSON all,twitter-totalMentionsKcore-1-Twitter JSON all-unscaled,twitter-totalMentionsPageRank-1-Twitter JSON all,twitter-totalReciprocalMentionsUnweighted-1-Twitter JSON all,twitter-totalReciprocalMentionsUnweighted-1-Twitter JSON all-unscaled,twitter-trustedSource-1-Twitter JSON all,twitter-trustedSource-1-Twitter JSON all-unscaled,twitter-wantsToBeInfluencer-1-Twitter JSON all,twitter-wantsToBeInfluencer-1-Twitter JSON all-unscaled,weakComponentMembers-5-Twitter JSON all,weakComponentMembers-3-Twitter JSON all,weakComponentMembers-4-Twitter JSON all,weakComponentMembers-2-Twitter JSON all,
15731368,HowardKurtz,0,297,1.881e-05,49,0.002,5,1.500e-05,19,0.011,12309740,0.071,0.165,0.014,32,0.079,172625,1.349e-04,303770976,7.083e-05,159463840,0,0,1.367e-05,105,0.006,14,3.376e-04,0.003,8,0.006,14,4.318e-04,1,1,1,1,1,
18646108,BretBaier,1,2379,2.246e-04,585,0.005,11,6.867e-05,87,0.073,79247184,0.106,0.246,0.040,92,0.503,1094928,7.709e-04,1735578624,9.218e-05,207532096,0.010,9,1.915e-04,1471,0.011,25,0.002,0.011,26,0.030,69,0.036,83,1,1,1,1,
20975060,johnrobertsFox,0,170,1.536e-06,4,4.318e-04,1,0,1,0.015,16315111,0.010,0.024,0.029,68,0.021,46171,7.113e-06,16014964,8.721e-05,196352624,0,0,3.085e-05,237,0.009,22,8.379e-04,4.318e-04,1,0.013,29,0,0,2,1,1,1,
16157855,edhenry,0,432,2.688e-05,70,0.002,5,1.421e-05,18,0.012,13249400,0.070,0.162,0.015,35,0.118,257389,1.582e-04,356245664,5.700e-05,128321608,0,0,2.265e-05,174,0.006,14,3.229e-04,0.003,7,0.006,15,0.008,18,1,1,1,1,
237454771,kevinkirbs,0,261,1.075e-05,28,0,0,0,0,8.917e-06,9666,0.046,0.107,0.001,3,1.254e-04,273,1.271e-06,2860609.500,1.912e-06,4305501,0,0,7.551e-06,58,8.636e-04,2,8.494e-05,0,0,4.318e-04,1,0.006,15,1,1,2,1,
486900479,NickKalmanFN,0,8,0,1,0,0,0,0,9.306e-06,10088,0.054,0.125,0.001,3,0.001,2704,0,0,1.866e-06,4201467,0,0,0,4,8.636e-04,2,1.036e-04,0,0,4.318e-04,1,0,0,3,1,3,1,
15486163,SimonMarksFSN,0,3433,1.524e-04,397,0.002,5,5.526e-05,70,0.002,2232940,0.050,0.116,0.015,34,0.004,7767,1.140e-04,256574784,5.458e-05,122870448,0.002,2,1.163e-04,893,0.005,11,3.459e-04,0.005,12,0.011,26,0.035,81,1,1,1,1,
3817401,ericgeller,0,11432,5.986e-04,1559,0.008,18,8.628e-04,1093,0.046,49593984,0.059,0.136,0.102,236,0.027,58127,2.392e-04,538455936,1.071e-04,241099104,0.311,289,4.405e-04,3384,0.012,28,0.004,0.044,101,0.080,186,0,0,1,1,1,1,
224320485,KellyO,0,642,7.680e-06,20,0.002,5,6.315e-06,8,0.029,31477700,0.013,0.031,0.056,129,0.068,148360,7.782e-05,175205168,9.022e-05,203129296,0,0,6.561e-05,504,0.012,28,0.002,0.002,5,0.044,103,0.003,8,1,1,1,1,
66348830,kate_krup,0,5,0,1,4.318e-04,1,0,1,5.803e-06,6291,0.086,0.200,8.636e-04,2,1.617e-04,352,0,168337.469,2.138e-06,4812852.500,0,0,0,4,8.636e-04,2,8.677e-05,4.318e-04,1,0,0,0,0,4,1,1,2,
17086455,sallykidd,0,140,2.688e-06,7,4.318e-04,1,1.579e-06,2,2.636e-06,2858,0.022,0.050,0.001,3,4.287e-04,933,0,1422732.625,0,589950.062,0,0,2.083e-06,16,4.318e-04,1,1.301e-04,4.318e-04,1,8.636e-04,2,0.002,4,1,1,1,1,
76601805,NikolenDC,0,222,8.448e-06,22,4.318e-04,1,0,1,5.957e-06,6458,0.043,0.099,0.002,4,8.271e-04,1800,6.417e-06,14447848,0,591332.250,0,0,5.988e-06,46,4.318e-04,1,1.503e-04,4.318e-04,1,0.001,3,0.007,16,1,1,4,1,
761651533,Gail_Austin,0,9,0,2,4.318e-04,1,0,1,1.883e-06,2041,0.096,0.222,4.318e-04,1,1.107e-04,241,0,79264.953,0,3832.148,0,0,0,5,4.318e-04,1,8.224e-05,4.318e-04,1,0,0,8.636e-04,2,1,1,4,1,
17313998,larsschwetje,0,19,0,2,0,0,0,0,1.196e-05,12968,0.045,0.105,8.636e-04,2,5.542e-04,1206,0,526389.750,3.570e-06,8036857,0,0,0,4,4.318e-04,1,9.758e-05,0,0,0,0,4.318e-04,1,5,1,5,1,
620618811,robyoon,0,50,0,1,0,0,0,0,9.981e-05,108198,0.009,0.020,0.002,5,0.005,11617,0,1808850.750,1.233e-05,27757638,0,0,1.953e-06,15,0.001,3,1.089e-04,0,0,0.002,5,0,0,1,1,6,1,
2421093038,SutherlandFox,0,93,2.304e-06,6,0,0,0,0,9.857e-05,106852,0.028,0.065,8.636e-04,2,0.003,6136,0,12272,1.718e-05,38682180,0,0,0,9,4.318e-04,1,8.216e-05,0,0,4.318e-04,1,4.318e-04,1,1,1,7,1,
41963949,gurnalscott,0,7,0,1,0,0,0,0,0,722,0.062,0.143,4.318e-04,1,1.659e-04,361,0,0,0,0,0,0,0,1,0,0,7.896e-05,0,0,0,0,0,0,6,2,8,3,
1068503185,KelleeAzar,0,195,1.536e-06,4,4.318e-04,1,0,1,4.421e-06,4792,0.009,0.021,8.636e-04,2,9.080e-04,1976,0,683729.750,0,894379.562,0,0,0,5,4.318e-04,1,8.979e-05,4.318e-04,1,0,0,0,0,1,1,1,4,
329918652,robertmooreitv,0,78,3.456e-06,9,8.636e-04,2,2.368e-06,3,0.002,2016569,0.050,0.115,0.008,19,0.004,7882,8.796e-06,19802506,5.424e-05,122110392,0,0,9.894e-06,76,0.005,11,1.680e-04,8.636e-04,2,0.008,18,0.003,6,1,1,1,1,
85131054,jeffzeleny,0,284,2.918e-05,76,0.007,16,6.788e-05,86,0.057,61254932,0.116,0.268,0.093,216,0.112,244027,2.383e-04,536609664,1.245e-04,280348544,0.052,48,1.035e-04,795,0.012,28,0.004,0.014,33,0.076,175,0.007,16,7,1,1,1,
87271106,BCAppelbaum,0,772,2.688e-05,70,0.006,13,4.105e-05,52,0.030,32290700,0.039,0.091,0.064,148,0.036,78208,1.067e-04,240253472,1.075e-04,242045504,0.014,13,8.852e-05,680,0.012,28,0.001,0.010,24,0.056,130,0.010,23,8,1,1,1,
13524182,daveweigel,0,4565,3.045e-04,793,0.008,18,4.515e-04,572,0.144,156421024,0.075,0.174,0.146,338,0.153,332123,4.724e-04,1063620416,1.405e-04,316387552,0.637,592,4.745e-04,3645,0.012,28,0.006,0.049,113,0.115,266,0.062,143,1,1,1,1,
43996908,KattyKayBBC,1,1151,8.448e-05,220,0.003,8,4.578e-05,58,0.013,14413290,0.083,0.191,0.022,50,0.044,94886,3.068e-04,690689856,7.671e-05,172705744,0.002,2,7.082e-05,544,0.008,18,0.001,0.006,14,0.016,38,0.022,52,1,1,1,1,
91386979,PeterAlexander,0,155,5.376e-06,14,0.003,6,7.104e-06,9,0.035,37558024,0.039,0.090,0.069,160,0.088,191672,8.853e-05,199306688,9.045e-05,203646624,0,0,7.355e-05,565,0.012,28,0.002,0.003,6,0.054,125,8.636e-04,2,9,1,1,1,
199251548,C4KylieM,0,256,3.609e-05,94,4.318e-04,1,3.157e-06,4,1.356e-05,14701,0.159,0.367,4.318e-04,1,0.002,3321,4.568e-05,102851216,2.797e-06,6296377,0,0,2.434e-05,187,4.318e-04,1,8.424e-05,4.318e-04,1,4.318e-04,1,0.018,41,1,1,1,1,
132537084,rhysblakely,0,448,1.536e-05,40,0,0,0,0,2.578e-05,27943,0.039,0.089,8.636e-04,2,0.001,2327,1.218e-05,27418360,2.074e-06,4670272.500,0,0,1.067e-05,82,4.318e-04,1,8.395e-05,0,0,8.636e-04,2,0.012,27,1,1,9,1,
50011708,margbrennan,0,2183,2.507e-04,653,0.006,15,1.539e-04,195,0.016,16950942,0.129,0.299,0.042,97,0.024,52168,2.039e-04,459000768,1.010e-04,227287024,0.035,33,1.994e-04,1532,0.012,27,0.003,0.016,38,0.036,84,0.041,95,1,1,1,1,
59676104,danbalz,0,98,2.457e-05,64,0.006,13,3.868e-05,49,0.019,20579852,0.282,0.653,0.035,80,0.042,90780,1.281e-04,288496288,9.650e-05,217261504,0.017,16,3.918e-05,301,0.012,28,0.001,0.008,19,0.011,25,0.005,12,10,1,1,1,
19107878,GlennThrush,0,1107,7.104e-05,185,0.007,17,1.113e-04,141,0.143,154832384,0.072,0.167,0.197,457,0.141,307173,2.955e-04,665308032,1.408e-04,316895808,0.061,57,4.033e-04,3098,0.012,28,0.009,0.018,42,0.162,376,0.011,26,1,1,1,1,
237477771,juliehdavis,0,410,3.571e-05,93,0.006,15,6.473e-05,82,0.034,36637696,0.098,0.227,0.082,191,0.023,49793,1.241e-04,279342400,9.553e-05,215072528,0.015,14,1.176e-04,903,0.012,28,0.004,0.012,28,0.072,166,0.016,36,1,1,1,1,
21316253,ZekeJMiller,1,2106,1.555e-04,405,0.008,18,3.094e-04,392,0.107,116068656,0.083,0.192,0.149,346,0.091,198469,2.443e-04,549992576,1.324e-04,298137600,0.309,287,4.365e-04,3353,0.012,28,0.007,0.039,90,0.141,327,0.057,133,1,1,1,1,
23332846,mattzap,0,434,2.035e-05,53,0.005,11,3.631e-05,46,0.027,28949546,0.053,0.122,0.043,100,0.026,56885,8.933e-05,201114192,1.067e-04,240212592,0.011,10,5.650e-05,434,0.012,28,0.002,0.006,15,0.028,65,0.006,15,1,1,1,1,
