Network,Twitter JSON all,
Number of tweets,817315,
Number of tweeters,2292,
Number of retweets,345266,
Number of hashtags,139570,
Number of distinct hashtags,68119,
Number of words,0,
Number of distinct words,0,
Number of mentions,165070,
Number of distinct mentions,53269,
Number of locations,546,
Number of distinct locations,413,
Average tweets per tweeter,356.595,
Min tweets per tweeter,1,
Max tweets per tweeter,21547,
Stddev tweets per tweeter,833.682,
Average retweets per tweeter,150.640,
Min retweets per tweeter,0,
Max retweets per tweeter,21524,
Stddev retweets per tweeter,584.956,
Average followers per tweeter,16463.400,
Min followers per tweeter,6,
Max followers per tweeter,2176233,
Stddev followers per tweeter,91824.608,
Average hashtags per tweeter,60.894,
Min hashtags per tweeter,0,
Max hashtags per tweeter,8632,
Stddev hashtags per tweeter,235.090,
Average distinct hashtags per tweeter,29.720,
Min distinct hashtags per tweeter,0,
Max distinct hashtags per tweeter,1297,
Stddev distinct hashtags per tweeter,64.721,
Average words per tweeter,N/A,
Min words per tweeter,N/A,
Max words per tweeter,N/A,
Stddev words per tweeter,N/A,
Average distinct words per tweeter,N/A,
Min distinct words per tweeter,N/A,
Max distinct words per tweeter,N/A,
Stddev distinct words per tweeter,N/A,
Average mentions per tweeter,72.020,
Min mentions per tweeter,0,
Max mentions per tweeter,2022,
Stddev mentions per tweeter,154.481,
Average distinct mentions per tweeter,23.241,
Min distinct mentions per tweeter,0,
Max distinct mentions per tweeter,329,
Stddev distinct mentions per tweeter,34.897,
Average locations per tweeter,0.238,
Min locations per tweeter,0,
Max locations per tweeter,57,
Stddev locations per tweeter,1.915,
Average distinct locations per tweeter,0.180,
Min distinct locations per tweeter,0,
Max distinct locations per tweeter,30,
Stddev distinct locations per tweeter,1.278,
Average tweeters per hashtag,2.049,
Min tweeters per hashtag,1,
Max tweeters per hashtag,883,
Stddev tweeters per hashtag,8.714,
Average distinct tweeters per hashtag,1,
Min distinct tweeters per hashtag,1,
Max distinct tweeters per hashtag,1,
Stddev distinct tweeters per hashtag,0,
Average tweeters per word,N/A,
Min tweeters per word,N/A,
Max tweeters per word,N/A,
Stddev tweeters per word,N/A,
Average distinct tweeters per word,N/A,
Min distinct tweeters per word,N/A,
Max distinct tweeters per word,N/A,
Stddev distinct tweeters per word,N/A,
Average tweeters per location,1.322,
Min tweeters per location,1,
Max tweeters per location,10,
Stddev tweeters per location,0.989,
Average distinct tweeters per location,1,
Min distinct tweeters per location,1,
Max distinct tweeters per location,1,
Stddev distinct tweeters per location,0,
