Network,Twitter JSON all,
First tweet date,2007-03-21 15:41:30-04,
Last tweet date,2017-07-31 23:59:58-04,
Number of tweets,1024765,
Number of tweets with geotag,709,
Number of tweets with URL,573297,
Number of retweets,348425,
Number of tweeters,2292,
Number of verified tweeters,1241,
Number of news agency tweeters,50,
Number of mentions,186671,
Number of distinct hashtags,24167,
Number of distinct hashtags used more than once,16562,
Number of distinct words,0,
Number of distinct words used more than once,0,
Number of distinct locations,419,
