Network,Twitter JSON all,
Number of tweets,38675,
Number of tweeters,50,
Number of retweets,18102,
Number of hashtags,5651,
Number of distinct hashtags,2726,
Number of words,0,
Number of distinct words,0,
Number of mentions,7605,
Number of distinct mentions,2124,
Number of locations,14,
Number of distinct locations,14,
Average tweets per tweeter,773.500,
Min tweets per tweeter,7,
Max tweets per tweeter,5079,
Stddev tweets per tweeter,1073.756,
Average retweets per tweeter,362.040,
Min retweets per tweeter,0,
Max retweets per tweeter,3332,
Stddev retweets per tweeter,654.191,
Average followers per tweeter,201436.380,
Min followers per tweeter,1776,
Max followers per tweeter,2176233,
Stddev followers per tweeter,464556.429,
Average hashtags per tweeter,113.020,
Min hashtags per tweeter,0,
Max hashtags per tweeter,954,
Stddev hashtags per tweeter,216.985,
Average distinct hashtags per tweeter,54.520,
Min distinct hashtags per tweeter,0,
Max distinct hashtags per tweeter,394,
Stddev distinct hashtags per tweeter,83.432,
Average words per tweeter,N/A,
Min words per tweeter,N/A,
Max words per tweeter,N/A,
Stddev words per tweeter,N/A,
Average distinct words per tweeter,N/A,
Min distinct words per tweeter,N/A,
Max distinct words per tweeter,N/A,
Stddev distinct words per tweeter,N/A,
Average mentions per tweeter,152.100,
Min mentions per tweeter,0,
Max mentions per tweeter,1239,
Stddev mentions per tweeter,231.684,
Average distinct mentions per tweeter,42.480,
Min distinct mentions per tweeter,0,
Max distinct mentions per tweeter,228,
Stddev distinct mentions per tweeter,47.372,
Average locations per tweeter,0.280,
Min locations per tweeter,0,
Max locations per tweeter,13,
Stddev locations per tweeter,1.823,
Average distinct locations per tweeter,0.280,
Min distinct locations per tweeter,0,
Max distinct locations per tweeter,13,
Stddev distinct locations per tweeter,1.823,
Average tweeters per hashtag,2.073,
Min tweeters per hashtag,1,
Max tweeters per hashtag,299,
Stddev tweeters per hashtag,7.468,
Average distinct tweeters per hashtag,1,
Min distinct tweeters per hashtag,1,
Max distinct tweeters per hashtag,1,
Stddev distinct tweeters per hashtag,0,
Average tweeters per word,N/A,
Min tweeters per word,N/A,
Max tweeters per word,N/A,
Stddev tweeters per word,N/A,
Average distinct tweeters per word,N/A,
Min distinct tweeters per word,N/A,
Max distinct tweeters per word,N/A,
Stddev distinct tweeters per word,N/A,
Average tweeters per location,1,
Min tweeters per location,1,
Max tweeters per location,1,
Stddev tweeters per location,0,
Average distinct tweeters per location,1,
Min distinct tweeters per location,1,
Max distinct tweeters per location,1,
Stddev distinct tweeters per location,0,
