Network,Twitter JSON all,
Number of tweets,595338,
Number of tweeters,1241,
Number of retweets,230228,
Number of hashtags,83715,
Number of distinct hashtags,42736,
Number of words,0,
Number of distinct words,0,
Number of mentions,126977,
Number of distinct mentions,39417,
Number of locations,392,
Number of distinct locations,303,
Average tweets per tweeter,479.724,
Min tweets per tweeter,1,
Max tweets per tweeter,11432,
Stddev tweets per tweeter,800.317,
Average retweets per tweeter,185.518,
Min retweets per tweeter,0,
Max retweets per tweeter,4881,
Stddev retweets per tweeter,387.552,
Average followers per tweeter,28460.143,
Min followers per tweeter,134,
Max followers per tweeter,2176233,
Stddev followers per tweeter,123382.147,
Average hashtags per tweeter,67.458,
Min hashtags per tweeter,0,
Max hashtags per tweeter,1637,
Stddev hashtags per tweeter,126.688,
Average distinct hashtags per tweeter,34.437,
Min distinct hashtags per tweeter,0,
Max distinct hashtags per tweeter,560,
Stddev distinct hashtags per tweeter,52.557,
Average words per tweeter,N/A,
Min words per tweeter,N/A,
Max words per tweeter,N/A,
Stddev words per tweeter,N/A,
Average distinct words per tweeter,N/A,
Min distinct words per tweeter,N/A,
Max distinct words per tweeter,N/A,
Stddev distinct words per tweeter,N/A,
Average mentions per tweeter,102.318,
Min mentions per tweeter,0,
Max mentions per tweeter,2022,
Stddev mentions per tweeter,182.449,
Average distinct mentions per tweeter,31.762,
Min distinct mentions per tweeter,0,
Max distinct mentions per tweeter,329,
Stddev distinct mentions per tweeter,39.063,
Average locations per tweeter,0.316,
Min locations per tweeter,0,
Max locations per tweeter,57,
Stddev locations per tweeter,2.251,
Average distinct locations per tweeter,0.244,
Min distinct locations per tweeter,0,
Max distinct locations per tweeter,30,
Stddev distinct locations per tweeter,1.507,
Average tweeters per hashtag,1.959,
Min tweeters per hashtag,1,
Max tweeters per hashtag,406,
Stddev tweeters per hashtag,5.781,
Average distinct tweeters per hashtag,1,
Min distinct tweeters per hashtag,1,
Max distinct tweeters per hashtag,1,
Stddev distinct tweeters per hashtag,0,
Average tweeters per word,N/A,
Min tweeters per word,N/A,
Max tweeters per word,N/A,
Stddev tweeters per word,N/A,
Average distinct tweeters per word,N/A,
Min distinct tweeters per word,N/A,
Max distinct tweeters per word,N/A,
Stddev distinct tweeters per word,N/A,
Average tweeters per location,1.294,
Min tweeters per location,1,
Max tweeters per location,10,
Stddev tweeters per location,0.970,
Average distinct tweeters per location,1,
Min distinct tweeters per location,1,
Max distinct tweeters per location,1,
Stddev distinct tweeters per location,0,
