Attribute,Group,Count,Percent,
IS_NEWS_AGENCY,1,51,+2.14%,
IS_NEWS_AGENCY,No Value,2330,+97.86%,
LANGUAGE_SENDER,En,2350,+98.70%,
LANGUAGE_SENDER,Und,1800,+75.60%,
LANGUAGE_SENDER,Fr,930,+39.06%,
LANGUAGE_SENDER,Ht,387,+16.25%,
LANGUAGE_SENDER,Cy,249,+10.46%,
LANGUAGE_SENDER,Nl,316,+13.27%,
LANGUAGE_SENDER,Es,916,+38.47%,
LANGUAGE_SENDER,Tl,535,+22.47%,
LANGUAGE_SENDER,No,261,+10.96%,
LANGUAGE_SENDER,Et,393,+16.51%,
LANGUAGE_SENDER,In,586,+24.61%,
LANGUAGE_SENDER,It,351,+14.74%,
LANGUAGE_SENDER,Da,384,+16.13%,
LANGUAGE_SENDER,Sv,226,+9.49%,
LANGUAGE_SENDER,Lt,130,+5.46%,
LANGUAGE_SENDER,Ro,329,+13.82%,
LANGUAGE_SENDER,Pt,400,+16.80%,
LANGUAGE_SENDER,Hu,80,+3.36%,
LANGUAGE_SENDER,Tr,185,+7.77%,
LANGUAGE_SENDER,Ru,32,+1.34%,
LANGUAGE_SENDER,Pl,297,+12.47%,
LANGUAGE_SENDER,De,535,+22.47%,
LANGUAGE_SENDER,Ko,18,+0.76%,
LANGUAGE_SENDER,Eu,137,+5.75%,
LANGUAGE_SENDER,Is,61,+2.56%,
LANGUAGE_SENDER,Iw,15,+0.63%,
LANGUAGE_SENDER,Cs,105,+4.41%,
LANGUAGE_SENDER,Ja,22,+0.92%,
LANGUAGE_SENDER,Fi,111,+4.66%,
LANGUAGE_SENDER,Hi,102,+4.28%,
LANGUAGE_SENDER,Lv,57,+2.39%,
LANGUAGE_SENDER,Sl,59,+2.48%,
LANGUAGE_SENDER,Vi,23,+0.97%,
LANGUAGE_SENDER,Ar,18,+0.76%,
LANGUAGE_SENDER,Uk,9,+0.38%,
LANGUAGE_SENDER,El,5,+0.21%,
LANGUAGE_SENDER,Zh,14,+0.59%,
LANGUAGE_SENDER,Ur,3,+0.13%,
LANGUAGE_SENDER,Fa,7,+0.29%,
LANGUAGE_SENDER,My,1,+0.04%,
LANGUAGE_SENDER,Km,1,+0.04%,
LANGUAGE_SENDER,Bg,1,+0.04%,
LANGUAGE_SENDER,Sr,2,+0.08%,
LANGUAGE_SENDER,No Value,26,+1.09%,
LOCATION,Washington D.C.,81,+3.40%,
LOCATION,"The 703, 202 or on the road",1,+0.04%,
LOCATION,"The 703, 202, 504 or on the road",1,+0.04%,
LOCATION,"Washington, D.C.",400,+16.80%,
LOCATION,Washington,46,+1.93%,
LOCATION,"Washington, DC",788,+33.10%,
LOCATION,A hallway in the Capitol.,1,+0.04%,
LOCATION,Washington DC,159,+6.68%,
LOCATION,United States,11,+0.46%,
LOCATION,"Brussels, Belgium",1,+0.04%,
LOCATION,"Washington, DC ",27,+1.13%,
LOCATION,The Green Mountains,1,+0.04%,
LOCATION,"Washington, d.c.",4,+0.17%,
LOCATION,N.C. or D.C.,1,+0.04%,
LOCATION,Davidson or D.C.,1,+0.04%,
LOCATION,Davidson or D.C. or ...,1,+0.04%,
LOCATION,"Arlington, Va.",8,+0.34%,
LOCATION,"Washington, DC * Missing NYC",1,+0.04%,
LOCATION,"Miami Beach, FL",1,+0.04%,
LOCATION,"Bethesda, Maryland",2,+0.08%,
LOCATION,Kwong@breitbart.com,1,+0.04%,
LOCATION,Email: kwong@breitbart.com ,1,+0.04%,
LOCATION,: kwong@breitbart.com ,1,+0.04%,
LOCATION,Kwong@breitbart.com ,1,+0.04%,
LOCATION,"Washington, DC / nomad",1,+0.04%,
LOCATION,DC ,1,+0.04%,
LOCATION,Capitol Hill,1,+0.04%,
LOCATION,DC,27,+1.13%,
LOCATION,"Washington, D.C.  ",1,+0.04%,
