Attribute,Measure,Group,Min,Mean,Max,Stddev,
IS_NEWS_AGENCY,inDegreeCentrality-1,1,0,5.443e-05,3.814e-04,7.586e-05,
IS_NEWS_AGENCY,inDegreeCentrality-1,No Value,0,2.637e-05,7.038e-04,5.450e-05,
IS_NEWS_AGENCY,kcore-1,1,0,0.006,0.011,0.004,
IS_NEWS_AGENCY,kcore-1,No Value,0,0.003,0.011,0.003,
IS_NEWS_AGENCY,totalDegreeCentrality-1,1,0,6.311e-05,4.596e-04,8.829e-05,
IS_NEWS_AGENCY,totalDegreeCentrality-1,No Value,0,2.886e-05,7.956e-04,7.033e-05,
IS_NEWS_AGENCY,twitter-actualInfluencer-1,1,3.636e-07,0.052,1,0.147,
IS_NEWS_AGENCY,twitter-actualInfluencer-1,No Value,0,0.005,0.252,0.019,
IS_NEWS_AGENCY,twitter-averageMentionsPerTweet-1,1,0,0.084,0.675,0.102,
IS_NEWS_AGENCY,twitter-averageMentionsPerTweet-1,No Value,0,0.066,1,0.063,
IS_NEWS_AGENCY,twitter-mostMentioned-1,1,0,0.049,0.289,0.057,
IS_NEWS_AGENCY,twitter-mostMentioned-1,No Value,0,0.015,0.244,0.027,
IS_NEWS_AGENCY,twitter-numberOfFollowers-1,1,2.833e-04,0.094,1,0.219,
IS_NEWS_AGENCY,twitter-numberOfFollowers-1,No Value,0,0.006,0.683,0.026,
IS_NEWS_AGENCY,twitter-potentialConnectors-1,1,0,2.031e-04,0.001,2.415e-04,
IS_NEWS_AGENCY,twitter-potentialConnectors-1,No Value,0,3.848e-05,9.855e-04,8.452e-05,
IS_NEWS_AGENCY,twitter-potentialReach-1,1,0,1.086e-04,3.122e-04,6.255e-05,
IS_NEWS_AGENCY,twitter-potentialReach-1,No Value,0,4.055e-05,2.344e-04,4.685e-05,
IS_NEWS_AGENCY,twitter-reciprocalMentionsCliqueCount-1,1,0,0.020,0.405,0.066,
IS_NEWS_AGENCY,twitter-reciprocalMentionsCliqueCount-1,No Value,0,0.007,1,0.044,
IS_NEWS_AGENCY,twitter-totalMentionsDegree-1,1,0,7.280e-05,6.714e-04,1.121e-04,
IS_NEWS_AGENCY,twitter-totalMentionsDegree-1,No Value,0,2.492e-05,5.956e-04,5.205e-05,
IS_NEWS_AGENCY,twitter-totalMentionsKcore-1,1,0,0.012,0.017,0.006,
IS_NEWS_AGENCY,twitter-totalMentionsKcore-1,No Value,0,0.005,0.017,0.006,
IS_NEWS_AGENCY,twitter-totalMentionsPageRank-1,1,7.284e-05,0.001,0.011,0.002,
IS_NEWS_AGENCY,twitter-totalMentionsPageRank-1,No Value,7.284e-05,3.994e-04,0.010,8.003e-04,
IS_NEWS_AGENCY,twitter-totalReciprocalMentionsUnweighted-1,1,0,0.013,0.080,0.015,
IS_NEWS_AGENCY,twitter-totalReciprocalMentionsUnweighted-1,No Value,0,0.005,0.094,0.009,
IS_NEWS_AGENCY,twitter-trustedSource-1,1,0,0.037,0.248,0.050,
IS_NEWS_AGENCY,twitter-trustedSource-1,No Value,0,0.010,0.201,0.022,
IS_NEWS_AGENCY,twitter-wantsToBeInfluencer-1,1,0,0.020,0.107,0.025,
IS_NEWS_AGENCY,twitter-wantsToBeInfluencer-1,No Value,0,0.011,0.159,0.017,
IS_NEWS_AGENCY,weakComponentMembers-2,1,1,6.137,222,31.052,
IS_NEWS_AGENCY,weakComponentMembers-2,No Value,1,18.191,284,54.290,
IS_NEWS_AGENCY,weakComponentMembers-3,1,1,3.020,104,14.281,
IS_NEWS_AGENCY,weakComponentMembers-3,No Value,1,5.150,140,19.166,
IS_NEWS_AGENCY,weakComponentMembers-4,1,1,17.471,459,69.446,
IS_NEWS_AGENCY,weakComponentMembers-4,No Value,1,69.623,565,145.126,
IS_NEWS_AGENCY,weakComponentMembers-5,1,1,50.039,759,135.904,
IS_NEWS_AGENCY,weakComponentMembers-5,No Value,1,161.792,869,259.633,
LANGUAGE_SENDER,inDegreeCentrality-1,En,0,2.733e-05,7.038e-04,5.547e-05,
LANGUAGE_SENDER,inDegreeCentrality-1,Und,0,3.491e-05,7.038e-04,6.136e-05,
LANGUAGE_SENDER,inDegreeCentrality-1,Fr,0,5.539e-05,7.038e-04,7.762e-05,
LANGUAGE_SENDER,inDegreeCentrality-1,Ht,0,8.099e-05,7.038e-04,1.022e-04,
LANGUAGE_SENDER,inDegreeCentrality-1,Cy,0,9.828e-05,7.038e-04,1.160e-04,
LANGUAGE_SENDER,inDegreeCentrality-1,Nl,0,8.752e-05,7.038e-04,1.102e-04,
LANGUAGE_SENDER,inDegreeCentrality-1,Es,0,5.446e-05,7.038e-04,7.812e-05,
LANGUAGE_SENDER,inDegreeCentrality-1,Tl,0,6.795e-05,7.038e-04,9.257e-05,
LANGUAGE_SENDER,inDegreeCentrality-1,No,3.594e-07,9.324e-05,7.038e-04,1.138e-04,
LANGUAGE_SENDER,inDegreeCentrality-1,Et,0,8.037e-05,7.038e-04,1.002e-04,
LANGUAGE_SENDER,inDegreeCentrality-1,In,0,6.919e-05,7.038e-04,9.093e-05,
LANGUAGE_SENDER,inDegreeCentrality-1,It,0,8.017e-05,7.038e-04,1.082e-04,
LANGUAGE_SENDER,inDegreeCentrality-1,Da,0,7.926e-05,7.038e-04,1.031e-04,
LANGUAGE_SENDER,inDegreeCentrality-1,Sv,3.594e-07,9.548e-05,7.038e-04,1.137e-04,
LANGUAGE_SENDER,inDegreeCentrality-1,Lt,0,1.154e-04,7.038e-04,1.385e-04,
LANGUAGE_SENDER,inDegreeCentrality-1,Ro,0,8.519e-05,7.038e-04,1.080e-04,
LANGUAGE_SENDER,inDegreeCentrality-1,Pt,0,7.520e-05,7.038e-04,9.868e-05,
LANGUAGE_SENDER,inDegreeCentrality-1,Hu,3.594e-07,1.098e-04,6.002e-04,1.119e-04,
