Measure,TWEET_COUNT,NUMBER_FOLLOWERS,
inDegreeCentrality-1,0.711,0.166,
kcore-1,0.419,0.208,
totalDegreeCentrality-1,0.521,0.169,
twitter-actualInfluencer-1,0.334,0.539,
twitter-averageMentionsPerTweet-1,-0.033,0.008,
twitter-mostMentioned-1,0.401,0.376,
twitter-numberOfFollowers-1,0.159,1,
twitter-potentialConnectors-1,0.493,0.623,
twitter-potentialReach-1,0.373,0.292,
twitter-reciprocalMentionsCliqueCount-1,0.391,0.185,
twitter-totalMentionsDegree-1,0.618,0.279,
twitter-totalMentionsKcore-1,0.353,0.256,
twitter-totalMentionsPageRank-1,0.359,0.331,
twitter-totalReciprocalMentionsUnweighted-1,0.524,0.237,
twitter-trustedSource-1,0.401,0.344,
twitter-wantsToBeInfluencer-1,0.619,0.134,
weakComponentMembers-2,-0.127,-0.049,
weakComponentMembers-3,-0.086,-0.033,
weakComponentMembers-4,-0.157,-0.071,
weakComponentMembers-5,-0.240,-0.087,
