Attribute,Group,Count,Percent,
LANGUAGE,En,2329896,+95.77%,
LANGUAGE,Und,63214,+2.60%,
LANGUAGE,Pt,874,+0.04%,
LANGUAGE,In,2283,+0.09%,
LANGUAGE,Fr,5564,+0.23%,
LANGUAGE,Es,11702,+0.48%,
LANGUAGE,Ru,229,+0.01%,
LANGUAGE,Pl,605,+0.02%,
LANGUAGE,Cy,558,+0.02%,
LANGUAGE,Tr,339,+0.01%,
LANGUAGE,Nl,683,+0.03%,
LANGUAGE,No,524,+0.02%,
LANGUAGE,Ht,1064,+0.04%,
LANGUAGE,Da,801,+0.03%,
LANGUAGE,Tl,1907,+0.08%,
LANGUAGE,De,1664,+0.07%,
LANGUAGE,Et,917,+0.04%,
LANGUAGE,It,798,+0.03%,
LANGUAGE,Sv,422,+0.02%,
LANGUAGE,Cs,155,+0.01%,
LANGUAGE,Ro,778,+0.03%,
LANGUAGE,Lt,208,+0.01%,
LANGUAGE,Sl,85,+0.00%,
LANGUAGE,Is,86,+0.00%,
LANGUAGE,Vi,28,+0.00%,
LANGUAGE,Hu,116,+0.00%,
LANGUAGE,Hi,205,+0.01%,
LANGUAGE,Lv,91,+0.00%,
LANGUAGE,Fi,164,+0.01%,
LANGUAGE,Eu,207,+0.01%,
LANGUAGE,Ja,56,+0.00%,
LANGUAGE,Iw,95,+0.00%,
LANGUAGE,Ko,34,+0.00%,
LANGUAGE,Uk,3299,+0.14%,
LANGUAGE,Ur,9,+0.00%,
LANGUAGE,Ar,264,+0.01%,
LANGUAGE,Zh,504,+0.02%,
LANGUAGE,El,9,+0.00%,
LANGUAGE,Fa,2434,+0.10%,
LANGUAGE,My,14,+0.00%,
LANGUAGE,Km,30,+0.00%,
LANGUAGE,Sr,2,+0.00%,
LANGUAGE,Bg,1,+0.00%,
IS_GEOTAGGED,1,1730,+0.07%,
IS_GEOTAGGED,No Value,2431188,+99.93%,
IS_RETWEET,1,826613,+33.98%,
IS_RETWEET,No Value,1606305,+66.02%,
HAS_URL,1,1387523,+57.03%,
HAS_URL,No Value,1045395,+42.97%,
