Node-Id,Node-Title,attribute-Is-Verified-1-Twitter JSON all,attribute-Tweets-Sent-Count-1-Twitter JSON all,inDegreeCentrality-1-Twitter JSON all,inDegreeCentrality-1-Twitter JSON all-unscaled,kcore-1-Twitter JSON all,kcore-1-Twitter JSON all-unscaled,totalDegreeCentrality-1-Twitter JSON all,totalDegreeCentrality-1-Twitter JSON all-unscaled,twitter-actualInfluencer-1-Twitter JSON all,twitter-actualInfluencer-1-Twitter JSON all-unscaled,twitter-averageMentionsPerTweet-1-Twitter JSON all,twitter-averageMentionsPerTweet-1-Twitter JSON all-unscaled,twitter-mostMentioned-1-Twitter JSON all,twitter-mostMentioned-1-Twitter JSON all-unscaled,twitter-numberOfFollowers-1-Twitter JSON all,twitter-numberOfFollowers-1-Twitter JSON all-unscaled,twitter-potentialConnectors-1-Twitter JSON all,twitter-potentialConnectors-1-Twitter JSON all-unscaled,twitter-potentialReach-1-Twitter JSON all,twitter-potentialReach-1-Twitter JSON all-unscaled,twitter-reciprocalMentionsCliqueCount-1-Twitter JSON all,twitter-reciprocalMentionsCliqueCount-1-Twitter JSON all-unscaled,twitter-totalMentionsDegree-1-Twitter JSON all,twitter-totalMentionsDegree-1-Twitter JSON all-unscaled,twitter-totalMentionsKcore-1-Twitter JSON all,twitter-totalMentionsKcore-1-Twitter JSON all-unscaled,twitter-totalMentionsPageRank-1-Twitter JSON all,twitter-totalReciprocalMentionsUnweighted-1-Twitter JSON all,twitter-totalReciprocalMentionsUnweighted-1-Twitter JSON all-unscaled,twitter-trustedSource-1-Twitter JSON all,twitter-trustedSource-1-Twitter JSON all-unscaled,twitter-wantsToBeInfluencer-1-Twitter JSON all,twitter-wantsToBeInfluencer-1-Twitter JSON all-unscaled,weakComponentMembers-5-Twitter JSON all,weakComponentMembers-3-Twitter JSON all,weakComponentMembers-4-Twitter JSON all,weakComponentMembers-2-Twitter JSON all,
327862439,jonathanvswan,0,4077,2.085e-04,1160,0.011,27,2.744e-04,619,0.106,183765632,0.095,0.285,0.127,302,0.033,72217,4.205e-04,1406662528,1.940e-04,648851648,0.173,1165,2.266e-04,3800,0.017,41,0.003,0.047,111,0.102,242,0.067,159,1,1,1,1,
18678924,jmartNYT,0,7374,3.445e-04,1917,0.011,27,7.495e-04,1691,0.186,321197760,0.087,0.260,0.186,443,0.095,210480,6.630e-04,2217872640.000,2.036e-04,681013888,1,6727,4.549e-04,7628,0.017,41,0.008,0.087,207,0.158,375,0.109,259,1,1,1,1,
123327472,peterbakernyt,1,1683,9.992e-05,556,0.011,26,1.600e-04,361,0.171,296458208,0.110,0.330,0.182,432,0.051,112657,2.890e-04,966825216,2.160e-04,722557824,0.061,413,2.243e-04,3761,0.017,41,0.007,0.039,94,0.141,336,0.020,48,1,1,1,1,
340997626,DavidNather,0,1028,7.314e-05,407,0.009,21,1.339e-04,302,0.010,16782418,0.132,0.396,0.030,71,0.004,9314,1.351e-04,451802688,1.242e-04,415495648,0.006,38,5.976e-05,1002,0.015,36,7.238e-04,0.013,30,0.022,53,0.021,51,1,1,1,1,
381664207,caitlinnowens,0,1209,1.130e-04,629,0.010,24,1.893e-04,427,0.011,19781264,0.173,0.520,0.036,86,0.003,6695,1.364e-04,456403712,1.250e-04,418095872,0.015,98,1.001e-04,1678,0.017,40,0.001,0.016,39,0.021,50,0.034,81,1,1,1,1,
21252618,JakeSherman,0,4362,2.205e-04,1227,0.011,27,4.685e-04,1057,0.152,263274416,0.094,0.281,0.189,449,0.042,93532,4.036e-04,1350039168,1.916e-04,640976640,0.507,3409,3.575e-04,5995,0.017,41,0.007,0.062,147,0.161,384,0.050,120,1,1,1,1,
15931637,jonkarl,0,748,4.978e-05,277,0.011,25,9.529e-05,215,0.061,106177864,0.123,0.370,0.101,240,0.086,190793,2.492e-04,833627520,1.586e-04,530622016,0.012,79,1.050e-04,1761,0.017,41,0.003,0.020,47,0.072,172,0.019,46,1,1,1,1,
217550862,BresPolitico,0,4938,4.651e-04,2588,0.011,27,6.763e-04,1526,0.066,113432896,0.175,0.524,0.139,331,0.020,44745,3.976e-04,1329937408,1.474e-04,492975296,0.724,4870,4.327e-04,7256,0.017,41,0.006,0.074,175,0.113,270,0.113,270,1,1,1,1,
407013776,burgessev,0,2870,1.982e-04,1103,0.011,27,5.062e-04,1142,0.130,224880864,0.128,0.384,0.157,374,0.016,36158,2.606e-04,871862528,2.025e-04,677282048,0.275,1852,4.141e-04,6943,0.017,41,0.010,0.051,122,0.135,321,0.031,74,1,1,1,1,
83462293,SarahMMimms,0,3653,1.547e-04,861,0.011,26,2.225e-04,502,0.016,27612632,0.079,0.236,0.040,96,0.003,6932,1.254e-04,419573472,1.136e-04,380060576,0.045,300,1.178e-04,1976,0.017,41,0.001,0.024,58,0.029,68,0.054,129,1,1,1,1,
