Node-Id,Node-Title,inDegreeCentrality-3-Twitter JSON all,inDegreeCentrality-3-Twitter JSON all-unscaled,
"LAT: 40.67250, LON: -73.95679","Brooklyn, NY",4.809e-05,117,
"LAT: 38.36588, LON: -75.60062","Salisbury, MD",0,1,
"LAT: 39.28357, LON: -76.60295","Baltimore, MD",0,1,
"LAT: 38.90630, LON: -77.03812","Washington, DC",0,1,
"LAT: 38.89317, LON: -77.01919","Washington, DC",2.055e-06,5,
"LAT: 38.92236, LON: -77.02094","Washington, DC",0,1,
"LAT: 38.90633, LON: -77.02436","Washington, DC",1.233e-06,3,
"LAT: 34.15523, LON: -118.25817","California, USA",0,1,
"LAT: 38.88964, LON: -76.97276","Washington, DC",0,1,
"LAT: 38.89069, LON: -76.97134","Washington, DC",0,1,
"LAT: 38.88973, LON: -77.00704","Washington, DC",1.850e-05,45,
"LAT: 40.75058, LON: -73.99276","Manhattan, NY",0,1,
"LAT: 38.93086, LON: -76.96701","Washington, DC",1.644e-06,4,
"LAT: 38.90880, LON: -77.02352","Washington, DC",0,1,
"LAT: 38.90628, LON: -77.02402","Washington, DC",0,2,
"LAT: 38.89990, LON: -77.01616","Washington, DC",0,1,
"LAT: 38.93837, LON: -77.24336","McLean, VA",0,1,
"LAT: 38.90283, LON: -77.03030","Washington, DC",0,1,
"LAT: 38.91691, LON: -77.03704","Washington, DC",0,2,
"LAT: 37.26890, LON: -79.96390","Roanoke, VA",0,1,
"LAT: 39.94937, LON: -75.17189","Philadelphia, PA",0,1,
"LAT: 39.90608, LON: -75.18106","Philadelphia, PA",0,1,
"LAT: 38.89465, LON: -77.07012","Arlington, VA",2.877e-06,7,
"LAT: 37.17842, LON: -3.60067","Granada, Spain",0,1,
"LAT: 38.89903, LON: -77.03410","Washington, DC",0,1,
"LAT: 38.92070, LON: -76.99600","Washington, DC",0,1,
"LAT: 36.02500, LON: -75.67000","Kill Devil Hills, NC",0,1,
"LAT: 38.92083, LON: -77.04196","Washington, DC",0,1,
"LAT: 41.89017, LON: -87.67340","Chicago, IL",0,1,
"LAT: 26.67408, LON: -77.12136",Bahamas,0,1,
"LAT: 38.92633, LON: -77.10286","Washington, DC",0,1,
"LAT: 38.92617, LON: -77.10280","Washington, DC",0,1,
"LAT: 38.92618, LON: -77.10273","Washington, DC",0,1,
"LAT: 38.92618, LON: -77.10276","Washington, DC",0,1,
"LAT: 38.92638, LON: -77.10290","Washington, DC",0,1,
"LAT: 38.87249, LON: -77.00830","Washington, DC",0,1,
"LAT: 38.87264, LON: -77.00788","Washington, DC",0,1,
"LAT: 37.18121, LON: -3.59259","Granada, Spain",0,1,
"LAT: 37.17432, LON: -3.59448","Granada, Spain",0,1,
"LAT: 40.45027, LON: -3.69280","Madrid, Spain",0,1,
"LAT: 38.38153, LON: -120.43804","California, USA",0,1,
"LAT: 42.31611, LON: -71.03383","Boston, MA",0,1,
"LAT: 31.78741, LON: 35.22754",Israel,0,1,
"LAT: 42.34668, LON: -71.04501","Boston, MA",0,1,
"LAT: 38.30060, LON: -76.91195","Maryland, USA",0,1,
"LAT: 38.89750, LON: -77.03710","Washington, DC",1.233e-06,3,
"LAT: 40.28883, LON: -79.57209","Hempfield, PA",0,1,
"LAT: 38.91113, LON: -77.04685","Washington, DC",0,1,
"LAT: 34.19984, LON: -118.20982","La Canada Flintridge, CA",0,1,
"LAT: 40.74900, LON: -73.98559","Manhattan, NY",0,1,
"LAT: 26.45678, LON: 87.27788",Nepal,0,2,
"LAT: 26.66667, LON: 87.28333",Nepal,0,1,
"LAT: 38.89014, LON: -76.97130","Washington, DC",0,1,
"LAT: 38.88977, LON: -76.97192","Washington, DC",0,1,
"LAT: 38.89029, LON: -76.97147","Washington, DC",0,1,
"LAT: 40.54424, LON: -3.69203","Madrid, Spain",1.233e-06,3,
"LAT: 40.42275, LON: -3.69763","Madrid, Spain",1.233e-06,3,
"LAT: 40.47222, LON: -3.56083","Madrid, Spain",0,1,
"LAT: 38.78552, LON: -77.58901","Gainesville, VA",0,2,
"LAT: 37.14246, LON: -93.21889","Missouri, USA",0,1,
"LAT: 38.57655, LON: -121.49266","Sacramento, CA",2.055e-06,5,
"LAT: 34.15524, LON: -118.25817","California, USA",0,1,
"LAT: 34.15518, LON: -118.25818","California, USA",0,2,
"LAT: 34.15418, LON: -118.25832","California, USA",0,1,
"LAT: 40.75873, LON: -73.97910","Manhattan, NY",0,2,
"LAT: 38.89776, LON: -77.02296","Washington, DC",0,2,
"LAT: 38.89510, LON: -77.03670","Washington, DC",1.397e-05,34,
"LAT: 42.26670, LON: -70.95830","Quincy, MA",0,1,
"LAT: 55.74737, LON: 37.64036","Moscow, Russia",0,1,
"LAT: 39.20937, LON: -76.86231","Maryland, USA",0,2,
