Network,Twitter JSON all,
First tweet date,2007-02-08 21:57:04-05,
Last tweet date,2017-11-01 00:00:00-04,
Number of tweets,2432918,
Number of tweets with geotag,1730,
Number of tweets with URL,1387523,
Number of retweets,826613,
Number of tweeters,2355,
Number of verified tweeters,1294,
Number of news agency tweeters,51,
Number of mentions,404312,
Number of distinct hashtags,48681,
Number of distinct hashtags used more than once,33614,
Number of distinct words,0,
Number of distinct words used more than once,0,
Number of distinct locations,991,
