Network,Twitter JSON all,
Number of tweets,90465,
Number of tweeters,51,
Number of retweets,42255,
Number of hashtags,14656,
Number of distinct hashtags,6093,
Number of words,0,
Number of distinct words,0,
Number of mentions,15447,
Number of distinct mentions,3366,
Number of locations,32,
Number of distinct locations,30,
Average tweets per tweeter,1773.824,
Min tweets per tweeter,2,
Max tweets per tweeter,11953,
Stddev tweets per tweeter,2533.879,
Average retweets per tweeter,828.529,
Min retweets per tweeter,0,
Max retweets per tweeter,8297,
Stddev retweets per tweeter,1545.057,
Average followers per tweeter,209111.255,
Min followers per tweeter,629,
Max followers per tweeter,2220396,
Stddev followers per tweeter,486451.707,
Average hashtags per tweeter,287.373,
Min hashtags per tweeter,0,
Max hashtags per tweeter,2417,
Stddev hashtags per tweeter,550.454,
Average distinct hashtags per tweeter,119.471,
Min distinct hashtags per tweeter,0,
Max distinct hashtags per tweeter,807,
Stddev distinct hashtags per tweeter,173.038,
Average words per tweeter,N/A,
Min words per tweeter,N/A,
Max words per tweeter,N/A,
Stddev words per tweeter,N/A,
Average distinct words per tweeter,N/A,
Min distinct words per tweeter,N/A,
Max distinct words per tweeter,N/A,
Stddev distinct words per tweeter,N/A,
Average mentions per tweeter,302.882,
Min mentions per tweeter,0,
Max mentions per tweeter,2122,
Stddev mentions per tweeter,422.088,
Average distinct mentions per tweeter,66,
Min distinct mentions per tweeter,0,
Max distinct mentions per tweeter,288,
Stddev distinct mentions per tweeter,67.653,
Average locations per tweeter,0.627,
Min locations per tweeter,0,
Max locations per tweeter,29,
Stddev locations per tweeter,4.034,
Average distinct locations per tweeter,0.588,
Min distinct locations per tweeter,0,
Max distinct locations per tweeter,27,
Stddev distinct locations per tweeter,3.758,
Average tweeters per hashtag,2.405,
Min tweeters per hashtag,1,
Max tweeters per hashtag,781,
Stddev tweeters per hashtag,13.204,
Average distinct tweeters per hashtag,1,
Min distinct tweeters per hashtag,1,
Max distinct tweeters per hashtag,1,
Stddev distinct tweeters per hashtag,0,
Average tweeters per word,N/A,
Min tweeters per word,N/A,
Max tweeters per word,N/A,
Stddev tweeters per word,N/A,
Average distinct tweeters per word,N/A,
Min distinct tweeters per word,N/A,
Max distinct tweeters per word,N/A,
Stddev distinct tweeters per word,N/A,
Average tweeters per location,1.067,
Min tweeters per location,1,
Max tweeters per location,3,
Stddev tweeters per location,0.359,
Average distinct tweeters per location,1,
Min distinct tweeters per location,1,
Max distinct tweeters per location,1,
Stddev distinct tweeters per location,0,
