Network,Twitter JSON all,
Average retweets per tweet,0.340,
Min retweets per tweet,0,
Max retweets per tweet,165,
Stddev retweets per tweet,0.961,
Average distinct mentions per tweet,0.166,
Min distinct mentions per tweet,0,
Max distinct mentions per tweet,24,
Stddev distinct mentions per tweet,0.433,
Average distinct hashtags per tweet,0.201,
Min distinct hashtags per tweet,0,
Max distinct hashtags per tweet,16,
Stddev distinct hashtags per tweet,0.601,
Average distinct words per tweet,N/A,
Min distinct words per tweet,N/A,
Max distinct words per tweet,N/A,
Stddev distinct words per tweet,N/A,
Latitude minimum,-43,
Latitude maximum,64,
Longitude minimum,-159,
Longitude maximum,176,
