Network,Twitter JSON all,
Number of tweets,1440941,
Number of tweeters,1294,
Number of retweets,563479,
Number of hashtags,217986,
Number of distinct hashtags,101888,
Number of words,0,
Number of distinct words,0,
Number of mentions,282590,
Number of distinct mentions,66330,
Number of locations,910,
Number of distinct locations,685,
Average tweets per tweeter,1113.556,
Min tweets per tweeter,1,
Max tweets per tweeter,20978,
Stddev tweets per tweeter,1753.853,
Average retweets per tweeter,435.455,
Min retweets per tweeter,0,
Max retweets per tweeter,13434,
Stddev retweets per tweeter,894.738,
Average followers per tweeter,29516.821,
Min followers per tweeter,151,
Max followers per tweeter,2220396,
Stddev followers per tweeter,128554.129,
Average hashtags per tweeter,168.459,
Min hashtags per tweeter,0,
Max hashtags per tweeter,2962,
Stddev hashtags per tweeter,307.735,
Average distinct hashtags per tweeter,78.739,
Min distinct hashtags per tweeter,0,
Max distinct hashtags per tweeter,928,
Stddev distinct hashtags per tweeter,112.775,
Average words per tweeter,N/A,
Min words per tweeter,N/A,
Max words per tweeter,N/A,
Stddev words per tweeter,N/A,
Average distinct words per tweeter,N/A,
Min distinct words per tweeter,N/A,
Max distinct words per tweeter,N/A,
Stddev distinct words per tweeter,N/A,
Average mentions per tweeter,218.385,
Min mentions per tweeter,0,
Max mentions per tweeter,3916,
Stddev mentions per tweeter,363.762,
Average distinct mentions per tweeter,51.260,
Min distinct mentions per tweeter,0,
Max distinct mentions per tweeter,442,
Stddev distinct mentions per tweeter,58.041,
Average locations per tweeter,0.703,
Min locations per tweeter,0,
Max locations per tweeter,105,
Stddev locations per tweeter,4.779,
Average distinct locations per tweeter,0.529,
Min distinct locations per tweeter,0,
Max distinct locations per tweeter,56,
Stddev distinct locations per tweeter,3.291,
Average tweeters per hashtag,2.139,
Min tweeters per hashtag,1,
Max tweeters per hashtag,824,
Stddev tweeters per hashtag,7.752,
Average distinct tweeters per hashtag,1,
Min distinct tweeters per hashtag,1,
Max distinct tweeters per hashtag,1,
Stddev distinct tweeters per hashtag,0,
Average tweeters per word,N/A,
Min tweeters per word,N/A,
Max tweeters per word,N/A,
Stddev tweeters per word,N/A,
Average distinct tweeters per word,N/A,
Min distinct tweeters per word,N/A,
Max distinct tweeters per word,N/A,
Stddev distinct tweeters per word,N/A,
Average tweeters per location,1.328,
Min tweeters per location,1,
Max tweeters per location,36,
Stddev tweeters per location,1.642,
Average distinct tweeters per location,1,
Min distinct tweeters per location,1,
Max distinct tweeters per location,1,
Stddev distinct tweeters per location,0,
